Date,Open,High,Low,Close
2006.02.06,19.4625678646,19.5497733396,19.1058210810,19.1850986481
2006.02.07,19.0661818279,19.1850989364,18.5905194426,18.6301574707
2006.02.08,18.6222281797,18.7649274895,18.4953846848,18.5508785248
2006.02.09,18.6777228517,18.8838439182,18.6380848248,18.7252902985
2006.02.10,18.7490702414,18.7807818688,18.3130459499,18.3843955994
2006.02.13,18.3843957158,18.3923236226,18.0514311868,18.0989971161
2006.02.14,18.0752134664,18.0989971872,17.9245877712,17.9483699799
2006.02.15,17.9959423550,18.0197245702,17.6312660972,17.6867599487
2006.02.16,17.7026132639,17.9325180589,17.6391915122,17.9008064270
2006.02.17,18.0117940134,18.1703491478,17.9800838937,18.1544933319
2006.02.21,18.5112414472,18.5508794744,18.3130482872,18.4557476044
2006.02.22,18.3526864939,18.4716020886,18.1148553044,18.1544933319
2006.02.23,18.1148577168,18.3130509052,17.9483746523,18.0910739899
2006.02.24,18.3923229734,18.5905161024,18.2337678654,18.5825881958
2006.02.27,18.3923274524,18.4319654830,18.1703505495,18.2179164886
2006.02.28,18.2734096787,18.4716028488,18.1227839581,18.4636764526
2006.03.01,18.4557457469,18.4557457469,18.2734069088,18.4240341187
2006.03.02,18.5191706727,18.8045678152,18.4478210091,18.7570018768
2006.03.03,18.8442077729,18.9393396518,18.6777247166,18.9314117432
2006.03.06,18.8283506353,18.8283506353,18.4319643061,18.6301574707
2006.03.07,18.4716019975,18.5033136291,18.2099870856,18.3051204681
2006.03.08,18.0593624942,18.1544943706,17.8611693210,18.0117950439
2006.03.09,18.1148561875,18.2258438797,18.0197227998,18.1941337585
2006.03.10,18.0197214321,18.1862044700,17.8611678142,18.1148548126
2006.03.13,18.1148547462,18.3606138360,17.9880112474,18.3526859283
2006.03.14,18.3447597825,18.6539421636,18.2971938440,18.6222305298
2006.03.15,18.6063762748,18.6618716386,18.3606171407,18.4161109924
2006.03.16,18.4161061386,18.6142992779,18.3051184645,18.5746612549
2006.03.17,18.6063709465,18.6460104807,18.4319615322,18.4874553680
2006.03.20,18.4081788814,18.5112401642,18.0435042180,18.1069259644
2006.03.21,18.0752157382,18.2654825040,17.9563001436,18.1703491211
2006.03.22,18.2337728433,18.2734108751,18.0435075690,18.1386394501
2006.03.23,18.1941317662,18.4478187561,18.0752146665,18.4478187561
2006.03.24,18.4081764221,18.5429478041,18.3368267780,18.4081764221
2006.03.27,18.4557490056,18.5746646082,18.3923272500,18.5191707611
2006.03.28,18.5429528859,18.7728576937,18.5429528859,18.7570018768
2006.03.29,18.7252907521,18.8838443756,18.6697953961,18.8838443756
2006.03.30,18.8838437624,19.1692423925,18.8838437624,19.1137485504
2006.03.31,18.9789791107,19.0820388978,18.7887138417,18.9789791107
2006.04.03,19.1692443894,19.2960879022,19.0265450595,19.0661830902
2006.04.04,18.9789753208,19.0186133435,18.8283481125,18.9631195068
2006.04.05,19.0265450317,19.1851001784,18.9869070010,19.0820388794
2006.04.06,19.2881564598,19.4704937870,19.2881564598,19.4229278564
2006.04.07,19.3040156624,19.3674374183,19.1454605166,19.3357257843
2006.04.10,19.5735587604,19.7004022738,19.4308594297,19.6924743652
2006.04.11,19.7004017404,19.7796793122,19.5022085670,19.7717514038
2006.04.12,19.7558947013,19.8827382056,19.6211232889,19.7321109772
2006.04.13,19.6211241799,19.8589553833,19.5418466081,19.8589553833
2006.04.17,19.9778718953,20.0967874934,19.8827385095,20.0730037689
2006.04.18,20.1205686422,20.3821835491,20.0650748001,20.3346176147
2006.04.19,20.3663305815,20.6120896890,20.2553413780,20.5328121185
2006.04.20,20.5169544583,20.5169544583,20.0571464055,20.2949790955
2006.04.21,20.3504732785,20.7785697083,20.2236297799,20.7230758667
2006.04.24,20.6041599029,20.6834374661,20.2632674395,20.3108348846
2006.04.25,20.4773178222,20.5328116667,20.2315587201,20.3742580414
2006.04.26,20.3980388693,20.5328102734,20.2553395577,20.2949790955
2006.04.27,20.1760621730,20.2236281030,19.9144472898,19.9778690338
2006.04.28,20.1760634808,20.4297504734,20.1047138251,20.3108348846
2006.05.01,20.4059686106,20.6517277182,20.3504747650,20.5328121185
2006.05.02,20.7230757884,20.8102812604,20.5962322902,20.7706432343
2006.05.03,20.7627150505,20.7864972610,20.2949790903,20.3980388641
2006.05.04,20.2870522184,20.4535337489,20.0175093966,20.1522808075
