Date,Open,High,Low,Close
2003.04.14,7.1493870475,7.1992831230,7.1493870475,7.1992831230
2003.04.15,7.2434785423,7.3062053338,7.2434785423,7.2848210335
2003.04.16,7.3632283501,7.3988676213,7.3632283501,7.3689303398
2003.04.17,7.4095569167,7.4238124968,7.3967262217,7.4216742516
2003.04.21,7.4302298740,7.4309426226,7.4131232956,7.4188246727
2003.04.22,7.4181118727,7.4437732697,7.3953026938,7.4437732697
2003.04.23,7.4487641731,7.4787020683,7.4238161310,7.4787020683
2003.04.24,7.4202521495,7.4202521495,7.3133318852,7.3311524391
2003.04.25,7.2285075872,7.2285075872,7.1992824486,7.2099742889
2003.04.28,7.2285062270,7.3290104866,7.2277934785,7.3290104866
2003.04.29,7.4423467940,7.5414261784,7.4423467940,7.5378618240
2003.04.30,7.5200432354,7.5264579731,7.4972340554,7.5164794922
2003.05.01,7.4950930800,7.5250303497,7.4844012417,7.4872522354
2003.05.02,7.5114896880,7.6020154953,7.5114896880,7.6020154953
2003.05.05,7.6305271874,7.6854125030,7.6305271874,7.6839876175
2003.05.06,7.6839852671,7.7324552183,7.6768571711,7.7231888771
2003.05.07,7.6911151862,7.7103612349,7.6847004484,7.7089357376
2003.05.08,7.6626028220,7.6668799257,7.6340910409,7.6412191391
2003.05.09,7.6519141239,7.7367373585,7.6519141239,7.7310347557
2003.05.12,7.7659600873,7.8386659622,7.7623963437,7.8386659622
2003.05.13,7.8108672741,7.8108672741,7.7730885316,7.7944722176
2003.05.14,7.7944702849,7.7944702849,7.7402977229,7.7552666664
2003.05.15,7.7709503174,7.7709503174,7.7517048761,7.7709503174
2003.05.16,7.7909066239,7.8051628190,7.7552667479,7.7766504288
2003.05.19,7.7267544417,7.7267544417,7.5628106433,7.5913224220
2003.05.20,7.6091458095,7.6383709618,7.5877621187,7.6291046143
2003.05.21,7.6155575064,7.6376545473,7.5756411396,7.6355156898
2003.05.22,7.6376561881,7.7046594620,7.6376561881,7.7046594620
2003.05.23,7.7588296808,7.8023103984,7.7588296808,7.7837777138
2003.05.27,7.8023097336,8.0674717311,7.8023097336,8.0624818802
2003.05.28,8.0624849752,8.1088173124,8.0624849752,8.0974121094
2003.05.29,8.0902851038,8.1244994939,8.0760295158,8.1081056595
2003.05.30,8.1259255392,8.2021951675,8.1095310931,8.2021951675
2003.06.02,8.2257187086,8.3540226955,8.2257187086,8.2613592148
2003.06.03,8.2684813707,8.2684813707,8.1309105228,8.1986265182
2003.06.04,8.1972042303,8.3048372390,8.1972042303,8.3041238785
2003.06.05,8.3340620227,8.3340620227,8.2585051509,8.3126783371
2003.06.06,8.3575843420,8.4751964448,8.3568715933,8.3903732300
2003.06.09,8.4010662841,8.4010662841,8.2920077698,8.3183813095
2003.06.10,8.3212304491,8.4039154053,8.3212304491,8.4039154053
2003.06.11,8.4003513259,8.4174585166,8.3397634099,8.4110431671
2003.06.12,8.4253001592,8.4744834900,8.4188848091,8.4744834900
2003.06.13,8.4545267160,8.4787620111,8.4481113648,8.4716339111
2003.06.16,8.4965817376,8.5635856355,8.4858905049,8.5628728867
2003.06.17,8.6505440935,8.7460597542,8.6505440935,8.7389316559
2003.06.18,8.7154090270,8.7560381439,8.6876093847,8.7068548203
2003.06.19,8.7781351857,8.7923913811,8.6961635914,8.7068548203
2003.06.20,8.7318028564,8.7460590518,8.6819067841,8.7068548203
2003.06.23,8.6783443648,8.6783443648,8.4908779969,8.4930162430
2003.06.24,8.4573736385,8.4573736385,8.3825295428,8.4302873611
2003.06.25,8.4516734243,8.5521783287,8.4516734243,8.5001440048
2003.06.26,8.5407722397,8.5963709130,8.5258039073,8.5920944214
2003.06.27,8.6035009178,8.6070652734,8.5307956502,8.5521793365
2003.06.30,8.5764113868,8.5764113868,8.5322179216,8.5464735031
2003.07.01,8.5785544403,8.6462710908,8.5536063939,8.6391429901
2003.07.02,8.7353693148,8.8487043216,8.7353693148,8.8422889709
2003.07.03,8.8672342300,8.8715113331,8.8494142929,8.8672342300
2003.07.07,8.9599017485,9.0867795944,8.9599017485,9.0867795944
2003.07.08,9.1038836542,9.1288316879,9.0703826382,9.1124372482
2003.07.09,9.1060222941,9.1060222941,9.0525624818,9.0910539627
2003.07.10,9.0411552856,9.0411552856,8.9028723173,8.9313840866
2003.07.11,8.9313871991,9.0062313080,8.9313871991,9.0062313080
2003.07.14,9.1060270420,9.2022554886,9.1060270420,9.1644773483
2003.07.15,9.2093798537,9.2093798537,9.0489997864,9.0489997864
2003.07.16,9.0311804625,9.0810765413,9.0048069258,9.0561285019
2003.07.17,8.9991064549,8.9991064549,8.8194808960,8.8194808960
2003.07.18,8.8351608016,8.9370918274,8.8351608016,8.9370918274
2003.07.21,8.9021614250,8.9021614250,8.8073591452,8.8187637329
2003.07.22,8.8415742298,8.9356643870,8.8315957494,8.9242591858
2003.07.23,8.8957466189,8.8957466189,8.8144871673,8.8672342300
2003.07.24,8.9278245565,8.9876997286,8.9100046158,8.9100046158
2003.07.25,8.9755817825,9.0561285019,8.9634644431,9.0561285019
2003.07.28,9.1095890977,9.1345371391,9.0810773124,9.1060247421
2003.07.29,9.1202821072,9.1245586000,9.0454379782,9.0547037125
2003.07.30,9.0333181266,9.0347436239,8.9705913520,8.9884119034
2003.07.31,9.0026689381,9.0589803722,9.0026689381,9.0311813354
2003.08.01,9.0489987249,9.0668186623,9.0390196333,9.0511369705
2003.08.04,9.0632571674,9.0682470203,8.9812849455,9.0112228394
2003.08.05,9.0112233614,9.0112233614,8.9142827988,8.9142827988
2003.08.06,8.9121388066,8.9221178955,8.8515509134,8.8743600845
2003.08.07,8.9385162629,8.9663159083,8.9171319673,8.9392290115
2003.08.08,9.0133597422,9.0169240971,8.9770065034,8.9991035461
2003.08.11,9.0525627733,9.0703833231,9.0169235090,9.0383071899
2003.08.12,9.0547009061,9.0817877989,9.0418708201,9.0739469528
2003.08.13,9.1858560407,9.2307628694,9.1438008180,9.2022504807
2003.08.14,9.2079530308,9.3298415952,9.2079530308,9.3234262466
2003.08.15,9.2307624817,9.2307624817,9.2307624817,9.2307624817
2003.08.18,9.3163004993,9.4289233612,9.3070347660,9.4274978638
2003.08.19,9.4802430529,9.4802430529,9.4160913988,9.4738283157
2003.08.20,9.4517309082,9.4752540588,9.4175171404,9.4752540588
2003.08.21,9.5522370072,9.6527419062,9.5408318054,9.6491775513
2003.08.22,9.7653646664,9.7653646664,9.6691362540,9.6983613968
2003.08.25,9.6848177115,9.6848177115,9.6128239839,9.6228036880
2003.08.26,9.5836006195,9.5836006195,9.4481691901,9.5051927567
2003.08.27,9.5201627677,9.6156778336,9.4859483793,9.6156778336
2003.08.28,9.6491803945,9.6826820374,9.5921562043,9.6826820374
2003.08.29,9.7439812697,9.7724930546,9.7439812697,9.7525348663
2003.09.02,9.8366416340,9.8986556453,9.8223860528,9.8972301483
2003.09.03,10.0326625521,10.0326625521,9.9685102928,9.9756383896
2003.09.04,9.9834823182,10.0255381660,9.9727910868,10.0112819672
2003.09.05,10.0291004446,10.0291004446,9.9827687228,10.0020141602
2003.09.08,10.1010940592,10.2037372126,10.1010940592,10.1916198730
2003.09.09,10.2130037175,10.2130037175,9.9991638111,10.0148448944
2003.09.10,9.9991657926,9.9991657926,9.7967298253,9.8480520248
2003.09.11,9.8516112078,9.9342961536,9.8366422653,9.8366422653
2003.09.12,9.8687217314,9.9064998627,9.8010057051,9.9064998627
2003.09.15,9.9207560712,9.9207560712,9.7297259446,9.7603759766
2003.09.16,9.8580279288,9.9613838196,9.8359308863,9.9613838196
2003.09.17,9.9784895450,9.9877558874,9.9121990391,9.9186143875
2003.09.18,9.9428531330,10.0504861489,9.9079253848,10.0326662064
2003.09.19,10.0469198551,10.0469198551,9.9642348970,9.9863319397
2003.09.22,9.9414265011,9.9414265011,9.7803336759,9.8231010437
2003.09.23,9.8337952256,9.8544661645,9.8209651354,9.8473386765
2003.09.24,9.9735038465,9.9927492867,9.8580299816,9.8651580811
2003.09.25,9.8651558092,9.8651558092,9.7190313339,9.7190313339
2003.09.26,9.7190326634,9.7190326634,9.6513166428,9.6513166428
2003.09.29,9.6670004574,9.7283011414,9.6584474712,9.7197475433
2003.09.30,9.7803321359,9.7803321359,9.6584435661,9.6890935898
2003.10.01,9.8231007156,9.9464154096,9.8159732290,9.9435644150
2003.10.02,10.0369407557,10.1039434045,10.0148431026,10.0861234665
2003.10.03,10.2286861832,10.2308250414,10.1688116132,10.1859188080
2003.10.06,10.2372375406,10.2472166328,10.1951823141,10.2251195908
2003.10.07,10.2571949663,10.2571949663,10.1930433142,10.2144269943
2003.10.08,10.3042427975,10.3106581483,10.2778692571,10.2906999588
2003.10.09,10.4553539886,10.5138042688,10.4425245137,10.4639081955
2003.10.10,10.5195083637,10.5950658493,10.5195083637,10.5922136307
2003.10.13,10.6563671257,10.7625746551,10.6563671257,10.7525949478
2003.10.14,10.7219384524,10.7219384524,10.5423123955,10.5473022461
2003.10.15,10.6741841034,10.7133883350,10.6492360673,10.6748962402
2003.10.16,10.6748976561,10.6991335587,10.6563649667,10.6720466614
2003.10.17,10.6763253295,10.6763253295,10.5850873609,10.6071844101
2003.10.20,10.6863018740,10.6984192123,10.6528008534,10.6663436890
2003.10.21,10.6912945415,10.7198057175,10.6777504787,10.7198057175
2003.10.22,10.6991307969,10.6991307969,10.5187925777,10.5622720718
2003.10.23,10.4068870544,10.4068870544,10.3370327720,10.4068870544
2003.10.24,10.3356051807,10.3520002365,10.3006786584,10.3520002365
2003.10.27,10.4211398827,10.4781634436,10.4211398827,10.4710359573
2003.10.28,10.6064675109,10.6271390555,10.5779563435,10.6143083572
2003.10.29,10.6492356913,10.7062592475,10.6278520107,10.7026948929
2003.10.30,10.7504529472,10.7597192901,10.6634915071,10.6642036438
2003.10.31,10.6727587515,10.6791741007,10.5651257591,10.5786685944
2003.11.03,10.7632849259,10.8345646830,10.7490287297,10.8310003281
2003.11.04,10.9037066601,10.9058442941,10.8445430186,10.8609380722
2003.11.05,10.8865985277,10.9037069422,10.8388413101,10.8751945496
2003.11.06,10.8310016353,10.8310016353,10.7426146768,10.7975006104
2003.11.07,10.8074781968,10.8481079291,10.7953608579,10.8089036942
2003.11.10,10.7853806442,10.7853806442,10.6528008356,10.6599283218
2003.11.11,10.5815203495,10.5815203495,10.4852925514,10.5230712891
2003.11.12,10.5907882377,10.7233692954,10.5758199020,10.7105398178
2003.11.13,10.7868070774,10.7939357879,10.7012711176,10.7932224274
2003.11.14,10.7689885013,10.8046283851,10.7012718656,10.7383384705
2003.11.17,10.6563644942,10.6563644942,10.4653343948,10.5287733078
2003.11.18,10.5957787909,10.6242911903,10.5494470596,10.5494470596
2003.11.19,10.5138079146,10.5138079146,10.4468046278,10.4810190201
2003.11.20,10.3890655998,10.4033217976,10.3356051638,10.3455848694
2003.11.21,10.3812255249,10.4353981018,10.3812255249,10.4353981018
2003.11.24,10.4353949241,10.5530076114,10.4175755986,10.5487298965
2003.11.25,10.5808084232,10.6135960855,10.5494450346,10.5850849152
2003.11.26,10.6784625077,10.6820268631,10.6242899341,10.6820268631
2003.11.28,10.6912930604,10.8081924141,10.6777489995,10.7775411606
2003.12.01,10.9343583357,11.0861854553,10.9343583357,11.0861854553
2003.12.02,11.0861833734,11.0861833734,11.0234565960,11.0370006561
2003.12.03,11.0925957332,11.1018620752,10.9985055923,10.9985055923
2003.12.04,10.9985079476,10.9985079476,10.8880239564,10.9229516983
2003.12.05,10.9079837511,10.9322196553,10.8473970494,10.9022817612
2003.12.08,10.8880248949,10.9343566190,10.8816095449,10.9236660004
2003.12.09,10.9842535407,11.0020728692,10.8780460358,10.8780460358
2003.12.10,10.9343551304,10.9414838400,10.8131805275,10.8345642090
2003.12.11,10.9307914873,11.0384244736,10.9200996470,11.0320091248
2003.12.12,11.0826215744,11.0840470719,11.0491193238,11.0826215744
2003.12.15,11.1752807500,11.1923879373,11.0626579244,11.0911703110
2003.12.16,11.1018614978,11.1018614978,10.9928030328,11.0448379517
2003.12.17,10.9742703767,10.9742703767,10.8901599423,10.9165334702
2003.12.18,10.9614433686,11.0925989151,10.9614433686,11.0925989151
2003.12.19,11.0662250109,11.1346537766,11.0662250109,11.1196842194
2003.12.22,11.1621427668,11.2767000198,11.1370834061,11.2767000198
2003.12.23,11.2767006928,11.3074874878,11.2530731888,11.3074874878
2003.12.24,11.3425727726,11.3626200195,11.3196618089,11.3440046310
2003.12.26,11.3840986117,11.3840986117,11.3633335952,11.3726425171
2003.12.29,11.4556961116,11.5444774628,11.4413763010,11.5444774628
2003.12.30,11.6124963753,11.6597513872,11.5960293900,11.5996084213
2003.12.31,11.6648826628,11.7580303926,11.6648826628,11.7458486557
2004.01.02,11.8296781584,12.0654114235,11.8296781584,12.0073747635
2004.01.05,12.3384045722,12.4286851883,12.2524227403,12.4286851883
2004.01.06,12.4286896683,12.4286896683,12.2703406086,12.2882528305
2004.01.07,12.2165983907,12.3169107437,12.2165983907,12.3169107437
2004.01.08,12.3462899185,12.3885643829,12.2581580536,12.3634862900
2004.01.09,12.3735144026,12.4401498612,12.3348216556,12.3412704468
2004.01.12,12.3706488947,12.3849806368,12.2832341234,12.3305244446
2004.01.13,12.3563208925,12.3670684703,12.2201828578,12.2603073120
2004.01.14,12.2173171359,12.2997160529,12.2130171207,12.2796525955
2004.01.15,12.2309291751,12.2316450242,12.0123910168,12.0288715363
2004.01.16,12.0195577435,12.0826115095,12.0016442945,12.0804615021
2004.01.20,12.3240737238,12.4422982783,12.3004285669,12.4315519333
2004.01.21,12.4294049880,12.4924587552,12.3599036582,12.4480342865
2004.01.22,12.4064753164,12.4487485423,12.3154776131,12.4165058136
2004.01.23,12.4322699027,12.4387186947,12.3670673628,12.3957271576
2004.01.26,12.4294051787,12.4781284332,12.3756660599,12.4781284332
2004.01.27,12.5032042850,12.5411799549,12.3957260666,12.4150724411
2004.01.28,12.4817061775,12.5003342385,12.2237607284,12.2395229340
2004.01.29,12.1908051147,12.2158832069,11.8447289189,12.0467853546
2004.01.30,11.9658229594,12.0324596854,11.9407448597,12.0303096771
2004.02.02,12.0460673297,12.0489331860,11.9801477148,12.0331697464
2004.02.03,12.0410517159,12.0410517159,11.9471881551,11.9658174515
2004.02.04,11.9013365837,11.9192488079,11.8583450317,11.8583450317
2004.02.05,11.8232285273,11.8769676294,11.8045992343,11.8547554016
2004.02.06,11.9779942886,12.1564067073,11.9672467155,12.1248798370
2004.02.09,12.2524256694,12.3591868284,12.1807743306,12.2997159958
2004.02.10,12.3040201778,12.3154848399,12.2603127682,12.2889738083
2004.02.11,12.3269388220,12.4953195191,12.2911119379,12.4795560837
2004.02.12,12.5368788457,12.5368788457,12.4458811536,12.4731092453
2004.02.13,12.6142655231,12.6214301644,12.4738274835,12.4817104340
2004.02.17,12.6536783535,12.7324943542,12.5977904427,12.7324943542
2004.02.18,12.7475376866,12.7475376866,12.5469129701,12.5590934753
2004.02.19,12.5612437218,12.5942035324,12.4494667053,12.4494667053
2004.02.20,12.3240791659,12.3384096821,12.2065704085,12.3097486496
2004.02.23,12.3814010674,12.4021791472,12.1865080168,12.2022714615
2004.02.24,12.1750397359,12.1750397359,12.1091213496,12.1377811432
2004.02.25,12.1793412961,12.2724877897,12.1621449258,12.2703390121
2004.02.26,12.3333887535,12.3333887535,12.2796484224,12.3312387466
2004.02.27,12.4723942025,12.5325821078,12.4387185443,12.5060710907
2004.03.01,12.5992214165,12.8034278753,12.5913396947,12.7912473679
2004.03.02,12.8055766172,12.8055766172,12.6880678803,12.6895008087
2004.03.03,12.6099654084,12.6199971361,12.5247006425,12.6106824875
2004.03.04,12.6465095795,12.7002486999,12.6314632161,12.6966657639
2004.03.05,12.6966652028,12.7625848268,12.6465090206,12.7432384491
2004.03.08,12.7969760603,12.8256370839,12.6214294434,12.6214294434
2004.03.09,12.6608375758,12.6608375758,12.4680945978,12.5390300751
2004.03.10,12.5533622809,12.5533622809,12.2273471032,12.2524251938
2004.03.11,12.0947915000,12.1256013026,11.9873132706,11.9873132706
2004.03.12,12.0016436589,12.1162865284,12.0016436589,12.0876255035
2004.03.15,11.9944814698,12.0195595642,11.8619251251,11.8619251251
2004.03.16,11.9228244076,12.0123879333,11.9156585384,12.0088062286
2004.03.17,12.1449468002,12.1936712824,12.1177199325,12.1736078262
2004.03.18,12.2079975610,12.2474061546,12.1456608902,12.2452573776
2004.03.19,12.2932667516,12.2932667516,12.0840444565,12.0840444565
2004.03.22,12.1671629870,12.1671629870,11.8218013592,11.8905868530
