Date,Open,High,Low,Close
2001.08.27,21.8986955971,21.8986955971,21.8187532248,21.8561725616
2001.08.28,21.7030947202,21.7286073736,21.5653240561,21.6061458588
2001.08.29,21.6605737478,21.6690779656,21.4819812801,21.5074958801
2001.08.30,21.2608769355,21.2608769355,21.1418158985,21.2013454437
2001.08.31,21.1928393479,21.2863877143,21.1588224679,21.2523708344
2001.09.04,20.8016331417,21.0057382533,20.7676162720,20.7676162720
2001.09.05,20.6995880610,20.7591195511,20.5805270274,20.6400585175
2001.09.06,20.3253954123,20.3253954123,20.1723175049,20.1723175049
2001.09.07,20.1382953914,20.1382953914,19.9852175238,20.0532512665
2001.09.10,19.6110276916,19.8321412663,19.4919666856,19.8236351013
2001.09.17,18.7520868909,19.0327299789,18.7265742368,18.9561920166
2001.09.18,18.7861054997,18.9221749473,18.7095675304,18.8031139374
2001.09.19,18.9817063468,18.9817063468,18.5139665279,18.7520885468
2001.09.20,18.2503288820,18.2503288820,17.9356689453,17.9356689453
2001.09.21,16.6685246822,17.6040024230,16.6685246822,17.4339160919
2001.09.24,18.0292157707,18.2758419742,17.9186609419,18.2418251038
2001.09.25,18.4374268716,18.5905067048,18.2928532038,18.4544372559
2001.09.26,18.6160207798,18.6160207798,18.4884555401,18.5479850769
2001.09.27,18.5479881523,18.8456417254,18.5139712685,18.8405380249
2001.09.28,19.0327319578,19.2470425567,18.9953126160,19.2079219818
2001.10.01,18.9136726002,19.1041698456,18.8762532551,19.1041698456
2001.10.02,18.9076021003,19.1716270447,18.9076021003,19.1716270447
2001.10.03,18.8224264578,19.4509760522,18.8224264578,19.3675117493
2001.10.04,19.5378488718,19.6741197008,19.3504772129,19.5736198425
2001.10.05,19.5736264233,19.6911599310,19.4697190284,19.6042881012
2001.10.08,19.3726217656,19.6315373373,19.3504788505,19.4867477417
2001.10.09,19.5804375401,19.6485739455,19.4100994508,19.4356498718
2001.10.10,19.6741224500,19.8614960844,19.6741224500,19.8274269104
2001.10.11,20.0403429784,20.0897400446,19.8444526159,19.9636898041
2001.10.12,19.7252187723,19.9381427765,19.7252187723,19.9381427765
2001.10.15,19.6741190931,19.7592890896,19.6144995107,19.6230182648
2001.10.16,19.8103931153,19.8955631256,19.7252231051,19.8955631256
2001.10.17,20.2703016101,20.2703016101,19.9125900269,19.9125900269
2001.10.18,19.8103920229,19.8614948060,19.5889511780,19.7507743835
2001.10.19,19.4867494633,19.5719194772,19.3777327812,19.5548858643
2001.10.22,19.4186146867,19.6911563873,19.4186146867,19.6911563873
2001.10.23,19.9125949484,19.9807293910,19.8478660583,19.8478660583
2001.10.24,20.0147957292,20.0999637704,19.9466593469,20.0471591949
2001.10.25,19.8018722684,20.0488634933,19.7167022755,20.0182018280
2001.10.26,19.9466614913,20.1476612091,19.9466614913,20.1476612091
2001.10.29,20.0999664241,20.1152982330,19.7269248962,19.7269248962
2001.10.30,19.6059897194,19.6570905609,19.4288366267,19.5037860870
2001.10.31,19.7422527181,19.8018722980,19.5310344104,19.5582885742
2001.11.01,19.8274265403,19.9705123901,19.7081893068,19.9705123901
2001.11.02,19.9262288572,19.9773316585,19.8172121469,19.9688148499
2001.11.05,19.9977660479,20.2123938634,19.9977660479,20.1681060791
2001.11.06,20.1851377668,20.4150954223,20.1170033203,20.3776206970
2001.11.07,20.0829326898,20.2532707430,20.0658990795,20.1936531067
2001.11.08,20.3214063317,20.5207022944,20.3214063317,20.3384399414
2001.11.09,20.1510740291,20.3265233781,20.1425572218,20.3043785095
2001.11.12,20.0147981311,20.0624914601,19.8870441046,20.0318317413
2001.11.13,20.1510723395,20.2396479075,20.1391480305,20.2158012390
2001.11.14,20.3043729613,20.3333308779,20.2021693524,20.2362365723
2001.11.15,20.2277276181,20.3350405718,20.2175070583,20.3231182098
2001.11.16,20.4406519184,20.4883472147,20.3622968918,20.4372444153
2001.11.19,20.6450589355,20.6842354736,20.5104898567,20.5394477844
2001.11.20,20.5258196270,20.5343364344,20.3980655670,20.3980655670
2001.11.21,20.4065801511,20.4065801511,20.2686055474,20.3452568054
2001.11.23,20.3384483406,20.4099903107,20.3384483406,20.4099903107
2001.11.26,20.5939521248,20.6450549136,20.5053765568,20.6075801849
2001.11.27,20.4832292404,20.4849329914,20.2737127049,20.4474582672
2001.11.28,20.0999703592,20.2311319147,20.0829367453,20.0914535522
2001.11.29,20.1766244219,20.2021748437,20.0778282879,20.1357421875
2001.11.30,20.1681031218,20.2788235411,20.1681031218,20.2123908997
2001.12.03,19.9807284691,20.0863395794,19.9398481953,20.0403480530
2001.12.04,20.1340403532,20.3248195648,20.1340403532,20.3248195648
2001.12.05,20.5854343639,20.8494592540,20.5718082538,20.8136882782
2001.12.06,20.7813274934,20.9141908565,20.7523695690,20.8784198761
2001.12.07,20.6280166198,20.6859305015,20.5275148163,20.5632877350
2001.12.10,20.1681060791,20.3128937410,20.1425556592,20.1681060791
2001.12.11,20.2362366335,20.3265178852,20.2038731644,20.2089824677
2001.12.12,20.3554731783,20.3554731783,20.1510679162,20.2924480438
2001.12.13,19.9296291184,19.9722131462,19.7695116143,19.8120956421
2001.12.14,19.9296312572,19.9619947320,19.8597930542,19.9262237549
2001.12.17,20.0148049180,20.2447626335,20.0062881100,20.1630001068
2001.12.18,20.2447568037,20.3043744428,20.1715091568,20.2175006866
2001.12.19,19.9296315051,20.0403519401,19.8904530252,20.0062847137
2001.12.20,19.9296341572,19.9807350035,19.8529809384,19.9091930389
2001.12.21,19.9466622842,20.0096874237,19.9211118681,20.0096874237
2001.12.24,19.8412758213,19.9691190959,19.8412758213,19.9350280762
2001.12.26,19.7730914269,20.0083225559,19.7730914269,19.9179801941
2001.12.27,20.1140078587,20.2162828684,20.0884395940,20.1821918488
2001.12.28,20.3015117458,20.3662858516,20.2844662365,20.3424205780
2001.12.31,20.3577640476,20.4395836665,20.3356037140,20.3356037140
2002.01.02,20.4293563142,20.4481067657,20.2776477604,20.4481067657
2002.01.03,20.4719765113,20.6322078705,20.4549309956,20.6322078705
