Date,Open,High,Low,Close
1996.03.18,38.2945105842,38.4540710449,38.2945105842,38.4540710449
1996.03.19,38.2945098877,38.2945098877,38.2945098877,38.2945098877
1996.03.20,38.2945098877,38.2945098877,38.2945098877,38.2945098877
1996.03.21,38.6136386840,39.2518806458,38.6136386840,39.2518806458
1996.03.22,38.9327514026,39.2518723157,38.9327514026,39.0923118591
1996.03.25,39.5709793153,39.5709793153,39.0922981139,39.4114189148
1996.03.26,39.4114189148,39.5709793153,39.2518585143,39.4114189148
1996.03.27,39.7305679321,39.8901284459,39.5710074183,39.7305679321
1996.03.28,39.5710074183,39.8901284459,39.5710074183,39.7305679321
1996.03.29,39.8901183292,40.2092392758,39.8901183292,40.0496788025
1996.04.01,40.2092392758,40.2092392758,40.0496788025,40.0496788025
1996.04.02,40.2092254397,40.3687858582,40.2092254397,40.3687858582
1996.04.03,40.2092392758,40.2092392758,39.8901183292,40.0496788025
1996.04.04,40.0496718846,40.2092323303,40.0496718846,40.2092323303
1996.04.08,39.8901124154,39.8901124154,39.5709915161,39.5709915161
1996.04.09,40.0496718846,40.2092323303,39.8901114388,40.2092323303
1996.04.10,40.0496704559,40.2092308960,39.8901100159,39.8901100159
1996.04.11,39.8901100159,40.0496704559,39.8901100159,39.8901100159
1996.04.12,39.8901183292,40.0496788025,39.8901183292,40.0496788025
1996.04.15,40.0496718846,40.2092323303,40.0496718846,40.2092323303
1996.04.16,40.0496718846,40.3687927761,40.0496718846,40.2092323303
1996.04.17,40.0496788025,40.0496788025,39.8901183292,40.0496788025
1996.04.18,40.2092323303,40.3687927761,40.0496718846,40.2092323303
1996.04.19,40.5283515481,40.8474724265,40.5283515481,40.6879119873
1996.04.22,41.1666026823,41.9644050598,41.1666026823,41.9644050598
1996.04.23,41.4857222751,41.6452827454,41.4857222751,41.6452827454
1996.04.24,41.6452810114,42.1239624023,41.6452810114,42.1239624023
1996.04.25,41.8048445843,42.1239655353,41.8048445843,41.9644050598
1996.04.26,42.2835228660,42.2835228660,41.8048414751,42.1239624023
1996.04.29,42.1239494731,42.2835098878,41.8048286438,41.8048286438
1996.04.30,41.9644050598,41.9644050598,41.8048445843,41.9644050598
1996.05.01,41.4857236333,41.9644050598,41.4857236333,41.9644050598
1996.05.02,41.1666006528,41.6452820558,41.1666006528,41.4857215881
1996.05.03,41.4857215881,41.4857215881,41.3261611205,41.4857215881
1996.05.06,41.4857362136,41.6452967375,41.1666151658,41.3261756897
1996.05.07,41.1666151658,41.3261756897,41.0070546419,41.3261756897
1996.05.08,41.4857215881,41.4857215881,40.8474797175,41.4857215881
1996.05.09,41.1666151658,41.3261756897,41.1666151658,41.3261756897
1996.05.10,41.1665947465,41.1665947465,40.8474738570,41.0070343018
1996.05.13,40.5283462766,40.5283462766,40.2092254397,40.3687858582
1996.05.14,40.6879119873,40.6879119873,40.5283515481,40.6879119873
1996.05.15,41.1665947465,41.1665947465,40.8474738570,41.0070343018
1996.05.16,41.1665916443,41.1665916443,40.8474707788,41.1665916443
1996.05.17,40.8474731445,41.0070335865,40.6879127026,40.8474731445
1996.05.20,40.8474724265,40.8474724265,40.6879119873,40.6879119873
1996.05.21,40.5283584595,40.5283584595,40.5283584595,40.5283584595
1996.05.22,40.5283462766,40.5283462766,40.3687858582,40.3687858582
1996.05.23,40.2092392758,40.2092392758,39.8901183292,40.0496788025
1996.05.24,39.8901100159,39.8901100159,39.8901100159,39.8901100159
1996.05.28,39.5709891357,39.8901100159,39.5709891357,39.8901100159
1996.05.29,39.7305495758,39.8901100159,39.7305495758,39.8901100159
1996.05.30,40.2092392758,40.2092392758,39.7305578559,40.0496788025
1996.05.31,39.7305578559,40.0496788025,39.7305578559,40.0496788025
1996.06.03,39.7305397157,39.7305397157,39.4114189148,39.4114189148
1996.06.04,39.4114469046,39.7305679321,39.4114469046,39.7305679321
1996.06.05,39.7305519658,39.7305519658,39.4114310665,39.5709915161
1996.06.06,39.5709915161,39.5709915161,39.5709915161,39.5709915161
1996.06.07,38.9327596649,39.2518806458,38.9327596649,39.2518806458
1996.06.10,39.2518806458,39.2518806458,38.9327596649,39.2518806458
1996.06.11,39.4114189148,39.4114189148,39.4114189148,39.4114189148
1996.06.12,39.5709891357,39.8901100159,39.5709891357,39.8901100159
1996.06.13,39.8901183292,40.0496788025,39.5709973825,40.0496788025
1996.06.14,40.0496718846,40.3687927761,40.0496718846,40.2092323303
1996.06.17,40.2092392758,40.2092392758,39.8901183292,40.0496788025
1996.06.18,40.3687979931,40.5283584595,40.3687979931,40.5283584595
1996.06.19,40.5283515481,40.6879119873,40.3687911090,40.6879119873
1996.06.20,40.6879127026,40.8474731445,40.5283522606,40.8474731445
1996.06.21,40.5283499134,41.1665916443,40.5283499134,41.1665916443
1996.06.24,41.3261607914,41.3261607914,40.5283584595,40.5283584595
1996.06.25,40.6879066950,40.8474671134,40.3687858582,40.3687858582
1996.06.26,40.6879189258,40.6879189258,40.5283584595,40.5283584595
1996.06.27,40.5283584595,40.5283584595,40.5283584595,40.5283584595
1996.06.28,40.5283584595,40.5283584595,40.5283584595,40.5283584595
1996.07.01,40.2092254397,40.3687858582,40.2092254397,40.3687858582
1996.07.02,39.8901100159,40.0496704559,39.5709891357,39.8901100159
1996.07.03,39.8901100159,39.8901100159,39.8901100159,39.8901100159
1996.07.05,39.5709932288,39.5709932288,39.0923118591,39.0923118591
1996.07.08,38.9327385043,39.0922989080,38.6136176969,38.7731781006
1996.07.09,38.7731864491,38.9327468872,38.6136260111,38.9327468872
1996.07.10,38.7731781006,38.7731781006,38.4540572932,38.7731781006
1996.07.11,38.6136308034,38.7731912613,38.2945098877,38.2945098877
1996.07.12,38.2945105842,38.4540710449,38.2945105842,38.4540710449
1996.07.15,38.2945053547,38.2945053547,37.9753844768,38.1349449158
1996.07.16,37.8158285141,38.4540703456,37.8158285141,38.2945098877
1996.07.17,38.6136315057,38.6136315057,38.4540710449,38.4540710449
1996.07.18,38.7731909460,39.2518723157,38.7731909460,39.0923118591
1996.07.19,38.9327531294,38.9327531294,38.4540717385,38.6136322021
1996.07.22,38.2945053547,38.2945053547,37.8158240378,38.1349449158
