Date,Open,High,Low,Close
2007.04.11,32.0377127836,32.0499939322,32.0377127836,32.0377127836
2007.04.12,32.0591771374,32.0591771374,32.0376857310,32.0591771374
2007.04.13,32.0499866894,32.0806883829,32.0008644483,32.0008644483
2007.04.16,32.0131590647,32.0131590647,31.9763179513,31.9885991032
2007.04.17,31.9763053645,32.0530607772,31.9732344922,31.9732344922
2007.04.18,31.9885791184,32.0131390645,31.9762979741,31.9824373750
2007.04.19,31.9916318180,32.1052305895,31.9486490055,32.0929494513
2007.04.20,32.0960389783,32.0960389783,32.0684058157,32.0745475596
2007.04.23,32.1113699874,32.1328637360,32.0683871749,32.0929494513
2007.04.24,32.1113866580,32.3324425754,32.0591935504,32.3140220297
2007.04.25,32.3232523725,32.3631667028,32.3232523725,32.3631667028
2007.04.26,32.3692766143,32.4214697067,32.3262937919,32.4214697067
2007.04.27,32.3938388963,32.4214697067,32.3938388963,32.4214697067
2007.04.30,32.4092033945,32.4306948155,32.3385897294,32.4245554134
2007.05.01,32.4100928757,32.4593541440,32.4100928757,32.4285670258
2007.05.02,32.4347211804,32.4470364966,32.3885393319,32.4162493806
2007.05.03,32.4408591710,32.4747256815,32.3885185236,32.4193079687
2007.05.04,32.4347159825,32.4624260267,32.3916135572,32.4593466109
2007.05.07,32.4254718639,32.4562589672,32.4193153828,32.4562589672
2007.05.08,32.4932037571,32.4962831720,32.4654937209,32.4808884464
2007.05.09,32.5085948722,32.5116742870,32.3762105727,32.3946823636
2007.05.10,32.5424822709,32.5763488084,32.4839874461,32.5116951501
2007.05.11,32.5239963222,32.5670987424,32.4993656968,32.5301551531
2007.05.14,32.5393866945,32.5424637606,32.4962842802,32.5270713834
2007.05.15,32.5424590867,32.6132715280,32.5024360931,32.5024360931
2007.05.16,32.5824856955,32.5917215906,32.5794062808,32.5886421759
2007.05.17,32.6009498150,32.6132651219,32.5393756295,32.5793986152
2007.05.18,32.6194292760,32.6194292760,32.5886421759,32.5886421759
2007.05.21,32.6163601909,32.6225166728,32.5886501498,32.6194372574
