Date,Open,High,Low,Close
2002.07.30,40.8528857896,40.9426286709,40.7332260787,40.7681258768
2002.07.31,40.9077269866,41.1719688460,40.9077269866,41.1420520178
2002.08.01,41.1520205963,41.3315063289,41.1420470535,41.3115630471
2002.08.02,41.3913396854,41.7303679286,41.3315136331,41.6306553057
2002.08.05,41.7204123084,41.8400682572,41.6456259140,41.8400682572
2002.08.06,41.6356509098,41.6356509098,41.3963352387,41.5010346561
2002.08.07,41.4760995990,41.7054416748,41.4312262561,41.6306553057
2002.08.08,41.5459094820,41.5808092891,41.4262497403,41.4860796112
2002.08.09,41.5409041076,41.8201024390,41.5409041076,41.7951761901
2002.08.12,41.9298265259,42.0195694713,41.8550401041,41.8799701793
2002.08.13,42.0394838608,42.2488826548,41.9098544058,42.2139828558
2002.08.14,42.3735104837,42.4931701559,42.0594124029,42.0893254190
2002.08.15,41.8799659164,42.0444952669,41.7553231607,41.8450660970
2002.08.16,42.0045814617,42.0145512020,41.5159805022,41.5708235835
2002.08.19,41.6356632708,41.6356632708,41.4462038655,41.6107332005
2002.08.20,41.7802386245,41.9946242415,41.7303784967,41.9946242415
2002.08.21,41.7702752641,41.8999047814,41.7303886736,41.8899312319
2002.08.22,41.7802516298,41.7802516298,41.6306788072,41.6655786253
2002.08.23,41.7403349468,41.8799341186,41.7104219254,41.8550040649
2002.08.26,41.8400840584,41.9796833520,41.8151577867,41.8749838818
2002.08.27,41.7553016754,41.8450445655,41.6655587853,41.7503149027
2002.08.28,41.9248026701,41.9646892336,41.8799331390,41.9048631921
2002.08.29,42.1641339356,42.1741036783,42.0444780044,42.0993210987
2002.08.30,42.1691359594,42.1990490020,42.0295366884,42.1791057057
2002.09.03,42.5693136035,42.8244604105,42.5242897171,42.6393571216
2002.09.04,42.6043286024,42.7494080849,42.5643048336,42.6243366700
2002.09.05,42.8244869294,42.8495027597,42.6193716250,42.7944709865
2002.09.06,42.5692960161,42.6493435369,42.4442246274,42.4642365076
2002.09.09,42.4942716930,42.5993312397,42.3992161816,42.4042201077
2002.09.10,42.3792329226,42.6293759599,42.3542209090,42.5543322853
2002.09.11,42.3292248121,42.3992645899,42.2691890811,42.3992645899
2002.09.12,42.4242851654,42.6394084545,42.4242851654,42.6193965419
2002.09.13,42.7143737586,42.8494529783,42.6693498966,42.8194332535
2002.09.16,42.8794852792,42.9845448143,42.8344614000,42.8344614000
2002.09.17,42.7244807420,43.0046400450,42.7244807420,42.9746240674
2002.09.18,42.9845709758,43.1346582983,42.9795708641,43.0245947708
2002.09.19,43.2346864831,43.2597022932,43.0846030729,43.2396904085
2002.09.20,43.1746690689,43.2647206718,43.1246374319,43.2246968890
2002.09.23,43.4648025741,43.5548541162,43.3847588794,43.4698064978
2002.09.24,43.5549113860,43.7500226809,43.4648597256,43.6249511423
2002.09.25,43.3747719391,43.5198552610,43.2246885079,43.2947282058
2002.09.26,43.1896514033,43.3197228951,43.0545721707,43.2646949974
2002.09.27,43.3147791712,43.5499142908,43.2797592906,43.5499142908
2002.09.30,43.7249643218,43.8750477189,43.6799366308,43.8050080369
2002.10.01,43.5330832388,43.6635392349,43.4226944511,43.4226944511
2002.10.02,43.4377260770,43.5832381524,43.3423896552,43.5681858391
2002.10.03,43.5782199471,43.5882573748,43.3624611882,43.5430966063
2002.10.04,43.2370398358,43.6334341932,43.2320249477,43.5882772322
2002.10.07,43.7437978465,43.7839398965,43.6283904100,43.7588501582
2002.10.08,43.6184022617,43.9044079662,43.5882976070,43.6786153994
2002.10.09,43.8742693320,43.8993552488,43.7387908343,43.8993552488
2002.10.10,43.8542035241,43.8893268743,43.6033213573,43.6484783098
2002.10.11,43.4928997246,43.5380566430,43.2420177474,43.3373541238
2002.10.14,43.4528000950,43.4528000950,43.2169701938,43.3022730587
