Date,Open,High,Low,Close
2000.05.26,32.4569853224,32.5906448364,32.3010492227,32.5906448364
2000.05.30,33.0584443406,33.7935714722,33.0584443406,33.7935714722
2000.05.31,33.9049498159,34.3504813509,33.9049498159,33.9160881042
2000.06.01,34.6122400839,34.6846389771,34.6122400839,34.6846389771
2000.06.02,36.2551514308,36.4890556335,36.2551514308,36.4890556335
2000.06.05,36.3999303556,36.7563556222,36.3108240389,36.3553771973
2000.06.06,36.9290000889,37.3578242492,36.6004205375,36.7118034363
2000.06.07,36.4890325512,36.7563514709,36.1548839014,36.7563514709
2000.06.08,37.1573440904,37.1573440904,36.6672592163,36.6672592163
2000.06.09,37.0236863913,37.3132820129,37.0014098051,37.3132820129
2000.06.12,37.4246600283,37.4246600283,36.1771713607,36.2050170898
2000.06.13,36.1159137330,36.6672592163,35.7761958089,36.6672592163
2000.06.14,36.9680023345,36.9680023345,36.4890556335,36.4890556335
2000.06.15,36.2662618963,36.5335807800,35.9154058613,36.5335807800
2000.06.16,36.6895323238,36.7118089069,36.3331069946,36.3331069946
2000.06.19,36.5335978275,37.2464485168,36.3665234472,37.2464485168
2000.06.20,37.3021460446,37.5471885090,37.1573482248,37.4914970398
2000.06.21,37.1785577270,37.7580796100,37.1785577270,37.6912117004
2000.06.22,37.8026201946,37.8026201946,36.5544204712,36.5544204712
2000.06.23,36.9110761611,36.9110761611,36.0195042731,36.3092651367
2000.06.26,36.4541451504,36.7550506592,36.2869754234,36.7550506592
2000.06.27,36.8107589256,37.1339535998,36.1755142212,36.1755142212
2000.06.28,36.3315574481,37.2231294100,36.3315574481,37.0893936157
2000.06.29,36.9110913958,36.9779593150,36.3984373486,36.5098838806
2000.06.30,36.5321528659,36.8609199524,36.2312473969,36.8609199524
2000.07.03,36.7773581489,37.3791694641,36.7327795330,37.3791694641
2000.07.05,37.1674024642,37.1785471126,36.8274906875,36.9556541443
2000.07.06,36.9667927363,37.3902893066,36.6213086920,37.3902893066
2000.07.07,37.3958709308,37.7692166844,37.3958709308,37.6243362427
2000.07.10,37.6020580604,38.0032655560,37.6020580604,37.8695297241
2000.07.11,37.8026351794,38.0143834307,37.6911887313,37.8249244690
2000.07.12,38.0255464216,38.5827789307,37.9809678208,38.5827789307
2000.07.13,38.6162032334,38.7053604126,38.5159014068,38.7053604126
2000.07.14,38.9059582909,38.9059582909,38.4267385239,38.7387886047
2000.07.17,38.7722414743,38.9394112421,38.6719396136,38.8725433350
2000.07.18,38.6162017301,38.6162017301,38.2038497925,38.2038497925
2000.07.19,38.0812785688,38.0812785688,37.5351905823,37.5351905823
2000.07.20,37.8917997128,38.1592712402,37.8917997128,38.1592712402
2000.07.21,37.9363830566,37.9363830566,37.1116790771,37.1116790771
2000.07.24,37.3122900690,37.3122900690,36.4931582530,36.5711708069
2000.07.25,36.8609249244,36.8609249244,36.4207113085,36.6436042786
2000.07.26,36.3761138079,36.5767173767,35.9971959557,36.5767173767
2000.07.27,36.5042893719,36.5042893719,35.5737113953,35.5737113953
2000.07.28,35.7798761178,35.7798761178,34.8604430763,34.9496002197
2000.07.31,35.1279328190,35.8411903381,34.7267254644,35.8411903381
2000.08.01,35.5737132757,35.7074490399,35.4065435705,35.6071472168
2000.08.02,35.3953931999,35.8634682989,35.3062360382,35.6628646851
2000.08.03,34.9719191546,35.7074662114,34.9719191546,35.6405982971
2000.08.04,36.0640794936,36.0752241411,35.6071489437,35.8188972473
2000.08.07,35.9526503181,36.4820213318,35.9526503181,36.4820213318
2000.08.08,36.3761330283,36.4875795143,36.3092651367,36.3092651367
2000.08.09,36.5767301806,36.5767301806,36.0473594666,36.0473594666
2000.08.10,36.0529386641,36.0863726103,35.7297438508,35.8411903381
2000.08.11,35.4845684210,36.4652976990,35.4845684210,36.4652976990
2000.08.14,36.3538357042,36.8442001343,36.3315464119,36.8442001343
