Date,Open,High,Low,Close
1971.02.05,100.0000000000,100.0000000000,100.0000000000,100.0000000000
1971.02.08,100.8399963379,100.8399963379,100.8399963379,100.8399963379
1971.02.09,100.7600021362,100.7600021362,100.7600021362,100.7600021362
1971.02.10,100.6900024414,100.6900024414,100.6900024414,100.6900024414
1971.02.11,101.4499969482,101.4499969482,101.4499969482,101.4499969482
1971.02.12,102.0500030518,102.0500030518,102.0500030518,102.0500030518
1971.02.16,102.1900024414,102.1900024414,102.1900024414,102.1900024414
1971.02.17,101.7399978638,101.7399978638,101.7399978638,101.7399978638
1971.02.18,101.4199981689,101.4199981689,101.4199981689,101.4199981689
1971.02.19,100.6999969482,100.6999969482,100.6999969482,100.6999969482
1971.02.22,99.6800003052,99.6800003052,99.6800003052,99.6800003052
1971.02.23,99.7200012207,99.7200012207,99.7200012207,99.7200012207
1971.02.24,100.6399993896,100.6399993896,100.6399993896,100.6399993896
1971.02.25,101.2300033569,101.2300033569,101.2300033569,101.2300033569
1971.02.26,101.3399963379,101.3399963379,101.3399963379,101.3399963379
1971.03.01,101.7799987793,101.7799987793,101.7799987793,101.7799987793
1971.03.02,101.8399963379,101.8399963379,101.8399963379,101.8399963379
1971.03.03,102.0699996948,102.0699996948,102.0699996948,102.0699996948
1971.03.04,102.7799987793,102.7799987793,102.7799987793,102.7799987793
1971.03.05,103.0000000000,103.0000000000,103.0000000000,103.0000000000
1971.03.08,104.2300033569,104.2300033569,104.2300033569,104.2300033569
1971.03.09,104.4100036621,104.4100036621,104.4100036621,104.4100036621
1971.03.10,104.1399993896,104.1399993896,104.1399993896,104.1399993896
1971.03.11,104.2600021362,104.2600021362,104.2600021362,104.2600021362
1971.03.12,104.5000000000,104.5000000000,104.5000000000,104.5000000000
1971.03.15,105.1299972534,105.1299972534,105.1299972534,105.1299972534
1971.03.16,105.5599975586,105.5599975586,105.5599975586,105.5599975586
1971.03.17,105.5000000000,105.5000000000,105.5000000000,105.5000000000
1971.03.18,105.8799972534,105.8799972534,105.8799972534,105.8799972534
1971.03.19,105.7699966431,105.7699966431,105.7699966431,105.7699966431
1971.03.22,105.3700027466,105.3700027466,105.3700027466,105.3700027466
1971.03.23,105.1100006104,105.1100006104,105.1100006104,105.1100006104
1971.03.24,104.6999969482,104.6999969482,104.6999969482,104.6999969482
1971.03.25,104.5999984741,104.5999984741,104.5999984741,104.5999984741
1971.03.26,105.0699996948,105.0699996948,105.0699996948,105.0699996948
1971.03.29,105.1999969482,105.1999969482,105.1999969482,105.1999969482
1971.03.30,105.4400024414,105.4400024414,105.4400024414,105.4400024414
1971.03.31,105.9700012207,105.9700012207,105.9700012207,105.9700012207
1971.04.01,106.3399963379,106.3399963379,106.3399963379,106.3399963379
1971.04.02,106.8600006104,106.8600006104,106.8600006104,106.8600006104
1971.04.05,107.1699981689,107.1699981689,107.1699981689,107.1699981689
1971.04.06,107.5599975586,107.5599975586,107.5599975586,107.5599975586
1971.04.07,108.0599975586,108.0599975586,108.0599975586,108.0599975586
1971.04.08,108.3799972534,108.3799972534,108.3799972534,108.3799972534
1971.04.12,108.8700027466,108.8700027466,108.8700027466,108.8700027466
1971.04.13,108.8499984741,108.8499984741,108.8499984741,108.8499984741
1971.04.14,109.0800018311,109.0800018311,109.0800018311,109.0800018311
1971.04.15,109.6900024414,109.6900024414,109.6900024414,109.6900024414
1971.04.16,109.9599990845,109.9599990845,109.9599990845,109.9599990845
1971.04.19,110.1600036621,110.1600036621,110.1600036621,110.1600036621
1971.04.20,109.5299987793,109.5299987793,109.5299987793,109.5299987793
1971.04.21,109.5199966431,109.5199966431,109.5199966431,109.5199966431
1971.04.22,109.9899978638,109.9899978638,109.9899978638,109.9899978638
1971.04.23,110.6900024414,110.6900024414,110.6900024414,110.6900024414
1971.04.26,111.1299972534,111.1299972534,111.1299972534,111.1299972534
1971.04.27,111.6900024414,111.6900024414,111.6900024414,111.6900024414
1971.04.28,112.3700027466,112.3700027466,112.3700027466,112.3700027466
1971.04.29,112.4599990845,112.4599990845,112.4599990845,112.4599990845
