Date,Open,High,Low,Close
2000.06.19,12.7583255768,12.7583255768,12.7583255768,12.7583255768
2000.06.20,12.7924713162,12.8123884201,12.7924713162,12.8123884201
2000.06.21,12.8892055153,12.8892055153,12.8749790192,12.8749790192
2000.06.22,12.8806734085,12.8806734085,12.8806734085,12.8806734085
2000.06.23,12.8806734085,12.8806734085,12.8806734085,12.8806734085
2000.06.26,12.7924684743,12.7924684743,12.7014188766,12.7014188766
2000.06.27,12.8778323853,12.8835229874,12.8778323853,12.8835229874
2000.06.28,12.8835229874,12.8835229874,12.8835229874,12.8835229874
2000.06.29,12.8835229874,12.8835229874,12.8835229874,12.8835229874
2000.06.30,13.0371692421,13.0428598441,12.8835229874,12.8835229874
2000.07.03,12.9005953886,12.9575014114,12.9005953886,12.9575014114
2000.07.05,12.9745679113,13.0769987106,12.9631867114,13.0769987106
2000.07.06,13.0200982150,13.1566726718,13.0200982150,13.1168384552
2000.07.07,13.1509778038,13.2534086131,13.1509778038,13.2135744095
2000.07.10,13.2420322468,13.2477228494,13.2021980286,13.2021980286
2000.07.11,13.1965007782,13.1965007782,13.1965007782,13.1965007782
2000.07.12,13.2021974071,13.2021974071,13.1339101791,13.1339101791
2000.07.13,13.1225223541,13.1225223541,13.1225223541,13.1225223541
2000.07.14,13.1111460540,13.1225272572,13.0940742493,13.0940742493
2000.07.17,13.1509790421,13.1509790421,13.1509790421,13.1509790421
2000.07.18,13.1908121109,13.1908121109,13.1908121109,13.1908121109
2000.07.19,13.1276704043,13.1793315471,13.0874895154,13.1448907852
2000.07.20,13.1908138290,13.1908138290,13.1621131897,13.1621131897
2000.07.21,13.3457975765,13.3630179604,13.3400574485,13.3515377045
2000.07.24,13.4089434984,13.4606046677,13.3859829787,13.4606046677
2000.07.25,13.4663399893,13.4663399893,13.4548597336,13.4548597336
2000.07.26,13.5007777650,13.6471509933,13.5007777650,13.6471509933
2000.07.27,13.6672476580,13.8107508883,13.6672476580,13.7992706299
2000.07.28,13.7963962555,13.8107465740,13.7963962555,13.7963962555
2000.07.31,13.8222285967,13.8222285967,13.6729852647,13.7016859055
2000.08.01,13.8451905142,13.9915637970,13.8337102567,13.9915637970
2000.08.02,14.0231322863,14.0231322863,14.0001717750,14.0173921585
2000.08.03,13.9829526231,13.9829526231,13.8365793506,13.9140710831
2000.08.04,13.7935259972,13.7935259972,13.6270623043,13.6959438324
2000.08.07,13.7476049785,13.7935259972,13.6844635777,13.6959438324
2000.08.08,13.6385360750,13.7418583180,13.6385360750,13.7188978195
2000.08.09,13.7648275034,13.7648275034,13.7246466058,13.7303867340
2000.08.10,13.7992706299,13.8164910175,13.7619597900,13.7992706299
2000.08.11,13.8050080474,13.8394488160,13.7992679194,13.8222284317
2000.08.14,13.7992700436,13.8566713333,13.7992700436,13.8566713333
2000.08.15,13.7992666626,13.8222271729,13.7763061523,13.7763061523
2000.08.16,13.7763074070,13.8509290721,13.7763074070,13.8222284317
2000.08.17,13.8624042074,13.8624042074,13.8423137665,13.8423137665
2000.08.18,13.8222200625,13.8222200625,13.7188978195,13.7188978195
2000.08.21,13.7476057448,13.7476057448,13.6672439575,13.6672439575
2000.08.22,13.7016859430,13.7533470965,13.6844655585,13.7074260712
2000.08.23,13.7074270127,13.7102970770,13.5581836700,13.5581836700
2000.08.24,13.5581835330,13.5667937258,13.4634714127,13.4634714127
2000.08.25,13.5065198503,13.5065198503,13.4376383211,13.4433784485
2000.08.28,13.4376408344,13.5266128262,13.4376408344,13.4634714127
2000.08.29,13.4089427429,13.4089427429,13.3343210581,13.3400611877
2000.08.30,13.3170916283,13.4089336395,13.3170916283,13.4089336395
2000.08.31,13.4605963207,13.4950370789,13.4605963207,13.4950370789
2000.09.01,13.4146766663,13.4864282530,13.4146766663,13.4146766663
2000.09.05,13.4663421937,13.5237434819,13.4433816785,13.5007829666
2000.09.06,13.5007869557,13.6098494354,13.4893066947,13.6069793701
2000.09.07,13.5581781848,13.5926189423,13.5581781848,13.5926189423
2000.09.08,13.6557677234,13.8509321213,13.6557677234,13.8509321213
2000.09.11,13.9025842763,13.9714657839,13.8796237738,13.9312849045
2000.09.12,13.9025866091,14.0001687612,13.9025866091,13.9944286346
2000.09.13,14.0173927357,14.0173927357,13.9025901744,13.9599914551
2000.09.14,13.9714744283,13.9944349451,13.9198132657,13.9370336533
2000.09.15,13.9628623984,13.9628623984,13.9025910499,13.9485120773
2000.09.18,13.8222289740,13.8337092306,13.7590875626,13.7590875626
2000.09.19,13.7160307188,13.8021326065,13.7016804041,13.8021326065
2000.09.20,13.8566679382,13.8566679382,13.7763061523,13.7763061523
2000.09.21,13.7877853758,13.7877853758,13.7160337866,13.7648248672
2000.09.22,13.5926210532,13.7648248672,13.5926210532,13.7648248672
2000.09.25,13.8038583765,13.8038583765,13.7487525940,13.7487525940
2000.09.26,13.7763058650,13.8038587570,13.7487529730,13.8038587570
2000.09.27,13.8222350155,13.8865242004,13.7763139690,13.8865242004
2000.09.28,13.9875447135,13.9875447135,13.9416236877,13.9416236877
2000.09.29,14.0242812668,14.0242812668,13.9140710831,13.9140710831
2000.10.02,13.9232617576,13.9232617576,13.7671290795,13.7854986191
2000.10.03,13.7028287271,13.7028287271,13.6018033487,13.6109867096
2000.10.04,13.4769030554,13.4769030554,13.4181241989,13.4181241989
2000.10.05,13.4548575413,13.4824104309,13.4548575413,13.4824104309
2000.10.06,13.4915959914,13.4915959914,13.4456749684,13.4548597336
2000.10.09,13.4548644330,13.4548644330,13.3722071233,13.4456796646
2000.10.10,13.4548597336,13.4548597336,13.4089387106,13.4548597336
2000.10.11,13.4089361150,13.4089361150,13.2895411981,13.3538303375
2000.10.12,13.2711706859,13.2711706859,13.1242229067,13.1425924301
2000.10.13,13.0966706436,13.1701431274,13.0874858824,13.1701431274
2000.10.16,13.1976985804,13.3354616165,13.1976985804,13.3354616165
2000.10.17,13.3262798827,13.3262798827,13.0874900304,13.1517791748
2000.10.18,13.0347394258,13.0998663167,13.0235738019,13.0905618668
2000.10.19,13.1742941360,13.1929016113,13.1277747378,13.1929016113
2000.10.20,13.1463890076,13.1463890076,13.1463890076,13.1463890076
2000.10.23,13.0719526064,13.1091675620,13.0440406799,13.0440406799
2000.10.24,12.9696070694,12.9696070694,12.9323921204,12.9323921204
2000.10.25,12.9044831807,12.9416995580,12.8858757019,12.8858757019
2000.10.26,12.8579640477,12.9323953842,12.8486610179,12.9230909348
2000.10.27,12.9603061331,13.1649912251,12.9510016845,13.0812568665
2000.10.30,13.1091726180,13.1556920402,13.0905651330,13.1463890076
