Date,Open,High,Low,Close
2002.07.30,37.4048075760,37.6632799390,37.3863440571,37.4306548123
2002.07.31,37.5894312124,37.7555916134,37.4971192525,37.6595863863
2002.08.01,37.8109812489,38.0694536228,37.7740570265,38.0288361330
2002.08.02,37.9955972961,38.1432969722,37.8294341041,38.1063699404
2002.08.05,38.2725541875,38.2725541875,37.8516117102,38.0140789079
2002.08.06,37.8479083205,37.9032960668,37.7002086026,37.8848325457
2002.08.07,37.9217733645,38.0694731470,37.7371493407,37.9919313951
2002.08.08,38.0325362407,38.0325362407,37.7851408073,37.8811432394
2002.08.09,37.9586575817,38.0989706672,37.8884996303,38.0325059810
2002.08.12,38.0694482856,38.1469899869,38.0140605512,38.0842185359
2002.08.13,38.2097947267,38.3981092298,38.0879421773,38.3981092298
2002.08.14,38.4091692952,38.6602580058,38.4017855759,38.4128625633
2002.08.15,38.4940938222,38.4940938222,38.2171578954,38.2983928847
2002.08.16,38.5494845744,38.5494845744,38.1063853668,38.1137719030
2002.08.19,38.2725584844,38.4165649893,38.2540949562,38.3279462518
2002.08.20,38.6971958829,38.7525808354,38.5642663626,38.7378133928
2002.08.21,38.7710274018,38.8264151473,38.6602519110,38.7894909227
2002.08.22,38.8633173996,38.8633173996,38.6860772779,38.7340812781
2002.08.23,38.8448655422,38.8817925741,38.7156293819,38.8448655422
2002.08.26,38.7710558280,38.9187556517,38.7710558280,38.8855218532
2002.08.27,38.8448758510,38.8633393718,38.6787154318,38.7894909227
2002.08.28,38.9187153690,39.0257975600,38.8264034269,38.8633276403
2002.08.29,39.0664122187,39.1033364294,38.8817883477,39.0073312277
2002.08.30,39.1402736852,39.1402736852,38.8818013066,39.0294981989
2002.09.03,39.3075202374,39.3631971772,39.2147262816,39.2147262816
2002.09.04,39.3817428153,39.4003027338,39.2518318814,39.3594731786
2002.09.05,39.5673243069,39.6044413061,39.2778077488,39.4708178436
2002.09.06,39.4671149504,39.4671149504,39.0476845748,39.2035805293
2002.09.09,39.0662547496,39.3446366124,39.0662547496,39.2295730153
2002.09.10,39.0699892093,39.4745697175,39.0662766561,39.3966230920
2002.09.11,39.1590734442,39.3446614700,39.0551446028,39.3446614700
2002.09.12,39.4188775857,39.6193129020,39.3075265200,39.5487914100
2002.09.13,39.6415313370,39.6860705698,39.4373837472,39.6155491739
2002.09.16,39.9348117690,39.9348117690,39.6861246078,39.7714963067
2002.09.17,39.8085809062,40.1723342202,39.6229931164,39.8011586406
2002.09.18,39.8642674000,39.8642674000,39.6564070998,39.7529135666
2002.09.19,39.8642674000,39.8865370340,39.6601196494,39.7529135666
2002.09.20,39.7529363798,39.7714963067,39.6044654607,39.7714963067
2002.09.23,39.9014016750,39.9014016750,39.6415797271,39.6490019977
2002.09.24,39.6786898034,39.9756287160,39.4931019211,39.6415727933
2002.09.25,39.6044569879,39.6972509385,39.3891771747,39.5599177040
2002.09.26,39.3483678536,39.6267498486,39.2704212348,39.6044773633
2002.09.27,39.6786639621,39.9199286183,39.5524628117,39.9199286183
2002.09.30,39.9385317461,40.0313257338,39.7715037009,39.8457377584
2002.10.01,39.8446063384,39.8818785534,39.6955146349,39.8185155036
2002.10.02,39.8818752582,39.8818752582,39.6880580503,39.8073308345
2002.10.03,39.9004740651,39.9004740651,39.6954728332,39.7886546943
2002.10.04,39.3786817368,39.7514094336,39.3786817368,39.6954997103
2002.10.07,39.6582503423,39.6582503423,39.5091586090,39.5091586090
2002.10.08,39.1364026150,39.4345858676,39.1364026150,39.1401306877
2002.10.09,39.1364082995,39.1364082995,38.8195903249,38.9947727980
2002.10.10,38.8009563774,38.9873202436,38.6518647157,38.9873202436
2002.10.11,39.2668738515,39.2668738515,38.9426024798,39.0991474761
2002.10.14,39.0991517896,39.2370592732,39.0506953494,39.1699681469
2002.10.15,38.6891583356,39.0059764915,38.6891583356,38.7077930249
2002.10.16,38.6705088624,39.0245991314,38.5400547025,38.6145991242
2002.10.17,38.4841330112,38.4841330112,38.1673150515,38.3238599948
2002.10.18,38.2977454569,38.4281994955,37.9809276934,38.4244714248
2002.10.21,38.5400677935,38.5400677935,38.1337928788,38.1971587869
2002.10.22,38.1859488372,38.4244943196,38.1859488372,38.3536779957
2002.10.23,38.3201549145,38.5773380783,38.2418823959,38.4282463479
2002.10.24,38.3909606416,38.5773245282,38.2791411722,38.5735964543
2002.10.25,38.7897844293,38.8382380225,38.5549669245,38.8382380225
2002.10.28,38.9463136819,38.9500417549,38.8382223157,38.9463136819
2002.10.29,39.0991713589,39.3153543013,38.9500795765,39.1737158283
2002.10.30,39.1364322245,39.3153428802,39.0432502430,39.1811605993
2002.10.31,39.2966654428,39.6023019180,39.2966654428,39.6023019180
2002.11.01,39.6011966982,39.6011966982,39.2154075646,39.3202840284
2002.11.04,39.3277812941,39.4026902107,39.0843230289,39.4026902107
2002.11.05,39.5899571450,39.5899571450,39.1966811283,39.3614812820
2002.11.06,39.5712282823,39.8071938741,39.3352598330,39.4813370366
2002.11.07,39.8671257995,40.0394185555,39.7847242950,40.0394185555
2002.11.08,40.1330790875,40.1330790875,38.4176374348,40.0918783117
2002.11.11,40.2641522042,40.2641522042,40.1368064898,40.2004793470
2002.11.12,40.1892672750,40.1892672750,39.8671536366,39.8671536366
2002.11.13,40.0656661526,40.0656661526,39.8634085462,40.0207190653
2002.11.14,39.7772419991,40.0057179181,39.7060793830,39.7547698948
2002.11.15,39.8147151453,40.0019903758,39.7585320046,39.9832617097
2002.11.18,40.0244261104,40.2828666080,39.9307885802,40.2603916576
2002.11.19,40.3166079418,40.3166079418,40.0881319515,40.1855158631
2002.11.20,40.4251897051,40.4251897051,40.0543859311,40.0543859311
2002.11.21,40.0394035851,40.0731117203,39.8296536000,40.0543859311
2002.11.22,39.9832149639,40.0356517386,39.8895774582,39.8895774582
2002.11.25,40.0057246994,40.0169607534,39.8559068352,39.8858686935
2002.11.26,39.9457970427,40.1105972603,39.9270683814,40.1105972603
2002.11.27,40.0394357191,40.0731438813,39.7772487417,39.8858686935
2002.11.29,39.9645239295,40.0019812531,39.7098295598,39.8858686935
2002.12.02,39.7899562247,40.0194126234,39.6094021577,39.9517041308
