Date,Open,High,Low,Close
1999.03.10,43.1613407188,43.1877229564,42.4490203035,43.1085762436
1999.03.11,43.4251633340,43.6757945926,42.4754027751,43.3196343830
1999.03.12,43.1613475503,43.1877297921,41.9213821867,42.2643513298
1999.03.15,42.5809347077,43.5306953332,42.1324366346,43.4779308540
1999.03.16,43.6626097735,44.0319611553,43.1877294255,43.8472854644
1999.03.17,43.8472755274,43.9000399985,43.3987775226,43.5306887005
1999.03.18,43.4779177386,44.4012958459,43.4647266228,44.3749136142
1999.03.19,44.9553116733,44.9553116733,43.2140848127,43.2404670379
1999.03.22,43.4251708971,43.5306998665,42.6337036268,42.7128503538
1999.03.23,42.4754042673,42.6336976994,41.1299100949,41.2090568109
1999.03.24,41.5783970518,42.6336863171,40.9452234926,42.6073040854
1999.03.25,43.2668670936,44.1638631187,42.9832580562,44.1638631187
1999.03.26,43.7945141212,44.2957766322,43.5043095095,43.6889851715
1999.03.29,44.2166484759,45.2983206642,43.9528259910,45.2719384157
1999.03.30,45.2191487019,45.5884999748,44.7706507276,44.9553263641
1999.03.31,45.6940275495,45.7467920155,44.1638580357,44.2957692007
1999.04.01,45.5884974241,45.6412618888,44.4804436673,45.2191461719
1999.04.05,45.9512280792,46.9207745881,45.6676192364,46.8548190433
1999.04.06,46.8020850229,47.4616408998,46.4063514968,46.9471873158
1999.04.07,47.3825060087,47.4880349753,45.4566023680,46.4591275508
1999.04.08,46.3799764516,47.0527235503,45.4302158416,46.8284745174
1999.04.09,46.7493105705,47.2241907004,46.6173994233,47.1186617826
1999.04.12,46.0106208485,47.1186747910,45.9578563751,46.8020879503
1999.04.13,47.0922762093,47.1978051195,45.7995470584,46.1688982444
1999.04.14,46.7493147618,46.8020792254,44.3287449935,44.5859717537
1999.04.15,44.7442768346,45.2653260489,43.1613425126,45.1927748925
1999.04.16,45.0872238415,45.0872238415,43.6362014242,43.8736414561
1999.04.19,44.1638636998,44.5332150091,41.3739422027,41.8158446620
1999.04.20,41.6311831172,43.1085888552,41.2354494374,42.7656196661
1999.04.21,43.1613329914,44.9025603614,42.5809238680,44.8761781286
