Date,Open,High,Low,Close
2020.06.01,84.5339285405,84.5339285405,84.5254814804,84.5254814804
2020.06.02,84.5339252810,84.5339252810,84.5280123391,84.5280123391
2020.06.03,84.5296970141,84.5296970141,84.5296970141,84.5296970141
2020.06.04,84.5170199769,84.5347716978,84.5170199769,84.5296970141
2020.06.05,84.5339285405,84.5339285405,84.5254814804,84.5254814804
2020.06.08,84.5254814804,84.5254814804,84.5254814804,84.5254814804
2020.06.09,84.5254814804,84.5254814804,84.5254814804,84.5254814804
2020.06.10,84.5339205438,84.5339205438,84.5296970141,84.5296970141
2020.06.11,84.5339205438,84.5423740512,84.5296970141,84.5296970141
2020.06.12,84.5254734844,84.5339205438,84.5254734844,84.5296970141
2020.06.15,84.5339205438,84.5339205438,84.5296970141,84.5296970141
2020.06.16,84.5296970141,84.5296970141,84.5296970141,84.5296970141
2020.06.17,84.5423891345,84.5423891345,84.5297120951,84.5339356255
2020.06.18,84.5423809040,84.5423809040,84.5339273959,84.5373126680
2020.06.19,84.5381665444,84.5415453687,84.5339365658,84.5381665444
2020.06.22,84.5423891345,84.5423891345,84.5254885647,84.5339356255
2020.06.23,84.5423891345,84.5423891345,84.5339356255,84.5339356255
2020.06.24,84.5254885647,84.5423891345,84.5254885647,84.5339356255
2020.06.25,84.5339356255,84.5339356255,84.5254885647,84.5339356255
2020.06.26,84.5423740512,84.5423740512,84.5254734844,84.5296970141
2020.06.29,84.5381665444,84.5381665444,84.5339365658,84.5381665444
2020.06.30,84.5381665444,84.5381665444,84.5381665444,84.5381665444
2020.07.01,84.5390055930,84.5390055930,84.5347818093,84.5347818093
2020.07.02,84.5390000141,84.5474540295,84.5390000141,84.5398512193
2020.07.06,84.5347818093,84.5390055930,84.5347818093,84.5347818093
2020.07.07,84.5314027823,84.5390055930,84.5314027823,84.5347818093
2020.07.08,84.5390055930,84.5474596090,84.5347818093,84.5347818093
2020.07.09,84.5474828170,84.5474828170,84.5432590322,84.5432590322
2020.07.10,84.5474269830,84.5474269830,84.5432032009,84.5465822266
2020.07.13,84.5474828170,84.5474828170,84.5432590322,84.5432590322
2020.07.14,84.5390050356,84.5474590515,84.5305574682,84.5390050356
2020.07.15,84.5474590515,84.5474590515,84.5356260086,84.5390050356
2020.07.16,84.5474590515,84.5474590515,84.5305574682,84.5390050356
2020.07.17,84.5474590515,84.5474590515,84.5390050356,84.5390050356
2020.07.20,84.5474590515,84.5474590515,84.5390050356,84.5390050356
2020.07.21,84.5474590515,84.5474590515,84.5305574682,84.5390050356
2020.07.22,84.5474590515,84.5474590515,84.5305574682,84.5390050356
2020.07.23,84.5390050356,84.5474590515,84.5305574682,84.5390050356
2020.07.24,84.5390050356,84.5474590515,84.5390050356,84.5390050356
2020.07.27,84.5474590515,84.5474590515,84.5390050356,84.5390050356
2020.07.28,84.5474590515,84.5474590515,84.5305574682,84.5390050356
2020.07.29,84.5474828170,84.5474828170,84.5390287987,84.5432590322
2020.07.30,84.5474590515,84.5559130674,84.5305574682,84.5390050356
2020.07.31,84.5474828170,84.5474828170,84.5432590322,84.5432590322
2020.08.03,84.5440667530,84.5440667530,84.5440667530,84.5440667530
2020.08.04,84.5482910007,84.5482910007,84.5398425054,84.5440667530
2020.08.05,84.5398425054,84.5482910007,84.5398425054,84.5440667530
2020.08.06,84.5398425054,84.5482910007,84.5398425054,84.5440667530
2020.08.07,84.5482822867,84.5567372304,84.5482822867,84.5482822867
2020.08.10,84.5482910007,84.5482910007,84.5313875608,84.5440667530
2020.08.11,84.5482910007,84.5482910007,84.5440667530,84.5440667530
2020.08.12,84.5398337923,84.5567372304,84.5398337923,84.5482822867
2020.08.13,84.5465925878,84.5482822867,84.5465925878,84.5482822867
2020.08.14,84.5567451458,84.5567451458,84.5525208982,84.5525208982
2020.08.17,84.5567451458,84.5567451458,84.5482902013,84.5525208982
2020.08.18,84.5567372304,84.5567372304,84.5398337923,84.5482822867
2020.08.19,84.5567247359,84.5567247359,84.5541901880,84.5541901880
2020.08.20,84.5567372304,84.5567372304,84.5482822867,84.5482822867
2020.08.21,84.5398337923,84.5567372304,84.5398337923,84.5482822867
2020.08.24,84.5567372304,84.5567372304,84.5482822867,84.5482822867
2020.08.25,84.5482902013,84.5567451458,84.5423762546,84.5525208982
2020.08.26,84.5398512193,84.5567546609,84.5398512193,84.5398512193
2020.08.27,84.5398176118,84.5567210467,84.5398176118,84.5567210467
2020.08.28,84.5482822867,84.5567372304,84.5482822867,84.5482822867
2020.08.31,84.5482822867,84.5567372304,84.5398337923,84.5482822867
2020.09.01,84.5542095986,84.5542095986,84.5373049754,84.5373049754
2020.09.02,84.5541928205,84.5541928205,84.5372882007,84.5457437354
2020.09.03,84.5525093800,84.5541991971,84.5457501114,84.5499746543
2020.09.04,84.5541991971,84.5541991971,84.5499746543,84.5499746543
2020.09.08,84.5457501114,84.5541991971,84.5457501114,84.5499746543
2020.09.09,84.5541824954,84.5626380291,84.5457334114,84.5541824954
2020.09.10,84.5541991971,84.5541991971,84.5457501114,84.5499746543
2020.09.11,84.5533542885,84.5541991971,84.5499746543,84.5499746543
2020.09.14,84.5465950200,84.5541991971,84.5457501114,84.5499746543
2020.09.15,84.5541991971,84.5541991971,84.5457501114,84.5499746543
2020.09.16,84.5499746543,84.5541991971,84.5499746543,84.5499746543
2020.09.17,84.5541991971,84.5541991971,84.5457501114,84.5499746543
2020.09.18,84.5626547325,84.5626547325,84.5457501114,84.5499746543
2020.09.21,84.5541991971,84.5541991971,84.5499746543,84.5499746543
2020.09.22,84.5541991971,84.5541991971,84.5482848371,84.5499746543
2020.09.23,84.5541991971,84.5541991971,84.5499746543,84.5499746543
2020.09.24,84.5499746543,84.5541991971,84.5457501114,84.5499746543
2020.09.25,84.5541824954,84.5626380291,84.5541824954,84.5541824954
2020.09.28,84.5584134871,84.5626380291,84.5541824954,84.5541824954
2020.09.29,84.5626380291,84.5626380291,84.5541824954,84.5541824954
2020.09.30,84.5626380291,84.5626380291,84.5457334114,84.5541824954
2020.10.01,84.5584149414,84.5584149414,84.5525002866,84.5541901880
2020.10.02,84.5465884011,84.5584241621,84.5415186964,84.5499746543
2020.10.05,84.5584506444,84.5584506444,84.5576056934,84.5576056934
2020.10.06,84.5575699907,84.5584149414,84.5499654345,84.5541901880
2020.10.07,84.5499654345,84.5668708984,84.5499654345,84.5541901880
2020.10.08,84.5575699907,84.5584149414,84.5499654345,84.5541901880
2020.10.09,84.5584149414,84.5584149414,84.5541901880,84.5541901880
2020.10.12,84.5575699907,84.5584149414,84.5499654345,84.5541901880
2020.10.13,84.5499654345,84.5584149414,84.5499654345,84.5541901880
2020.10.14,84.5541901880,84.5584149414,84.5541901880,84.5541901880
2020.10.15,84.5584149414,84.5837828123,84.5541901880,84.5541901880
2020.10.16,84.5499654345,84.5584149414,84.5499654345,84.5541901880
2020.10.19,84.5584149414,84.5584149414,84.5541901880,84.5541901880
2020.10.20,84.5499654345,84.5584149414,84.5499654345,84.5541901880
2020.10.21,84.5567250400,84.5584149414,84.5499654345,84.5541901880
2020.10.22,84.5575699907,84.5584149414,84.5541901880,84.5541901880
2020.10.23,84.5652025493,84.5668924511,84.5584364920,84.5584364920
2020.10.26,84.5575915411,84.5668924511,84.5575915411,84.5584364920
2020.10.27,84.5542117374,84.5668924511,84.5499869829,84.5584364920
