Date,Open,High,Low,Close
2002.07.30,51.6914406750,51.6978093935,51.6149722992,51.6213458793
2002.07.31,51.7233221198,51.8125328342,51.7105798156,51.7806746428
2002.08.01,51.8252919902,51.9017555565,51.8252919902,51.8826396649
2002.08.02,51.9081285647,52.0228287745,51.8698967820,51.9845969918
2002.08.05,52.0164566837,52.0801828055,51.9782248999,52.0674356365
2002.08.06,52.0037632024,52.0037632024,51.9018052010,51.9400418823
2002.08.07,51.9909424994,52.0546685910,51.9590843153,52.0164319638
2002.08.08,52.0037632024,52.0101367929,51.9145523820,51.9400418823
2002.08.09,51.9208768876,51.9718509784,51.9081297186,51.9527350866
2002.08.12,51.9399755165,51.9782072873,51.9144860487,51.9463442372
2002.08.13,51.9909442832,52.0482967952,51.9208543310,52.0355544935
2002.08.14,52.0546622735,52.0674045733,51.9080990870,51.9208462484
2002.08.15,51.8571703783,51.9591283219,51.8061962682,51.8762911389
2002.08.16,51.9591603409,51.9655339317,51.8125969222,51.8444600146
2002.08.19,51.8762556855,51.8889979889,51.8125295835,51.8507662170
2002.08.20,51.9399994132,51.9782312016,51.9081363484,51.9718576164
2002.08.21,51.9081173630,51.9590963034,51.8826278928,51.9272332503
2002.08.22,51.9336138476,51.9336138476,51.8571454267,51.8698925943
2002.08.23,51.9209087177,51.9463933480,51.8954192259,51.9336510329
2002.08.26,51.9272332503,51.9654698863,51.9017437801,51.9272332503
2002.08.27,51.8698992317,51.9017574316,51.8380361702,51.8890151240
2002.08.28,51.9399804162,51.9527227204,51.9081173630,51.9272332503
2002.08.29,52.0228287745,52.0228287745,51.9654811004,51.9845969918
2002.08.30,52.0164464360,52.0164464360,51.9463516051,52.0037041311
2002.09.03,52.0950207198,52.1971402537,52.0886367272,52.1269309437
2002.09.04,52.1268977962,52.1651968580,52.0822196155,52.1077507002
2002.09.05,52.1397179972,52.1652491074,52.1078028920,52.1652491074
2002.09.06,52.0503209002,52.0886151008,52.0375529203,52.0630840106
2002.09.09,52.0312097152,52.0631248205,51.9865314896,51.9929154846
2002.09.10,51.9801453412,52.0439706735,51.9673773530,52.0248235608
2002.09.11,51.9546212539,51.9929154846,51.9290901436,51.9929154846
2002.09.12,52.0056150989,52.0502932657,51.9928471257,52.0311413060
