Date,Open,High,Low,Close
1993.01.29,24.1304162515,24.1304162515,24.0103644294,24.1132659912
1993.02.01,24.1304148173,24.2847671509,24.1304148173,24.2847671509
1993.02.02,24.2676073334,24.3533585960,24.2161565758,24.3362083435
1993.02.03,24.3704935883,24.6105969734,24.3533433465,24.5934467316
1993.02.04,24.6792227268,24.7478237629,24.4048185825,24.6963729858
1993.02.05,24.6792163849,24.7306671487,24.5420143480,24.6792163849
1993.02.08,24.6792163849,24.7649676579,24.6449158757,24.6792163849
1993.02.09,24.5934722452,24.5934722452,24.4562701685,24.5077209473
1993.02.10,24.5077202795,24.5591710568,24.4391192430,24.5420207977
1993.02.11,24.5763237387,24.7649766076,24.5763237387,24.6620750427
1993.02.12,24.6277715179,24.6277715179,24.4734191895,24.4734191895
1993.02.16,24.4048245826,24.4048245826,23.8217156326,23.8560161591
1993.02.17,23.8560002732,23.8903007768,23.7530987623,23.8388500214
1993.02.18,24.1132707919,24.1132707919,23.4958612979,23.8217163086
1993.02.19,23.8216870649,23.9074382782,23.7873865795,23.9074382782
1993.02.22,23.9760443338,24.0274950727,23.9074433486,23.9931945801
1993.02.23,24.0618274713,24.0789777404,23.8560242428,23.9760761261
1993.02.24,23.9932127430,24.2847671509,23.9932127430,24.2847671509
1993.02.25,24.2676073334,24.3533585960,24.2161565758,24.3362083435
1993.02.26,24.3876718069,24.3876718069,24.2504697151,24.3705215454
1993.03.01,24.4562626895,24.4562626895,24.2676098917,24.3019104004
1993.03.02,24.3190698266,24.6620750427,24.2847693049,24.6620750427
1993.03.03,24.6963716544,24.7821229449,24.6620711382,24.7649726868
1993.03.04,24.7992739638,24.7992739638,24.6277713776,24.6277713776
1993.03.05,24.6620732339,24.7649747912,24.5420214171,24.5591716766
1993.03.08,24.6106138386,25.1079711914,24.6106138386,25.1079711914
1993.03.09,25.0565192096,25.0736694624,24.9707679461,25.0222187042
1993.03.10,25.0222281927,25.0736789703,24.9193266374,25.0736789703
1993.03.11,25.0908248284,25.1594258532,24.9707730350,25.0050735474
1993.03.12,24.7992725809,24.8164228385,24.5934694889,24.7478218079
1993.03.15,24.7306512162,24.8678531647,24.7306512162,24.8678531647
1993.03.16,24.8678531647,24.9364541389,24.8678531647,24.8678531647
1993.03.17,24.8335680144,24.8335680144,24.6792157270,24.7135162354
1993.03.18,24.8164024340,24.9707546260,24.8164024340,24.8678531647
1993.03.19,24.9680922175,24.9680922175,24.8302421570,24.8302421570
1993.03.22,24.5890010040,24.7440822998,24.5717697490,24.6923885345
1993.03.23,24.7613089344,24.7785401862,24.7096151788,24.7440776825
1993.03.24,24.7096151788,24.8474651937,24.5889964157,24.7440776825
1993.03.25,24.7613217430,24.9508656116,24.7268592214,24.8991718292
1993.03.26,24.8819293485,24.8991606015,24.7440793244,24.7613105774
1993.03.29,24.7785345409,24.9853095162,24.7785345409,24.8646907806
1993.03.30,24.8991560458,24.9336185455,24.8646935461,24.9336185455
1993.03.31,25.0025552918,25.0714803237,24.9163990021,24.9163990021
1993.04.01,24.9508609600,24.9508609600,24.7785483843,24.8302421570
1993.04.02,24.6234694751,24.6234694751,24.3133068085,24.3133068085
1993.04.05,24.5028411021,24.5028411021,24.3649910818,24.4339160919
1993.04.06,24.4856224154,24.4856224154,24.2960785403,24.3650035858
1993.04.07,24.3994571291,24.4511508942,24.3477633640,24.4511508942
1993.04.08,24.5545332080,24.5545332080,24.3132956888,24.4166831970
1993.04.12,24.6579230593,24.7785418304,24.6234605533,24.7613105774
1993.04.13,24.7440880405,24.8991693722,24.7268567814,24.8130130768
1993.04.14,24.8302391461,24.8474704016,24.7613141242,24.7785453796
1993.04.15,24.7613141242,24.8302391461,24.6751578468,24.7785453796
1993.04.16,24.7957766351,24.8302391461,24.7440828687,24.7785453796
1993.04.19,24.7785316712,24.8474566550,24.6579129496,24.6751441956
1993.04.20,24.6406911750,24.6751536801,24.3994536390,24.5545349121
1993.04.21,24.6062251102,24.6062251102,24.4683751096,24.5373001099
1993.04.22,24.4339173752,24.6406924165,24.2271423340,24.2271423340
1993.04.23,24.1754597296,24.2443847752,24.0893034227,24.1237659454
1993.04.26,24.1409944736,24.2271507708,23.8652943226,23.9342193604
1993.04.27,23.8997509283,24.1926822662,23.8997509283,24.1926822662
1993.04.28,24.1582167419,24.2099105010,24.1065229828,24.1409854889
1993.04.29,24.1926776585,24.2443714142,24.0548276434,24.2443714142
1993.04.30,24.3305252324,24.4166814833,24.2788314819,24.2788314819
1993.05.03,24.3132973242,24.4339160919,24.2099098090,24.4339160919
1993.05.04,24.4856142405,24.6062330298,24.4511517292,24.5200767517
1993.05.05,24.5200661724,24.6751474061,24.5200661724,24.5889911652
1993.05.06,24.5545357088,24.5717669620,24.4856106963,24.5028419495
1993.05.07,24.5200759143,24.5200759143,24.4166883841,24.4511508942
1993.05.10,24.4856106963,24.6406919745,24.4856106963,24.5028419495
1993.05.11,24.5028479600,24.6062355042,24.4339229306,24.6062355042
1993.05.12,24.5028408901,24.5889971520,24.5028408901,24.5717658997
1993.05.13,24.4683752337,24.4683752337,24.2616002318,24.2788314819
1993.05.14,24.2788374708,24.3477624885,24.2443749620,24.2616062164
1993.05.17,24.3305299007,24.3477611542,24.2271423799,24.3477611542
1993.05.18,24.3649964940,24.3822277504,24.2443776995,24.3305339813
1993.05.19,24.3305356875,24.8302421570,24.1754543694,24.8302421570
1993.05.20,24.8302467861,24.8991718292,24.7785530038,24.8991718292
1993.05.21,24.9163816388,24.9508441307,24.6579129496,24.6751441956
1993.05.24,24.7268516132,24.8647016570,24.7268516132,24.7785453796
1993.05.25,24.8819359297,24.8819359297,24.8302421570,24.8302421570
1993.05.26,24.8991585954,25.1576273698,24.8819273438,25.1403961182
1993.05.27,25.1748733639,25.1748733639,25.0197920084,25.0542545319
1993.05.28,25.0370060447,25.0370060447,24.8129997965,24.9336185455
1993.06.01,25.0197825187,25.2610200912,24.9853200083,25.1748638153
1993.06.02,25.1059336149,25.2265523763,25.0025461052,25.1403961182
1993.06.03,25.0887170553,25.0887170553,25.0025607467,25.0542545319
1993.06.04,24.9853289481,24.9853289481,24.8647101187,24.9680976868
1993.06.07,25.0197890115,25.0197890115,24.8819389343,24.8819389343
1993.06.08,24.8130136166,24.8130136166,24.6579322815,24.6579322815
1993.06.09,24.7440776825,24.8474651937,24.7096151788,24.7440776825
1993.06.10,24.7268480714,24.7785418304,24.6751543123,24.7613105774
1993.06.11,24.8474595327,24.8991532765,24.7613032930,24.8646907806
1993.06.14,24.8991671873,24.9163984448,24.8302421570,24.8302421570
1993.06.15,24.8647016570,24.8819329125,24.7785453796,24.7785453796
1993.06.16,24.7785483843,24.8302421570,24.7096233540,24.8302421570
1993.06.17,24.8819364862,24.9163990021,24.8302427123,24.9163990021
1993.06.18,24.9020916424,24.9020916424,24.7112045288,24.7112045288
1993.06.21,24.7806323452,24.7806323452,24.7285721932,24.7632789612
1993.06.22,24.7979663160,24.7979663160,24.7459062047,24.7806129456
1993.06.23,24.7806208958,24.7806208958,24.5550270081,24.5550270081
1993.06.24,24.6244458554,24.8847465515,24.6244458554,24.8847465515
1993.06.25,24.8674030304,24.9368165769,24.8500496438,24.8674030304
1993.06.28,24.9888487632,25.1450290680,24.9541420288,25.1450290680
1993.06.29,25.1103283344,25.1103283344,24.9888547350,25.0235614777
1993.06.30,25.0582682203,25.1103283344,24.9888547350,25.0235614777
1993.07.01,25.0582694795,25.0582694795,24.9194425018,24.9541492462
1993.07.02,24.8673772598,24.8847306285,24.7285503107,24.8153171539
1993.07.06,24.7806208958,24.8500343997,24.5203202561,24.5550270081
1993.07.07,24.5376609603,24.6591345294,24.5376609603,24.6244277954
1993.07.08,24.6417913669,24.9541521026,24.6070846185,24.9020919800
1993.07.09,24.9021021304,24.9715156555,24.8500419866,24.9715156555
1993.07.12,24.9367958740,24.9715026184,24.9020891296,24.9541492462
1993.07.13,24.9715182132,25.0409317455,24.7979843827,24.9368114471
1993.07.14,24.9541479923,25.0929749630,24.9367946209,25.0235614777
1993.07.15,25.0062099938,25.0062099938,24.8673830125,24.9194431305
1993.07.16,24.9368073368,24.9541607169,24.8153336754,24.8500404358
1993.07.19,24.8500407583,24.8500407583,24.7632738563,24.8326873779
1993.07.20,24.8153251090,24.9020919800,24.6938514896,24.9020919800
1993.07.21,24.8673931718,24.8847465515,24.7979796528,24.8847465515
1993.07.22,24.8500315205,24.8847382685,24.7112045288,24.7112045288
1993.07.23,24.7632738563,24.8326873779,24.7459204758,24.8326873779
1993.07.26,24.9021021304,25.0235757993,24.9021021304,24.9715156555
1993.07.27,24.9888559906,25.0062093629,24.8673823851,24.9541492462
1993.07.28,24.9020919800,24.9541521026,24.8673852316,24.9020919800
1993.07.29,24.9541685880,25.1103490590,24.9194618167,25.0409355164
1993.07.30,25.0409189736,25.0409189736,24.8673852316,24.9020919800
1993.08.02,24.9368088930,25.0582825619,24.9368088930,24.9715156555
1993.08.03,25.0235792955,25.0929928303,24.9021056096,24.9888725281
1993.08.04,24.9888725281,25.0409326792,24.9194589933,24.9888725281
1993.08.05,24.9888715963,24.9888715963,24.9021046810,24.9368114471
1993.08.06,25.0062224181,25.0235757993,24.9368088930,24.9715156555
1993.08.09,25.0409285025,25.1797555490,24.9888683601,25.1103420258
1993.08.10,25.0929737091,25.1103270796,25.0582669682,25.0929737091
1993.08.11,25.0756203386,25.1623871910,25.0756203386,25.0929737091
1993.08.12,25.1623884484,25.1623884484,24.9367946209,25.0235614777
1993.08.13,25.0409447189,25.0756515030,25.0409447189,25.0582981110
1993.08.16,25.0756317591,25.2665189212,25.0756317591,25.1971054077
1993.08.17,25.1797447349,25.2838649750,25.1797447349,25.2838649750
1993.08.18,25.3706236126,25.4747438190,25.3532702449,25.4226837158
1993.08.19,25.4400370835,25.4400370835,25.3879769804,25.4226837158
1993.08.20,25.3706442272,25.4400577545,25.3532908454,25.4400577545
1993.08.23,25.3359251094,25.4053386029,25.3359251094,25.3879852295
1993.08.24,25.3879858962,25.6656398773,25.3879858962,25.6656398773
1993.08.25,25.6656471858,25.7871208371,25.6309404283,25.6830005646
1993.08.26,25.7003440857,25.8391710625,25.5962238531,25.7003440857
1993.08.27,25.6309404283,25.6830005646,25.6309404283,25.6830005646
1993.08.30,25.7003501235,25.8218237568,25.7003501235,25.7871170044
1993.08.31,25.7697585573,25.8565254211,25.7350518118,25.8565254211
