Date,Open,High,Low,Close
2002.07.30,36.3877441479,36.4545113301,36.2853673491,36.2853673491
2002.07.31,36.4767669715,36.8551132280,36.4545135067,36.7349316136
2002.08.01,36.7393550550,36.9530058093,36.7393550550,36.9441051095
2002.08.02,37.0153662430,37.4337675261,36.8907325332,37.3224899749
2002.08.05,37.4070506042,37.5850953110,37.3224786044,37.4871705525
2002.08.06,37.3313852626,37.3447380223,37.0420630188,37.1666933033
2002.08.07,37.2111997144,37.4515595503,37.1043742527,37.2557100405
2002.08.08,37.2022990076,37.2868676083,37.1043742527,37.2557100405
2002.08.09,37.3892501864,37.7809458706,37.3892501864,37.7809458706
2002.08.12,37.9678999061,38.5910514445,37.8966806469,38.0124102451
2002.08.13,38.1815387223,38.4886657369,37.9990453716,38.4797616344
2002.08.14,38.9293145288,39.1251639870,38.6132868823,38.6266396370
2002.08.15,38.4486035596,38.5020179862,38.2126957846,38.2883636755
2002.08.16,38.4753369767,38.5109432212,37.7542570390,37.8610825644
2002.08.19,37.8566229758,37.9857019423,37.7052837454,37.9768012327
2002.08.20,38.1103560923,38.4085792642,38.1014519820,38.3996751539
2002.08.21,38.1370611657,38.3240067283,38.1148042862,38.1949242981
2002.08.22,38.0791890653,38.0791890653,37.8610825644,37.8610825644
2002.08.23,37.9234190040,38.2572519298,37.9234190040,38.2349984389
2002.08.26,38.1459428420,38.3729499952,38.1325900794,38.2705765508
2002.08.27,38.0124002848,38.1370305598,37.9233762341,38.0302050949
2002.08.28,38.2972670807,38.3595822128,38.2082430379,38.2215991913
2002.08.29,38.6177437167,38.6622540365,38.4352469906,38.5287196811
2002.08.30,38.6133123155,38.7824529798,38.4797778886,38.7601995059
2002.09.03,38.9269228251,39.3560662505,38.8911600203,39.3560662505
2002.09.04,39.3515917464,39.4722903496,39.2666559448,39.3471205435
2002.09.05,39.5929971049,39.6287599171,39.0610363577,39.5617054968
2002.09.06,39.3247788922,39.4231249106,38.9805678277,39.0967952504
2002.09.09,39.1146918082,39.2622108930,39.0074067514,39.0386983684
2002.09.10,38.9672092364,39.3382411934,38.8912157253,39.2264848264
2002.09.11,38.8911616146,39.0252704327,38.7794054031,39.0207992293
2002.09.12,39.1057689424,39.4008038232,39.1012977351,39.3248103520
2002.09.13,39.4857352133,39.7584208476,39.4186807538,39.6868951813
2002.09.16,39.8746214102,39.8835638185,39.7405159808,39.7539261827
2002.09.17,39.6242834517,39.9282604940,39.4991170362,39.8299144787
2002.09.18,39.8567531838,40.0355604669,39.7941665422,39.8388717734
2002.09.19,40.0981344844,40.1294260928,39.9014458362,40.1070768928
2002.09.20,39.9863762049,40.0176678117,39.8120367656,39.9193251979
2002.09.23,40.2322778132,40.3395629324,40.1294604915,40.2769796620
2002.09.24,40.3663553666,40.6524510689,40.3261213466,40.5362236241
2002.09.25,40.2769548113,40.3931822749,39.9014554204,40.0445032947
2002.09.26,39.8075641816,40.0221341993,39.6108721566,39.9506119969
2002.09.27,40.0221549323,40.2501386784,39.9998057246,40.2501386784
2002.09.30,40.5272651913,40.6345501756,40.2679900195,40.4110378021
2002.10.01,40.0085671075,40.0713887175,39.8470248465,39.9098464565
2002.10.02,40.0444634560,40.1521605809,39.8649716713,40.1386958727
2002.10.03,40.0713485130,40.1655808334,39.8469848672,40.0399377395
2002.10.04,39.6675070540,40.2598271479,39.6675070540,40.1655947947
2002.10.07,40.3405975280,40.3675200788,40.1431563589,40.2329039010
2002.10.08,40.1610786604,40.6187788326,40.0982571353,40.2463379117
2002.10.09,40.5200903748,40.5559859692,40.3630330275,40.4527805722
2002.10.10,40.4617651985,40.4617651985,40.0623979249,40.1341959812
2002.10.11,39.9816205645,40.0354690983,39.5149435420,39.6585362087
2002.10.14,39.7123739696,39.7348117085,39.5194210552,39.6001921223
2002.10.15,39.0392822969,39.1739018812,38.6578647063,38.6623529387
2002.10.16,38.8598133467,38.8598133467,38.5412171297,38.6803216041
2002.10.17,38.2046425908,38.3931072378,38.1732318163,38.2091308225
2002.10.18,38.1507891914,38.3168195060,37.8187319859,38.3078464674
2002.10.21,38.3662073266,38.4110793990,37.9174797555,37.9354292692
2002.10.22,38.0745118093,38.0745118093,37.7918148347,37.8277138413
2002.10.23,38.0296473023,38.2315732637,37.7738728202,37.8411826152
2002.10.24,37.7648805819,38.2539915580,37.7289815864,38.1732205298
2002.10.25,38.2988966675,38.3931290445,38.2091525246,38.3123579465
2002.10.28,38.3930989598,38.4289979583,38.2315568905,38.2584828511
2002.10.29,38.5098134235,38.9899519549,38.4873756678,38.7566150430
2002.10.30,38.7565955196,38.8956999495,38.6219758998,38.7431308188
2002.10.31,38.6129858861,38.9764539069,38.5995211912,38.9181205898
2002.11.01,38.8996494992,39.1836202000,38.4263615590,38.7554099218
2002.11.04,38.5300289451,38.6517296711,38.4263551541,38.5841166282
2002.11.05,38.5841210289,38.5841210289,38.3542380324,38.4353730054
2002.11.06,38.3362481020,38.8230549707,38.2731434443,38.5886667331
2002.11.07,39.2377292932,39.5442389653,39.1475773667,39.5442389653
2002.11.08,39.8462223291,39.9589096075,39.6433831647,39.8642527064
2002.11.11,39.9138509923,40.0806260286,39.8462379110,40.0806260286
2002.11.12,40.1842910197,40.1842910197,39.8327072014,39.8507375817
2002.11.13,39.8687576548,39.9769399179,39.6478915524,39.9363707095
2002.11.14,39.5081627509,39.5081627509,39.1069962920,39.1069962920
2002.11.15,39.0078321308,39.3188501470,38.8816229182,39.2647590106
2002.11.18,39.2241987647,39.4991560861,39.1971549098,39.4405599208
2002.11.19,39.6433959553,39.7696086365,39.4450686198,39.5847997896
2002.11.20,39.7560766493,39.7650935588,39.1295355587,39.1971486241
2002.11.21,38.9898232644,38.9898232644,38.7013439223,38.8185397297
2002.11.22,38.9131771576,38.9402210077,38.7103379652,38.7824594840
2002.11.25,38.7644287570,38.9357122041,38.6742802982,38.7103376183
2002.11.26,38.8545782814,39.2241924747,38.8320428855,39.1971486241
2002.11.27,38.8771271579,38.9131879273,38.2956601477,38.3136905324
2002.11.29,38.3857943992,38.5976435842,38.3767774916,38.5615862703
2002.12.02,38.1989258941,38.6698471556,38.1038365223,38.5973961363
2002.12.03,38.8056453178,38.8056453178,38.5430192959,38.6516922517
2002.12.04,38.8962190704,38.9414991925,38.7377369158,38.8509389483
2002.12.05,38.6154775162,39.0682856549,38.6064228734,38.9505545715
2002.12.06,39.3943172227,39.4350683065,38.8328359676,39.0184855512
2002.12.09,39.0320703149,39.3263963724,39.0184866199,39.2358361030
2002.12.10,39.2177103992,39.3626088552,39.1679012311,39.3399670680
2002.12.11,39.4622175410,39.6886215390,39.3761829163,39.6025869143
2002.12.12,39.4214691730,39.6659859436,39.4214691730,39.5663676162
2002.12.13,39.4576991402,39.4667572371,39.1814859117,39.1814859117
2002.12.16,39.3490166245,39.3490166245,38.8690377864,38.8871505213
2002.12.17,39.0773325104,39.0999708380,38.7965903015,38.8871505213
2002.12.18,39.1588356251,39.2539248863,39.0546882696,39.1905320455
