Date,Open,High,Low,Close
1999.03.10,14.0198678836,14.0284374850,13.7884886459,14.0027286808
1999.03.11,14.3112458376,14.5554795438,13.3857286352,14.2084105929
1999.03.12,14.0526532829,14.0786126194,12.8325644687,13.1700358429
1999.03.15,13.4659922112,14.3538598075,13.0467214019,14.3045338299
1999.03.16,14.4868082282,14.8513654865,14.0180917533,14.6690868573
1999.03.17,14.6690999551,14.7220569631,14.2189653869,14.3513579069
1999.03.18,14.2991645876,15.2124326786,14.2861179006,15.1863393046
1999.03.19,15.7822412858,15.7822412858,13.9945507265,14.0216369471
1999.03.22,14.2012818346,14.3039417513,13.4313324592,13.5083273968
1999.03.23,13.2830396796,13.4332248763,12.0064655068,12.0815581052
1999.03.24,12.4064346573,13.3345958468,11.8495379435,13.3113918171
1999.03.25,13.9295601218,14.7702794436,13.6637444539,14.7702794436
1999.03.26,14.3997243338,14.9026552863,14.1085537823,14.2938441333
1999.03.29,14.8117104870,15.8733902895,14.5527641938,15.8474956602
1999.03.30,15.7920783711,16.1799540862,15.3210864313,15.5150242888
1999.03.31,16.2798438794,16.3344742402,14.6955634161,14.8321393181
1999.04.01,16.1307389208,16.1837424133,15.0176655774,15.7597144730
1999.04.05,16.5251741530,17.5388897630,16.2286450969,17.4699295175
1999.04.06,17.4108837656,18.1486338050,16.9682337419,17.5731887743
1999.04.07,18.0620361116,18.1805403736,15.8993333292,17.0251238186
1999.04.08,16.9380958035,17.6776878158,15.8939659037,17.4311571450
1999.04.09,17.3427971016,17.8730973302,17.1954914825,17.7552528349
1999.04.12,16.5026400679,17.7552502290,16.4429919650,17.3973616115
1999.04.13,17.7209782506,17.8386604948,16.2793707592,16.6912586139
1999.04.14,17.3207788443,17.3780060408,14.6954812063,14.9744637891
1999.04.15,15.1339400019,15.6589321215,13.5390272338,15.5858319529
1999.04.16,15.4766341525,15.4766341525,13.9753723659,14.2210333855
1999.04.19,14.5032516919,14.8624120613,11.7903081868,12.2200179146
1999.04.20,12.0581181610,13.3533631695,11.7111775337,13.0526812926
1999.04.21,13.4150272575,15.0093706130,12.8835794723,14.9852138955
1999.04.22,15.4080699686,16.3330830272,15.1107443426,16.2009383045
1999.04.23,15.9505718432,17.2025052036,15.4497984991,16.8408355662
1999.04.26,17.1833654760,18.3822047227,17.0192386744,18.0039994842
1999.04.27,18.3992125174,18.6676691530,16.4976446817,17.1762433995
1999.04.28,16.7427342302,16.9161343016,15.1893585909,15.4133336831
1999.04.29,15.1985298241,15.4670548952,14.0707245254,15.0374147814
1999.04.30,15.6713006273,15.9090114654,13.7167892912,15.3279405277
1999.05.03,15.1941997656,15.3814521377,14.3181261677,15.0871984101
1999.05.04,15.1666026224,15.8812593561,14.1078519057,14.3725395848
1999.05.05,14.3981615972,15.6791366793,13.0915670134,15.6791366793
1999.05.06,15.2451030544,15.6520009858,13.5361317424,13.9701562026
1999.05.07,14.3463765019,14.6975115224,13.4434578775,14.5721061579
1999.05.10,14.8557931443,15.3071413832,14.3399665856,15.0105411119
1999.05.11,15.3788003048,15.9574778342,15.1157650642,15.7207461176
1999.05.12,15.9376846423,16.8597750909,14.5545489693,16.6970532471
1999.05.13,17.0921699431,17.1768311109,15.5400485322,15.7658116465
1999.05.14,14.8426725046,15.3856970455,14.5168577800,14.8698237316
1999.05.17,14.4782865497,15.8095230519,14.0410667182,15.6724840002
1999.05.18,15.6251825967,15.8954366278,14.9225221160,15.4630301781
1999.05.19,15.6505079356,16.1326115752,14.9273524763,16.1058280397
1999.05.20,16.2089925113,16.2089925113,14.7025111870,14.7781791988
1999.05.21,14.9144813680,15.0442853370,14.1356575543,14.3693046984
1999.05.24,14.4457607134,14.5221932269,12.9935429575,13.2737955069
