Date,Open,High,Low,Close
2007.03.08,29.5797825773,29.8072741442,29.5797825773,29.7256107330
2007.03.09,29.8364488934,29.9589440403,29.7606176107,29.9239444733
2007.03.12,29.8947845044,30.0931109687,29.8656193060,30.0639457703
2007.03.13,29.8656057153,29.8831043813,29.2647922212,29.2764587402
2007.03.14,29.1656399248,29.3173002733,28.8098187617,29.3114681244
2007.03.15,29.4572935140,29.5914551778,29.3697957125,29.5564556122
2007.03.16,29.6614614693,29.7722923496,29.4864680361,29.6147975922
2007.03.19,29.9239433713,29.9764416074,29.7081182787,29.9647750854
2007.03.20,30.0405999151,30.1922602172,29.8947717602,30.1864280701
2007.03.21,30.3322513237,30.8863986680,30.2039218561,30.8339004517
2007.03.22,30.8864021978,30.9155673824,30.6705771618,30.7989044189
2007.03.23,30.8805806555,31.0030780419,30.7989172147,30.9097480774
2007.03.26,30.9447508815,30.9739160833,30.5947640091,30.8747539520
2007.03.27,30.7405796051,30.7814113159,30.6589161835,30.7405796051
2007.03.28,30.7580958696,30.7580958696,30.3614428304,30.3964424133
2007.03.29,30.7989105876,30.8864083840,30.5422537967,30.7755775452
2007.03.30,30.7989164472,30.8689133626,30.7347516810,30.7522525787
2007.04.02,30.8922484286,30.9622475736,30.7405880645,30.9272480011
2007.04.03,31.1488962372,31.3297217336,31.0205667428,31.2480583191
2007.04.04,31.3822441682,31.4522411168,31.2480824230,31.4114093781
2007.04.05,31.4988812829,31.6155442512,31.4172178726,31.5688781738
2007.04.09,31.6738890224,31.7263872707,31.5747269006,31.6155586243
2007.04.10,31.7322195619,31.8138830039,31.6213886976,31.7555503845
2007.04.11,31.9655365591,31.9655365591,31.4988868289,31.6272163391
2007.04.12,31.5222181242,31.8488718046,31.4288881833,31.8022079468
2007.04.13,31.8780399455,31.9830364095,31.7730434815,31.9305381775
2007.04.16,32.2280314879,32.4088592529,32.1755332480,32.4088592529
2007.04.17,32.3038662667,32.3563645122,32.0763746112,32.2280349731
2007.04.18,32.1521984183,32.3155275028,32.0822015108,32.2046966553
2007.04.19,31.9480351767,32.2805232203,31.8488708658,32.0180320740
2007.04.20,32.3447018340,32.4438639622,32.3155366330,32.3738670349
2007.04.23,32.2397057020,32.3680352578,32.1580422483,32.1755409241
2007.04.24,32.1405352824,32.2571982907,31.9772084060,32.1113700867
2007.04.25,32.3097082940,32.4905361339,32.2630444088,32.4380378723
2007.04.26,32.3155266042,32.3738569880,32.2280288033,32.2513618469
2007.04.27,32.1988640436,32.3446922302,32.0822010493,32.3446922302
2007.04.30,32.1988601707,32.2688570688,31.9247025009,31.9655342102
2007.05.01,32.1696906979,32.1930215107,31.8547013607,31.9888629913
2007.05.02,32.0763799829,32.3330368789,32.0763799829,32.3097038269
2007.05.03,32.1988630241,32.4730184931,32.1988630241,32.4146881104
2007.05.04,32.6655240509,32.7121901534,32.5371944944,32.6713562012
2007.05.07,32.8405140658,32.9280118861,32.7063523730,32.7646827698
2007.05.08,32.6480252266,32.6480252266,32.3155370363,32.4671974182
2007.05.09,32.5955116622,32.7121746378,32.5138482468,32.7005081177
2007.05.10,32.4321858331,32.4671853968,31.8955392072,32.0821990967
2007.05.11,32.2863655372,32.9571762085,32.2572003396,32.9571762085
2007.05.14,32.6363468258,32.7005115805,32.3505226166,32.5196838379
2007.05.15,32.4788596048,32.7180177839,32.4030283114,32.4613609314
2007.05.16,32.6596749478,32.7005066536,32.4321811542,32.6771736145
2007.05.17,32.5196854489,32.6013488770,32.3913559333,32.6013488770
2007.05.18,32.6596876324,32.9571762085,32.5780219638,32.9571762085
2007.05.21,32.7705123788,32.7705123788,32.6071855113,32.6655158997
2007.05.22,32.8055072196,32.8230058885,32.6655111925,32.7121772766
2007.05.23,33.0738242709,33.1029894554,32.8521648639,32.9046630859
2007.05.24,32.9280107655,33.0155063577,32.3738631140,32.4613609314
2007.05.25,32.6363481332,32.7996749878,32.5196851406,32.7996749878
2007.05.29,32.9046666561,32.9513327364,32.6071781822,32.7005081177
2007.05.30,32.5430236873,32.8696774517,32.4321928242,32.8580131531
2007.05.31,33.1205020532,33.1496694751,33.0155055649,33.0271720886
2007.06.01,33.2313273613,33.3479881287,33.2079943178,33.3479881287
2007.06.04,33.4821657548,33.4821657548,33.3013379309,33.4121665955
2007.06.05,33.4763202377,33.5054854318,33.0738352188,33.2138290405
2007.06.06,33.0446717192,33.0738369148,32.6655175010,32.7471809387
2007.06.07,32.6596911911,32.7238537428,32.0938769497,32.1697082520
2007.06.08,32.3330289577,32.6538505554,32.2280324748,32.6538505554
2007.06.11,32.6363433698,32.8755014685,32.5721786220,32.7005081177
2007.06.12,32.4905203558,32.6071833499,32.1696987909,32.1988639832
2007.06.13,32.3621953217,32.6421852112,32.3096970784,32.6421852112
2007.06.14,32.6655262953,32.9513506294,32.6655262953,32.8813514709
2007.06.15,33.4238194076,33.4704854946,33.2721590749,33.3479881287
2007.06.18,33.4529727651,33.5404705349,33.3538107029,33.4004745483
2007.06.19,33.4004784874,33.4646432294,33.2604847096,33.3771476746
2007.06.20,33.6279803600,33.6279803600,33.0563319165,33.0913314819
2007.06.21,33.2604817246,34.0887844739,32.9688254508,33.4179763794
2007.06.22,33.3654909753,33.3654909753,32.8580094872,32.9163398743
2007.06.25,33.0155022047,33.2021621148,32.7413467133,32.8055114746
2007.06.26,33.1438192142,33.1438192142,32.7821660530,32.7879981995
2007.06.27,32.6655182368,33.0213394165,32.5255221796,33.0213394165
2007.06.28,33.1321680523,33.2254980154,33.0155050422,33.0213394165
2007.06.29,33.2313149656,33.3654765781,32.9688238867,33.2488136292
2007.07.02,33.3654852863,33.5404786429,33.3654852863,33.4938125610
2007.07.03,33.8904725443,33.9371386361,33.7738117653,33.8671417236
2007.07.05,34.0071347424,34.0071347424,33.6163162466,33.8263092041
2007.07.06,33.8846417616,34.1063012560,33.8438100423,34.0596351624
2007.07.09,34.3279563505,34.3571237698,34.2112955742,34.2871246338
2007.07.10,34.1471319791,34.1471319791,33.7913108137,33.8146438599
2007.07.11,33.9487992070,34.1354590909,33.8263040754,34.0946273804
2007.07.12,34.2754565841,34.7537750914,34.2054596763,34.7304420471
2007.07.13,34.7654499131,34.8237825415,34.6196216799,34.7129516602
2007.07.16,34.6954506003,34.7829484243,34.5321237023,34.5904541016
2007.07.17,34.6779508811,34.6779508811,34.5379548119,34.6604499817
2007.07.18,34.4737923733,34.4737923733,34.1238055145,34.4096298218
2007.07.19,34.7071160798,34.7362812785,34.5671200106,34.6604499817
2007.07.20,34.6954384452,34.6954384452,34.1646239877,34.2929534912
2007.07.23,34.7654284588,34.7654284588,34.5496034298,34.7362632751
2007.07.24,34.5262863414,34.5262863414,33.8613100571,34.1704673767
2007.07.25,34.1587955217,34.2521254729,33.6863113920,34.0013008118
2007.07.26,33.4821577102,33.4821577102,32.4030276274,32.8580131531
2007.07.27,32.8346772931,33.1030006409,32.2746975519,33.1030006409
2007.07.30,32.7938482898,33.0446729868,32.6130205099,33.0271720886
2007.07.31,33.2488244957,33.4529830543,32.8113399629,32.8638381958
2007.08.01,32.6363610918,32.9338497272,32.2222094175,32.8813514709
2007.08.02,32.9571707847,32.9571707847,32.6363492133,32.8755073547
2007.08.03,32.8055078372,32.8055078372,32.0821990967,32.0821990967
2007.08.06,32.1988574386,32.6771736145,32.0821944683,32.6771736145
2007.08.07,32.4146946316,32.8871788373,32.3096981414,32.7180175781
2007.08.08,33.0738331537,33.4763181475,33.0213349175,33.2721595764
2007.08.09,32.5488546988,32.5546890731,32.0238744993,32.1113700867
2007.08.10,31.6447202650,32.0413731578,31.4988920610,31.8488788605
2007.08.13,32.3446901205,32.4438522128,31.7905426025,31.7905426025
2007.08.14,32.1288864454,32.1288864454,31.3880785453,31.4114093781
2007.08.15,30.9272477286,31.2947354489,30.6239247780,30.6297569275
2007.08.16,30.1572672188,30.3322605848,29.3989611492,30.1922645569
2007.08.17,31.4988849126,37.6295024629,29.7547790096,30.9622383118
2007.08.20,31.0905727360,31.1022392594,30.5597581609,31.0380744934
2007.08.21,30.8689126042,30.9855756104,30.6997535817,30.8572483063
2007.08.22,31.4347261564,31.7438812256,31.4288940075,31.7438812256
2007.08.23,32.0588668054,32.1230315611,31.6447153050,31.8605403900
2007.08.24,31.9713746626,32.4088592529,31.8547116601,32.4088592529
2007.08.27,32.3446936343,32.3738588279,32.0822024421,32.2221984863
2007.08.28,32.0647045092,32.0647045092,31.3588943481,31.3588943481
2007.08.29,31.8022138865,32.2746980520,31.7555477948,32.2688636780
2007.08.30,31.7497177890,32.3738623445,31.7497177890,32.0413742065
2007.08.31,32.8346745531,32.9455031723,32.5780155243,32.7996749878
2007.09.04,32.6946747146,33.1379935900,32.5488465471,33.0329971313
2007.09.05,32.6071843725,32.6071843725,32.3213601393,32.4438552856
2007.09.06,32.6363438934,32.7880042065,32.4496840195,32.7063407898
