Date,Open,High,Low,Close
2005.03.10,23.6691019804,23.8086051695,23.5993494990,23.6691019804
2005.03.11,23.7621029239,23.8318554054,23.6691019804,23.6691019804
2005.03.14,23.5993496068,23.6458500788,23.5528491349,23.6458500788
2005.03.15,23.6923511604,23.6923511604,23.5760982124,23.5760982124
2005.03.16,23.6690959935,23.6690959935,23.4830906058,23.4830906058
2005.03.17,23.4830906058,23.5295910658,23.4598403759,23.4830906058
2005.03.18,23.4458843819,23.4458843819,23.3435830345,23.3435830345
2005.03.21,23.2738358552,23.2738358552,23.0645802298,23.1808331579
2005.03.22,23.1482842717,23.2505874240,22.8785783800,22.9622806366
2005.03.23,22.6925709170,22.8088238436,22.6925709170,22.8088238436
2005.03.24,22.8088306456,22.9855356434,22.8088306456,22.9018333694
2005.03.28,22.7855770900,22.9018300343,22.7855770900,22.8553295661
2005.03.29,22.8553295661,22.9018300343,22.8088273241,22.8553295661
2005.03.30,22.7623230490,23.0087786821,22.7623230490,23.0087786821
2005.03.31,23.0413365681,23.0413365681,22.8785831319,22.9018333694
2005.04.01,23.0645787357,23.0878307390,22.6972208548,22.7390719772
2005.04.04,22.6460704559,22.8088238436,22.5530677598,22.8088238436
2005.04.05,22.8785725299,22.9111232021,22.8181205214,22.8413707481
2005.04.06,22.9529848687,23.0459875921,22.8320807961,23.0227355809
2005.04.07,23.1017846819,23.2273380716,23.0645828891,23.1110851300
2005.04.08,23.0878351477,23.2040880905,23.0180826724,23.0878351477
2005.04.11,23.2505896057,23.3435923189,23.1343366577,23.3342918702
2005.04.12,23.0831955994,23.3389518469,23.0180942026,23.3389518469
2005.04.13,23.1343310383,23.2040834997,22.9483256571,22.9483256571
2005.04.14,22.9669300794,22.9715811903,22.7855757805,22.7855757805
2005.04.15,22.8088193299,22.9250722335,22.5530632967,22.6367655292
2005.04.18,22.5298179299,22.6414197481,22.5298179299,22.6414197481
2005.04.19,22.7390766218,22.8553295661,22.7390766218,22.8553295661
2005.04.20,22.6646701917,22.7390719900,22.5251652678,22.5298163780
2005.04.21,23.2459395300,23.2459395300,22.6553743600,22.8553295661
2005.04.22,22.8553371083,22.8785873500,22.6693316264,22.6693316264
2005.04.25,22.7995352647,22.8506868629,22.6693324868,22.8506868629
2005.04.26,22.6925727626,22.7390750014,22.6228220653,22.6228220653
2005.04.27,22.4135694373,22.5251712776,22.3670671923,22.5065721534
2005.04.28,22.3205656724,22.3205656724,22.1717620432,22.1717620432
2005.04.29,22.4135633575,22.4135633575,22.2694090979,22.4089122473
2005.05.02,22.4089172742,22.4368186199,22.3438159081,22.4135683854
2005.05.03,22.4833138992,22.5995668186,22.4647147803,22.5530663604
2005.05.04,22.6646711324,22.9204272137,22.6600200220,22.9204272137
2005.05.05,22.9343836322,22.9436840818,22.7855799864,22.8274311227
2005.05.06,22.7855735991,22.8274247236,22.6553708891,22.6553708891
2005.05.09,22.7158247196,22.8320776645,22.6693242512,22.8320776645
2005.05.10,22.5902789037,22.6460798349,22.4368241256,22.4368241256
2005.05.11,22.5298173849,22.5902694030,22.5298173849,22.5902694030
2005.05.12,22.5298183282,22.5344676649,22.2554613407,22.3205626981
2005.05.13,22.2973158711,22.3205661060,22.1903633713,22.2461642899
2005.05.16,22.2043170958,22.3856714438,22.1810668568,22.3112696145
2005.05.17,22.2694090979,22.4089122473,22.2647597616,22.4089122473
2005.05.18,22.4786647965,22.7390719772,22.4786647965,22.7390719772
2005.05.19,22.6228295886,22.7111812108,22.6228295886,22.7111812108
2005.05.20,22.5763253173,22.6832778316,22.4926230411,22.6460778055
2005.05.23,22.6925744854,22.8320776645,22.6088722232,22.8320776645
2005.05.24,22.7204832226,22.7297836741,22.5530786437,22.6693316264
2005.05.25,22.6879325293,22.6925818681,22.5995791272,22.6693316264
2005.05.26,22.7158199740,22.7390719772,22.7158199740,22.7390719772
2005.05.27,22.7158233083,22.7855757805,22.6460726101,22.7855757805
2005.05.31,22.5902673784,22.5995660507,22.4693633530,22.4693633530
2005.06.01,22.4786645629,22.6460690507,22.4786645629,22.5530663604
2005.06.02,22.6228249504,22.7483765764,22.5530724704,22.7483765764
2005.06.03,22.6228188216,22.6925695089,22.4833138992,22.5530663604
2005.06.06,22.5763228991,22.6925758510,22.5158708674,22.6925758510
2005.06.07,22.7158273889,22.8785825952,22.6925771519,22.7623296366
2005.06.08,22.8553269310,22.9018273939,22.6693215320,22.7158219948
2005.06.09,22.6460697311,22.8785755769,22.6321181742,22.8134742239
2005.06.10,22.8088246943,22.8088246943,22.5065681382,22.7158219948
2005.06.13,22.5763183919,22.6925713205,22.4879668047,22.6414197481
2005.06.14,22.6460745788,22.7111759457,22.5670216519,22.5763221006
2005.06.15,22.6460692859,22.7390719772,22.6042181636,22.7390719772
2005.06.16,22.7437159458,22.7809177231,22.7390666106,22.7809177231
2005.06.17,23.0645843004,23.2412892790,22.9715833606,23.1575870141
2005.06.20,22.9483314740,22.9808821579,22.8553305337,22.9808821579
2005.06.21,22.9018358078,23.0413390214,22.8599846664,23.0413390214
2005.06.22,23.0366800227,23.0366800227,22.9715786685,23.0087786821
2005.06.23,22.9483319903,23.0180844710,22.6925758510,22.6925758510
2005.06.24,22.8320762460,22.8367273569,22.7437246520,22.7855757805
2005.06.27,22.7390719772,22.7390719772,22.6553697324,22.7390719772
2005.06.28,22.6274746064,22.8460307247,22.6274746064,22.8460307247
2005.06.29,22.7948776445,22.9018301410,22.7390767277,22.8320776645
2005.06.30,22.7623280291,22.8320787350,22.7111764472,22.7716284780
2005.07.01,22.8320762460,22.8553282526,22.6879237386,22.7855757805
2005.07.05,22.5530726635,22.6925758510,22.5530726635,22.6925758510
2005.07.06,22.9250786361,22.9250786361,22.6693225315,22.7762750198
2005.07.07,22.3205623036,22.6414197481,22.3205623036,22.6414197481
2005.07.08,22.6646707564,22.8785757100,22.6646707564,22.8785757100
2005.07.11,22.9901860796,23.1529412975,22.9018344634,23.0273878805
2005.07.12,23.1436430202,23.4645006001,23.1343425691,23.4645006001
2005.07.13,23.7155937732,23.7155937732,23.1715310028,23.2784834677
2005.07.14,23.3900914296,23.3900914296,22.9715819054,23.3203407292
2005.07.15,23.2040788912,23.2831300095,23.0971246652,23.2831300095
2005.07.18,23.2598911073,23.2598911073,23.0971359083,23.0971359083
2005.07.19,23.1761775574,23.2831300095,23.0413237715,23.2831300095
2005.07.20,23.2133828398,23.4272895665,23.0227281168,23.4179891198
2005.07.21,23.3389426260,23.4830969289,23.3389426260,23.4691471419
2005.07.22,23.3668393772,23.4365918461,23.2087353184,23.2970869083
2005.07.25,23.2505864450,23.3435891455,23.2040859816,23.2970869083
2005.07.26,23.2970886604,23.3203406677,23.2552375307,23.2877899862
2005.07.27,23.4365962031,23.4923971243,23.3482428229,23.4923971243
2005.07.28,23.4784515378,23.7202561640,23.4784515378,23.7202561640
2005.07.29,23.7388478591,23.7388478591,23.3993895177,23.3993895177
2005.08.01,23.8923024282,23.8923024282,23.6225947818,23.6969965853
2005.08.02,23.9946165892,23.9992677022,23.8272137725,23.8551133550
2005.08.03,24.1108604511,24.1108604511,23.9202056894,24.0829608792
2005.08.04,24.0643584228,24.0643584228,23.8783530105,23.8830041214
2005.08.05,23.9015957301,23.9480961782,23.7899921713,23.8922952857
2005.08.08,23.7155942690,24.1527045836,23.4830884428,23.9248498673
2005.08.09,24.1806063380,24.2689579149,24.0876036512,24.1201543255
