fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,tqqq_hold,2010-02-11,2026-07-31,100000.0000000000,33382887.3589678630,332.8288735897,0.4231764841,1,0.0607320419,99.9000199140,-0.8165984832,2021-11-19,2022-12-28,404,2024-12-04,707.0000000000,1111.0000000000,1111,2021-11-19
0.0010000000,qqq_hold,2010-02-11,2026-07-31,100000.0000000000,1838335.0677455510,17.3833506775,0.1934139007,1,0.0607320419,99.8743118489,-0.3511783616,2021-12-27,2022-11-03,311,2023-12-13,405.0000000000,716.0000000000,716,2021-12-27
0.0010000000,vo,2010-02-11,2026-07-31,100000.0000000000,27659305.1991821080,275.5930519918,0.4070126631,98,5.9517401064,376771.2652515003,-0.4577025018,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,three_percent,2010-02-11,2026-07-31,100000.0000000000,7633002.5714443736,75.3300257144,0.3011876615,412,25.0216012637,170350.6130500996,-0.6138383533,2021-11-19,2022-12-28,404,2023-12-15,352.0000000000,756.0000000000,756,2021-11-19
0.0010000000,vr5,2010-02-11,2026-07-31,100000.0000000000,34706900.1797412634,346.0690017974,0.4265422557,152,9.2312703691,90120.4539781428,-0.8003842148,2021-12-27,2022-12-28,366,2024-07-05,555.0000000000,921.0000000000,921,2021-12-27
0.0010000000,bll_vma_1_50_b0,2010-02-11,2026-07-31,100000.0000000000,2043742.7754749213,19.4374277547,0.2011157477,260,15.7903308946,128080.7966047327,-0.5354293187,2020-09-02,2023-01-19,869,2023-12-26,341.0000000000,1210.0000000000,1210,2020-09-02
0.0010000000,bll_vma_1_50_b1,2010-02-11,2026-07-31,100000.0000000000,2892143.3782359776,27.9214337824,0.2267127051,130,7.8951654473,83657.5493858997,-0.6568702269,2011-02-16,2011-12-14,301,2014-08-25,985.0000000000,1286.0000000000,1286,2011-02-16
0.0010000000,bll_vma_1_150_b0,2010-02-11,2026-07-31,100000.0000000000,10515493.4806899745,104.1549348069,0.3267522828,111,6.7412566511,172392.0763579626,-0.5872570679,2020-02-19,2020-04-21,62,2020-08-21,122.0000000000,184.0000000000,690,2010-04-23
0.0010000000,bll_vma_1_150_b1,2010-02-11,2026-07-31,100000.0000000000,11583112.3183926698,114.8311231839,0.3345668182,51,3.0973341370,72011.9239234904,-0.5688838972,2015-07-20,2016-07-05,351,2017-06-08,338.0000000000,689.0000000000,1244,2010-04-23
0.0010000000,bll_vma_5_150_b0,2010-02-11,2026-07-31,100000.0000000000,6061836.6381751494,59.6183663818,0.2831020377,57,3.4617263884,44633.9462016791,-0.6233944450,2020-02-19,2020-04-21,62,2020-08-26,127.0000000000,189.0000000000,1316,2010-04-23
0.0010000000,bll_vma_5_150_b1,2010-02-11,2026-07-31,100000.0000000000,6026577.1957639400,59.2657719576,0.2826475318,39,2.3685496342,34692.4671837502,-0.6725211887,2010-04-23,2011-12-19,605,2013-12-09,721.0000000000,1326.0000000000,1326,2010-04-23
0.0010000000,bll_vma_1_200_b0,2010-02-11,2026-07-31,100000.0000000000,4887987.8580045290,47.8798785800,0.2664391311,103,6.2554003159,50918.6690968174,-0.6006731684,2015-07-20,2016-07-05,351,2017-10-11,463.0000000000,814.0000000000,1274,2010-04-23
0.0010000000,bll_vma_1_200_b1,2010-02-11,2026-07-31,100000.0000000000,8128910.8047699183,80.2891080477,0.3061713850,45,2.7329418856,33322.4794123070,-0.5872574344,2020-02-19,2020-04-21,62,2020-08-21,122.0000000000,184.0000000000,905,2011-04-27
0.0010000000,bll_vma_2_200_b0,2010-02-11,2026-07-31,100000.0000000000,11991933.7597667295,118.9193375977,0.3373811180,69,4.1905108913,57873.1315600548,-0.5754724133,2015-07-20,2016-07-05,351,2017-07-24,384.0000000000,735.0000000000,1313,2010-04-23
0.0010000000,bll_vma_2_200_b1,2010-02-11,2026-07-31,100000.0000000000,5495687.8818383561,53.9568788184,0.2754842278,41,2.4900137180,21952.3036525859,-0.6757687365,2010-04-23,2011-12-14,600,2014-06-26,925.0000000000,1525.0000000000,1525,2010-04-23
0.0010000000,bll_trb_50,2010-02-11,2026-07-31,100000.0000000000,1700687.2762070305,16.0068727621,0.1877863674,50,3.0366020951,25487.2700771594,-0.6693106279,2011-02-16,2011-11-25,282,2013-10-18,693.0000000000,975.0000000000,975,2011-02-16
0.0010000000,bll_trb_150,2010-02-11,2026-07-31,100000.0000000000,1721113.6032188886,16.2111360322,0.1886479251,19,1.1539087961,11786.9959584274,-0.6208683040,2020-02-19,2020-03-12,22,2021-01-20,314.0000000000,336.0000000000,1117,2010-04-23
0.0010000000,bll_trb_200,2010-02-11,2026-07-31,100000.0000000000,3679035.0443596533,35.7903504436,0.2447731683,13,0.7895165447,12061.9424126618,-0.7066986198,2018-08-29,2020-03-20,569,2020-07-20,122.0000000000,691.0000000000,929,2021-11-19
0.0020000000,tqqq_hold,2010-02-11,2026-07-31,100000.0000000000,33349543.5205100812,332.4954352051,0.4230901123,1,0.0607320419,199.6004730029,-0.8165984800,2021-11-19,2022-12-28,404,2024-12-04,707.0000000000,1111.0000000000,1111,2021-11-19
0.0020000000,qqq_hold,2010-02-11,2026-07-31,100000.0000000000,1836934.1191871201,17.3693411919,0.1933586470,1,0.0607320419,199.5991112549,-0.3511867219,2021-12-27,2022-11-03,311,2023-12-13,405.0000000000,716.0000000000,716,2021-12-27
0.0020000000,vo,2010-02-11,2026-07-31,100000.0000000000,26360804.8807943314,262.6080488079,0.4029098458,98,5.9517401064,725764.3705833683,-0.4602097058,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,three_percent,2010-02-11,2026-07-31,100000.0000000000,7108701.2158943908,70.0870121589,0.2955763264,412,25.0216012637,322862.6037678086,-0.6164057385,2021-11-19,2022-12-28,404,2023-12-18,355.0000000000,759.0000000000,759,2021-11-19
0.0020000000,vr5,2010-02-11,2026-07-31,100000.0000000000,34297003.9212229773,341.9700392122,0.4255133365,152,9.2312703691,178324.8265202856,-0.8004488872,2021-12-27,2022-12-28,366,2024-07-05,555.0000000000,921.0000000000,921,2021-12-27
0.0020000000,bll_vma_1_50_b0,2010-02-11,2026-07-31,100000.0000000000,1575842.5788379582,14.7584257884,0.1822992101,260,15.7903308946,211289.9476317734,-0.5536464773,2020-09-02,2023-01-19,869,2024-01-19,365.0000000000,1234.0000000000,1234,2020-09-02
0.0020000000,bll_vma_1_50_b1,2010-02-11,2026-07-31,100000.0000000000,2539619.5846458157,24.3961958465,0.2170669513,130,7.8951654473,151487.3734180438,-0.6619793077,2011-02-16,2011-12-14,301,2014-11-24,1076.0000000000,1377.0000000000,1377,2011-02-16
0.0020000000,bll_vma_1_150_b0,2010-02-11,2026-07-31,100000.0000000000,9410657.3886618726,93.1065738866,0.3178378299,111,6.7412566511,313618.5100061416,-0.5889045052,2020-02-19,2020-04-21,62,2020-08-21,122.0000000000,184.0000000000,696,2010-04-23
0.0020000000,bll_vma_1_150_b1,2010-02-11,2026-07-31,100000.0000000000,11007162.7294375300,109.0716272944,0.3304394534,51,3.0973341370,137819.0262396702,-0.5723190720,2015-07-20,2016-07-05,351,2017-07-20,380.0000000000,731.0000000000,1245,2010-04-23
0.0020000000,bll_vma_5_150_b0,2010-02-11,2026-07-31,100000.0000000000,5725961.0309700044,56.2596103097,0.2786677801,57,3.4617263884,85056.7932108231,-0.6241480552,2020-02-19,2020-04-21,62,2020-08-26,127.0000000000,189.0000000000,1326,2010-04-23
0.0020000000,bll_vma_5_150_b1,2010-02-11,2026-07-31,100000.0000000000,5796093.2757066330,56.9609327571,0.2796134931,39,2.3685496342,67141.9905611124,-0.6764272282,2010-04-23,2011-12-19,605,2013-12-20,732.0000000000,1337.0000000000,1337,2010-04-23
0.0020000000,bll_vma_1_200_b0,2010-02-11,2026-07-31,100000.0000000000,4409575.0138078816,43.0957501381,0.2585415886,103,6.2554003159,93804.5865741234,-0.6077967022,2015-07-20,2016-07-05,351,2017-10-16,468.0000000000,819.0000000000,1300,2010-04-23
0.0020000000,bll_vma_1_200_b1,2010-02-11,2026-07-31,100000.0000000000,7771210.6624767464,76.7121066248,0.3026064906,45,2.7329418856,64140.4256191565,-0.5889039310,2020-02-19,2020-04-21,62,2020-08-21,122.0000000000,184.0000000000,905,2011-04-27
0.0020000000,bll_vma_2_200_b0,2010-02-11,2026-07-31,100000.0000000000,11192359.6988883913,110.9235969889,0.3317883026,69,4.1905108913,109018.0144296305,-0.5813739639,2015-07-20,2016-07-05,351,2017-08-31,422.0000000000,773.0000000000,1314,2010-04-23
0.0020000000,bll_vma_2_200_b1,2010-02-11,2026-07-31,100000.0000000000,5274978.9961681850,51.7497899617,0.2723130503,41,2.4900137180,42393.5350811778,-0.6802762222,2010-04-23,2011-12-14,600,2014-07-01,930.0000000000,1530.0000000000,1530,2010-04-23
0.0020000000,bll_trb_50,2010-02-11,2026-07-31,100000.0000000000,1617749.7238182887,15.1774972382,0.1841852678,50,3.0366020951,49147.9246920928,-0.6712888504,2011-02-16,2011-11-25,282,2013-10-18,693.0000000000,975.0000000000,975,2011-02-16
0.0020000000,bll_trb_150,2010-02-11,2026-07-31,100000.0000000000,1688695.5014083211,15.8869550141,0.1872760298,19,1.1539087961,23250.9342419416,-0.6208674517,2020-02-19,2020-03-12,22,2021-01-20,314.0000000000,336.0000000000,1117,2010-04-23
0.0020000000,bll_trb_200,2010-02-11,2026-07-31,100000.0000000000,3631529.4273866722,35.3152942739,0.2437910431,13,0.7895165447,23899.3440538486,-0.7072845278,2018-08-29,2020-03-20,569,2020-07-20,122.0000000000,691.0000000000,929,2021-11-19
0.0050000000,tqqq_hold,2010-02-11,2026-07-31,100000.0000000000,33250028.6077948660,331.5002860779,0.4228318518,1,0.0607320419,497.5121664673,-0.8165984841,2021-11-19,2022-12-28,404,2024-12-04,707.0000000000,1111.0000000000,1111,2021-11-19
0.0050000000,qqq_hold,2010-02-11,2026-07-31,100000.0000000000,1831431.3206085665,17.3143132061,0.1931412314,1,0.0607320419,497.5026537085,-0.3511863442,2021-12-27,2022-11-03,311,2023-12-13,405.0000000000,716.0000000000,716,2021-12-27
0.0050000000,vo,2010-02-11,2026-07-31,100000.0000000000,22821666.1542632952,227.2166615426,0.3906801314,98,5.9517401064,1622033.9238874430,-0.4676756095,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0050000000,three_percent,2010-02-11,2026-07-31,100000.0000000000,5742996.1460463796,56.4299614605,0.2788984900,412,25.0216012637,687845.3974450998,-0.6240094518,2021-11-19,2022-12-28,404,2023-12-19,356.0000000000,760.0000000000,760,2021-11-19
0.0050000000,vr5,2010-02-11,2026-07-31,100000.0000000000,32683859.3530873507,325.8385935309,0.4213485714,153,9.2920024110,419867.4871643614,-0.8006414243,2021-12-27,2022-12-28,366,2024-07-05,555.0000000000,921.0000000000,921,2021-12-27
0.0050000000,bll_vma_1_50_b0,2010-02-11,2026-07-31,100000.0000000000,722385.4896674497,6.2238548967,0.1275992952,260,15.7903308946,304358.8266835336,-0.6047256544,2020-09-02,2023-03-13,922,2024-06-12,457.0000000000,1379.0000000000,1379,2020-09-02
0.0050000000,bll_vma_1_50_b1,2010-02-11,2026-07-31,100000.0000000000,1719448.4229426107,16.1944842294,0.1885780503,130,7.8951654473,282521.1832266229,-0.6768563799,2011-02-16,2011-12-14,301,2017-03-15,1918.0000000000,2219.0000000000,2219,2011-02-16
0.0050000000,bll_vma_1_150_b0,2010-02-11,2026-07-31,100000.0000000000,6745364.7561256383,66.4536475613,0.2914548719,111,6.7412566511,591228.1406178020,-0.5938080526,2020-02-19,2020-04-21,62,2020-08-24,125.0000000000,187.0000000000,710,2010-04-23
0.0050000000,bll_vma_1_150_b1,2010-02-11,2026-07-31,100000.0000000000,9445705.2511408087,93.4570525114,0.3181353820,51,3.0973341370,302030.2494551335,-0.5824609673,2015-07-20,2016-07-05,351,2017-08-31,422.0000000000,773.0000000000,1274,2010-04-23
0.0050000000,bll_vma_5_150_b0,2010-02-11,2026-07-31,100000.0000000000,4825991.1129569691,47.2599111296,0.2654577414,57,3.4617263884,184072.9455613479,-0.6379763965,2010-04-23,2011-12-28,614,2014-01-22,756.0000000000,1370.0000000000,1370,2010-04-23
0.0050000000,bll_vma_5_150_b1,2010-02-11,2026-07-31,100000.0000000000,5156178.9063610230,50.5617890636,0.2705541367,39,2.3685496342,152141.3596119598,-0.6878691175,2010-04-23,2011-12-19,605,2013-12-26,738.0000000000,1343.0000000000,1343,2010-04-23
0.0050000000,bll_vma_1_200_b0,2010-02-11,2026-07-31,100000.0000000000,3237423.9625239442,31.3742396252,0.2351437468,103,6.2554003159,183889.4069676839,-0.6284140664,2015-07-20,2016-07-05,351,2017-10-31,483.0000000000,834.0000000000,1340,2010-04-23
0.0050000000,bll_vma_1_200_b1,2010-02-11,2026-07-31,100000.0000000000,6789920.6967379376,66.8992069674,0.2919713522,45,2.7329418856,143019.3675083657,-0.5939151604,2015-07-20,2016-07-07,353,2017-10-16,466.0000000000,819.0000000000,1281,2010-04-23
0.0050000000,bll_vma_2_200_b0,2010-02-11,2026-07-31,100000.0000000000,9099678.3462288529,89.9967834623,0.3151510972,69,4.1905108913,227975.0775677636,-0.5985922471,2015-07-20,2016-07-05,351,2017-10-11,463.0000000000,814.0000000000,1343,2010-04-23
0.0050000000,bll_vma_2_200_b1,2010-02-11,2026-07-31,100000.0000000000,4664443.2350428337,45.6444323504,0.2628437527,41,2.4900137180,95454.1281123258,-0.6934266865,2010-04-23,2011-12-14,600,2014-07-18,947.0000000000,1547.0000000000,1547,2010-04-23
0.0050000000,bll_trb_50,2010-02-11,2026-07-31,100000.0000000000,1392389.2240076433,12.9238922401,0.1734454894,50,3.0366020951,110210.1250984090,-0.6771526381,2011-02-16,2011-11-25,282,2013-10-25,700.0000000000,982.0000000000,982,2011-02-16
0.0050000000,bll_trb_150,2010-02-11,2026-07-31,100000.0000000000,1595155.1733157930,14.9515517332,0.1831741656,19,1.1539087961,55780.6886085252,-0.6213837368,2024-12-16,2026-03-30,469,,,,1118,2010-04-23
0.0050000000,bll_trb_200,2010-02-11,2026-07-31,100000.0000000000,3492650.0512868543,33.9265005129,0.2408490673,13,0.7895165447,58098.6858201258,-0.7090348758,2018-08-29,2020-03-20,569,2020-08-03,136.0000000000,705.0000000000,929,2021-11-19
