model,window_years,window_count,median_cagr,worst_cagr,worst_mdd,worst_longest_tuw_days
tqqq_hold,5,173,0.3837639245,-0.0825354023,-0.9425047913,1822
qqq_hold,5,173,0.1782955235,0.0447101564,-0.5340133745,1136
vo,5,173,0.4036187019,0.1594644345,-0.5288300231,887
vaa_g4,5,173,0.0489716944,-0.0136526238,-0.2203885609,1641
daa_g12,5,173,0.0518263746,-0.0128017205,-0.2850377595,1600
tqqq_hold,10,113,0.3784701227,0.2026023839,-0.9425047913,2105
qqq_hold,10,113,0.1825369054,0.1180479933,-0.5340133745,1136
vo,10,113,0.4083356284,0.3040367279,-0.5288300231,887
vaa_g4,10,113,0.0533034914,0.0183032593,-0.2203885609,1641
daa_g12,10,113,0.0556059155,0.0197215681,-0.2850023682,1600
