model,window_years,window_count,median_cagr,worst_cagr,median_mdd,worst_mdd,median_longest_tuw_days,worst_longest_tuw_days
permanent_buyhold,5,202,0.0692619793,0.0344605149,-0.1182283998,-0.1934774253,549.5000000000,870
permanent_annual_equal,5,202,0.0661166194,0.0270684786,-0.1078666284,-0.1835670268,525.0000000000,882
permanent_band,5,202,0.0666698753,0.0293234182,-0.1180713322,-0.1934774253,529.0000000000,870
tqqq_hold,5,202,0.3461006469,-0.0943773684,-0.6992204281,-0.9425050645,432.0000000000,1822
qqq_hold,5,202,0.1691124115,0.0282773783,-0.2855731020,-0.5340393175,239.0000000000,1136
vo,5,202,0.3538282447,0.1409171562,-0.3739227084,-0.5288314162,519.0000000000,887
permanent_buyhold,10,142,0.0671698955,0.0405864592,-0.1510374118,-0.2114559664,785.5000000000,1183
permanent_annual_equal,10,142,0.0638939399,0.0327111252,-0.1395292395,-0.1836295941,528.0000000000,834
permanent_band,10,142,0.0659335649,0.0378631754,-0.1462237312,-0.1914426101,588.0000000000,823
tqqq_hold,10,142,0.3560202508,0.1603279191,-0.8165983303,-0.9425050645,970.5000000000,2105
qqq_hold,10,142,0.1784303334,0.1048482400,-0.3511591978,-0.5340393175,710.0000000000,1136
vo,10,142,0.3951342672,0.3006131451,-0.4576942160,-0.5288314162,560.0000000000,887
