period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
synthetic_full,jordan_public_proxy,2002-07-30,2026-07-31,100000.0000000000,1329129.9445121593,12.2912994451,0.1138046046,71,2.9579351546,91888.0615365212,-0.4777323964,2021-12-27,2022-10-24,301,2024-07-05,620.0000000000,921.0000000000,921,2021-12-27
synthetic_full,qqq_hold,1999-03-10,2026-08-12,100000.0000000000,1674666.5353393503,15.7466653534,0.1082231002,1,0.0364622642,99.8754174902,-0.8295500134,2000-03-27,2002-10-09,926,2015-02-20,4517.0000000000,5443.0000000000,5443,2000-03-27
synthetic_full,jordan_tqqq_full_exit,1999-03-10,2026-08-12,100000.0000000000,78742382.4585241377,786.4238245852,0.2752705225,77,2.8075943396,1419883.6221694592,-0.6819237961,2021-11-19,2023-01-19,426,2024-02-07,384.0000000000,810.0000000000,1249,2000-01-03
synthetic_full,jordan_tqqq_one_third,1999-03-10,2026-08-12,100000.0000000000,101659363.9151259214,1015.5936391513,0.2872040644,83,3.0263679245,1323933.7896535555,-0.7267616743,2021-11-19,2022-12-28,404,2024-06-05,525.0000000000,929.0000000000,1248,2000-01-03
synthetic_full,jordan_tqqq_two_thirds,1999-03-10,2026-08-12,100000.0000000000,113106543.8006215692,1130.0654380062,0.2922218383,83,3.0263679245,905598.5424770939,-0.7869773695,2021-11-19,2022-12-28,404,2024-07-05,555.0000000000,959.0000000000,1248,2000-01-03
synthetic_full,tqqq_hold,1999-03-10,2026-08-12,100000.0000000000,531533.4103941532,4.3153341039,0.0628071984,1,0.0364622642,99.8916870468,-0.9995530238,2000-03-27,2009-03-09,3269,,,,9634,2000-03-27
synthetic_full,vo,1999-03-10,2026-08-12,100000.0000000000,217629341.8914752901,2175.2934189148,0.3234292690,161,5.8704245283,2768266.5147548118,-0.5288302278,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
synthetic_full,three_percent,1999-03-10,2026-08-12,100000.0000000000,62934668.1155620664,628.3466811556,0.2648932196,687,25.0495754717,1276412.6952867866,-0.6138398075,2021-11-19,2022-12-28,404,2023-12-15,352.0000000000,756.0000000000,1248,2000-01-03
actual_tqqq_full,jordan_public_proxy,2010-02-11,2026-07-31,100000.0000000000,684635.1053923550,5.8463510539,0.1239296827,55,3.3402623046,44592.8683715957,-0.4776958473,2021-12-27,2022-10-24,301,2024-07-05,620.0000000000,921.0000000000,921,2021-12-27
actual_tqqq_full,qqq_hold,2010-02-11,2026-08-12,100000.0000000000,1933752.2177445367,18.3375221774,0.1966583387,1,0.0606111019,99.8743405320,-0.3511785887,2021-12-27,2022-11-03,311,2023-12-13,405.0000000000,716.0000000000,716,2021-12-27
actual_tqqq_full,jordan_tqqq_full_exit,2010-02-11,2026-08-12,100000.0000000000,6840267.0238493392,67.4026702385,0.2918907835,55,3.3336106040,122328.2944669100,-0.6819223660,2021-11-19,2023-01-19,426,2024-02-07,384.0000000000,810.0000000000,898,2015-07-20
actual_tqqq_full,jordan_tqqq_one_third,2010-02-11,2026-08-12,100000.0000000000,8736865.7880487889,86.3686578805,0.3111962726,59,3.5760550116,113007.8956825563,-0.7267604211,2021-11-19,2022-12-28,404,2024-06-05,525.0000000000,929.0000000000,929,2021-11-19
actual_tqqq_full,jordan_tqqq_two_thirds,2010-02-11,2026-08-12,100000.0000000000,9839373.9119394571,97.3937391194,0.3206749916,59,3.5760550116,78295.2821649119,-0.7869766888,2021-11-19,2022-12-28,404,2024-07-05,555.0000000000,959.0000000000,959,2021-11-19
actual_tqqq_full,tqqq_hold,2010-02-11,2026-08-12,100000.0000000000,38538583.0773022026,384.3858307730,0.4346104512,1,0.0606111019,99.9000343789,-0.8165985116,2021-11-19,2022-12-28,404,2024-12-04,707.0000000000,1111.0000000000,1111,2021-11-19
actual_tqqq_full,vo,2010-02-11,2026-08-12,100000.0000000000,29714385.6587341987,296.1438565873,0.4121773450,98,5.9398879854,376771.2852633813,-0.4577021664,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
