year,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
2010,vo,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,tqqq_hold,2010-01-04,2010-12-31,100000.0000000000,146843.7768858983,0.4684377689,0.4750829580,1,1.0117520776,99.8999042753,-0.4309188491,2010-04-23,2010-07-02,70,2010-10-25,115.0000000000,185.0000000000,185,2010-04-23
2010,qqq_hold,2010-01-04,2010-12-31,100000.0000000000,118294.5886329686,0.1829458863,0.1852838507,1,1.0117520776,99.8872572488,-0.1576712624,2010-04-23,2010-07-02,70,2010-10-13,103.0000000000,173.0000000000,173,2010-04-23
2010,standalone_qqq_band_cross_100_200_2_full_cash,2010-01-04,2010-12-31,100000.0000000000,146843.7768858983,0.4684377689,0.4750829580,1,1.0117520776,99.8999042753,-0.4309188491,2010-04-23,2010-07-02,70,2010-10-25,115.0000000000,185.0000000000,185,2010-04-23
2010,standalone_qqq_band_cross_100_200_3_full_cash,2010-01-04,2010-12-31,100000.0000000000,146843.7768858983,0.4684377689,0.4750829580,1,1.0117520776,99.8999042753,-0.4309188491,2010-04-23,2010-07-02,70,2010-10-25,115.0000000000,185.0000000000,185,2010-04-23
2010,standalone_qqq_band_cross_100_200_2_half_floor,2010-01-04,2010-12-31,100000.0000000000,146843.7768858983,0.4684377689,0.4750829580,1,1.0117520776,99.8999042753,-0.4309188491,2010-04-23,2010-07-02,70,2010-10-25,115.0000000000,185.0000000000,185,2010-04-23
2010,standalone_qqq_band_cross_100_200_1_full_cash,2010-01-04,2010-12-31,100000.0000000000,146843.7768858983,0.4684377689,0.4750829580,1,1.0117520776,99.8999042753,-0.4309188491,2010-04-23,2010-07-02,70,2010-10-25,115.0000000000,185.0000000000,185,2010-04-23
2010,standalone_qqq_band_cross_100_200_1_half_floor,2010-01-04,2010-12-31,100000.0000000000,146843.7768858983,0.4684377689,0.4750829580,1,1.0117520776,99.8999042753,-0.4309188491,2010-04-23,2010-07-02,70,2010-10-25,115.0000000000,185.0000000000,185,2010-04-23
2010,standalone_qqq_cross_50_200_half_floor,2010-01-04,2010-12-31,100000.0000000000,129567.4982692727,0.2956749827,0.2996252363,3,3.0352562327,185.9659948888,-0.4309188491,2010-04-23,2010-07-02,70,2010-12-10,161.0000000000,231.0000000000,231,2010-04-23
2010,standalone_qqq_band_cross_100_200_3_half_floor,2010-01-04,2010-12-31,100000.0000000000,146843.7768858983,0.4684377689,0.4750829580,1,1.0117520776,99.8999042753,-0.4309188491,2010-04-23,2010-07-02,70,2010-10-25,115.0000000000,185.0000000000,185,2010-04-23
