fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,vo,2010-02-11,2025-12-31,100000.0000000000,25918720.9945992753,258.1872099460,0.4188605691,91,5.7285535160,283659.1411483044,-0.4577022582,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,tqqq_hold,2010-02-11,2025-12-31,100000.0000000000,27127894.7805861458,270.2789478059,0.4229390931,1,0.0629511375,99.9000343789,-0.8165984114,2021-11-19,2022-12-28,404,2024-12-04,707.0000000000,1111.0000000000,1111,2021-11-19
0.0010000000,qqq_hold,2010-02-11,2025-12-31,100000.0000000000,1637595.3496883775,15.3759534969,0.1924376678,1,0.0629511375,99.8743218882,-0.3511786329,2021-12-27,2022-11-03,311,2023-12-13,405.0000000000,716.0000000000,716,2021-12-27
0.0010000000,standalone_qqq_band_cross_100_200_2_full_cash,2010-02-11,2025-12-31,100000.0000000000,30409848.0885185264,303.0984808852,0.4332058481,5,0.3147556877,22472.7421182636,-0.6992204845,2020-02-19,2020-03-20,30,2020-07-10,112.0000000000,142.0000000000,913,2021-11-19
0.0010000000,standalone_qqq_band_cross_100_200_3_full_cash,2010-02-11,2025-12-31,100000.0000000000,23243946.1343428865,231.4394613434,0.4091651609,5,0.3147556877,19283.0215665523,-0.6992205750,2020-02-19,2020-03-20,30,2020-07-10,112.0000000000,142.0000000000,959,2021-11-19
0.0010000000,standalone_qqq_band_cross_100_200_2_half_floor,2010-02-11,2025-12-31,100000.0000000000,29169417.7352117598,290.6941773521,0.4294534147,5,0.3147556877,12126.3077963553,-0.6992203669,2020-02-19,2020-03-20,30,2020-07-10,112.0000000000,142.0000000000,938,2021-11-19
0.0010000000,standalone_qqq_band_cross_100_200_1_full_cash,2010-02-11,2025-12-31,100000.0000000000,17515571.6630267464,174.1557166303,0.3842869116,9,0.5665602378,12598.6160670152,-0.6992197753,2020-02-19,2020-03-20,30,2020-07-10,112.0000000000,142.0000000000,754,2021-11-19
0.0010000000,standalone_qqq_band_cross_100_200_1_half_floor,2010-02-11,2025-12-31,100000.0000000000,23989624.4285818636,238.8962442858,0.4119690704,9,0.5665602378,10576.0847464746,-0.6992198964,2020-02-19,2020-03-20,30,2020-07-10,112.0000000000,142.0000000000,833,2021-11-19
0.0010000000,standalone_qqq_cross_50_200_half_floor,2010-02-11,2025-12-31,100000.0000000000,19212355.8049213998,191.1235580492,0.3923678851,19,1.1960716132,22764.0536880329,-0.6992204079,2020-02-19,2020-03-20,30,2020-08-18,151.0000000000,181.0000000000,754,2021-11-19
0.0010000000,standalone_qqq_band_cross_100_200_3_half_floor,2010-02-11,2025-12-31,100000.0000000000,25275378.4152919389,251.7537841529,0.4166173329,5,0.3147556877,10483.8284288673,-0.7237710845,2021-11-19,2022-12-28,404,2024-07-10,560.0000000000,964.0000000000,964,2021-11-19
