model,window_years,window_count,median_cagr,worst_cagr,median_mdd,worst_mdd,median_longest_tuw_days,worst_longest_tuw_days
vo,5,131,0.4138435731,0.1910585823,-0.3739220860,-0.4576917315,519.0000000000,560
tqqq_hold,5,131,0.4091551188,0.0820933902,-0.6992182924,-0.8165980987,432.0000000000,1111
qqq_hold,5,131,0.1810135702,0.1196183939,-0.2854630132,-0.3511800687,239.0000000000,716
standalone_qqq_band_cross_100_200_2_full_cash,5,131,0.4251801047,0.1514629727,-0.5808271571,-0.6992206338,484.0000000000,913
standalone_qqq_band_cross_100_200_3_full_cash,5,131,0.3744659184,0.1141506103,-0.6554004697,-0.6992205212,491.0000000000,959
standalone_qqq_band_cross_100_200_2_half_floor,5,131,0.4086082052,0.1541718738,-0.6804888180,-0.6992206848,470.0000000000,938
standalone_qqq_band_cross_100_200_1_full_cash,5,131,0.3781893282,0.0713836907,-0.5808262977,-0.6992201598,604.0000000000,754
standalone_qqq_band_cross_100_200_1_half_floor,5,131,0.4034338128,0.1357336826,-0.6230707625,-0.6992207304,555.0000000000,833
standalone_qqq_cross_50_200_half_floor,5,131,0.4042974102,0.1134867531,-0.6051343767,-0.6992200125,574.0000000000,754
standalone_qqq_band_cross_100_200_3_half_floor,5,131,0.3945332231,0.1206968197,-0.6992112136,-0.7237709560,474.0000000000,964
standalone_qqq_band_cross_50_200_2_half_floor,5,131,0.3958363214,0.1116525380,-0.6469294960,-0.6992207506,556.0000000000,833
standalone_qqq_cross_20_250_full_cash,5,131,0.3568889412,0.0833546958,-0.5965729457,-0.6992205120,600.0000000000,675
standalone_qqq_cross_100_250_full_cash,5,131,0.4053273133,0.1177467014,-0.5935986418,-0.6992204347,519.0000000000,833
vo_qqq_price_sma_50_both_confirm,5,131,0.4221969166,0.2073334721,-0.3809401131,-0.4595810418,526.0000000000,570
vo_tqqq_triple_50_150_200_cut_confirm,5,131,0.4580536596,0.1804231373,-0.6107499832,-0.6992205731,519.0000000000,760
vo_qqq_cross_100_200_cut_confirm,5,131,0.4550136356,0.1409719253,-0.5869319902,-0.6992205402,536.0000000000,754
vo_qqq_triple_20_100_200_cut_confirm,5,131,0.4626055151,0.1542005714,-0.5869319902,-0.6992205402,484.0000000000,754
vo_tqqq_cross_100_250_trend_floor,5,131,0.4531852798,0.1214228078,-0.6087330955,-0.6992206467,506.0000000000,759
vo_tqqq_cross_100_200_trend_floor,5,131,0.4468803395,0.1141949963,-0.5808265725,-0.6992206934,524.0000000000,573
vo_qqq_cross_100_200_bull_step_up,5,131,0.4607235136,0.2183234568,-0.5388509604,-0.5921936204,478.0000000000,606
vo_qqq_price_sma_50_bull_step_up,5,131,0.4486291732,0.1963616980,-0.3773987999,-0.5755439970,430.0000000000,605
vo_qqq_triple_50_100_200_bull_step_up,5,131,0.4402545249,0.2097806770,-0.5016501636,-0.6038804523,526.0000000000,606
vo_qqq_triple_20_100_200_bull_step_up,5,131,0.4442992844,0.1931801101,-0.4979400824,-0.6141364156,512.0000000000,754
vo,10,71,0.4021071773,0.3040367279,-0.4576925161,-0.4577015600,519.0000000000,560
tqqq_hold,10,71,0.3773612074,0.2917990853,-0.8165973030,-0.8165984137,432.0000000000,1111
qqq_hold,10,71,0.1843678220,0.1536657440,-0.3511161573,-0.3511853353,368.0000000000,716
standalone_qqq_band_cross_100_200_2_full_cash,10,71,0.3996270442,0.3066344710,-0.6992192978,-0.6992208163,484.0000000000,913
standalone_qqq_band_cross_100_200_3_full_cash,10,71,0.3670640541,0.2719939905,-0.6992194097,-0.6992208042,491.0000000000,959
standalone_qqq_band_cross_100_200_2_half_floor,10,71,0.3873893064,0.3012049912,-0.6992195523,-0.6992207833,470.0000000000,938
standalone_qqq_band_cross_100_200_1_full_cash,10,71,0.3716055509,0.2012098433,-0.6992187285,-0.6992207325,720.0000000000,754
standalone_qqq_band_cross_100_200_1_half_floor,10,71,0.3895903699,0.2721337439,-0.6992192306,-0.6992208129,555.0000000000,833
standalone_qqq_cross_50_200_half_floor,10,71,0.3822908379,0.2525138607,-0.6992191312,-0.6992208192,574.0000000000,754
standalone_qqq_band_cross_100_200_3_half_floor,10,71,0.3687485145,0.2826944017,-0.7237659007,-0.7237710724,474.0000000000,964
standalone_qqq_band_cross_50_200_2_half_floor,10,71,0.3721380369,0.2668135471,-0.6992191054,-0.6992207506,556.0000000000,833
standalone_qqq_cross_20_250_full_cash,10,71,0.3424738909,0.1991780462,-0.6992186902,-0.6992205707,675.0000000000,675
standalone_qqq_cross_100_250_full_cash,10,71,0.3778936034,0.2622777290,-0.6992192299,-0.6992207407,519.0000000000,833
vo_qqq_price_sma_50_both_confirm,10,71,0.4202446300,0.3213164841,-0.4216181426,-0.4595861580,526.0000000000,570
vo_tqqq_triple_50_150_200_cut_confirm,10,71,0.4445727973,0.3424085313,-0.6992197114,-0.6992208220,519.0000000000,760
vo_qqq_cross_100_200_cut_confirm,10,71,0.4286723320,0.3169149316,-0.6992195880,-0.6992207109,536.0000000000,754
vo_qqq_triple_20_100_200_cut_confirm,10,71,0.4369374550,0.3245287828,-0.6992196262,-0.6992208170,484.0000000000,754
vo_tqqq_cross_100_250_trend_floor,10,71,0.4140983295,0.3012780961,-0.6992193856,-0.6992207907,506.0000000000,759
vo_tqqq_cross_100_200_trend_floor,10,71,0.4067402772,0.2825768261,-0.6992187972,-0.6992208042,524.0000000000,573
vo_qqq_cross_100_200_bull_step_up,10,71,0.4328967177,0.3289098079,-0.5751585615,-0.5921942971,478.0000000000,606
vo_qqq_price_sma_50_bull_step_up,10,71,0.4360032457,0.3292682070,-0.5755396125,-0.5755456282,430.0000000000,605
vo_qqq_triple_50_100_200_bull_step_up,10,71,0.4220465287,0.3227515044,-0.6038790070,-0.6038847849,526.0000000000,606
vo_qqq_triple_20_100_200_bull_step_up,10,71,0.4145134554,0.3167284682,-0.6141365658,-0.6141411471,512.0000000000,754
