model,family,screen_pass,full_cagr_delta,actual_cagr_delta,decade_cagr_delta,full_mdd_delta,actual_mdd_delta,actual_annual_trades,rank_floor,rank_sum,changed_target_days_pre2026,changed_target_days_current,duplicate_of
standalone_qqq_band_cross_100_200_2_full_cash,standalone,False,0.0137691162,0.0143452790,0.0194215016,-0.2724510518,-0.2415182263,0.3147556877,0.0137691162,0.0475358968,2181,2250,
standalone_qqq_band_cross_100_200_3_full_cash,standalone,False,-0.0194442032,-0.0096954082,-0.0176011023,-0.3127526867,-0.2415183168,0.3147556877,-0.0194442032,-0.0467407137,2220,2289,
standalone_qqq_band_cross_100_200_2_half_floor,standalone,False,-0.0319337498,0.0105928456,0.0136194533,-0.3340131845,-0.2415181088,0.3147556877,-0.0319337498,-0.0077214509,2770,2839,
standalone_qqq_band_cross_100_200_1_full_cash,standalone,False,-0.0341979053,-0.0345736575,0.0124616282,-0.2724510518,-0.2415175172,0.5665602378,-0.0345736575,-0.0563099345,2360,2429,
standalone_qqq_band_cross_100_200_1_half_floor,standalone,False,-0.0417047697,-0.0068914987,0.0169900382,-0.2849092476,-0.2415176383,0.5665602378,-0.0417047697,-0.0316062302,2890,2959,
standalone_qqq_cross_50_200_half_floor,standalone,False,-0.0586729678,-0.0264926840,0.0060868949,-0.3338217337,-0.2415181498,1.1960716132,-0.0586729678,-0.0790787568,2762,2831,
standalone_qqq_band_cross_100_200_3_half_floor,standalone,False,-0.0599067532,-0.0022432362,-0.0061651568,-0.3903864089,-0.2660688264,0.3147556877,-0.0599067532,-0.0683151462,2759,2828,
standalone_qqq_band_cross_50_200_2_half_floor,standalone,False,-0.0754310233,-0.0295601442,-0.0272338104,-0.3621565253,-0.2415175131,0.6924625129,-0.0754310233,-0.1322249779,2722,2791,
standalone_qqq_cross_20_250_full_cash,standalone,False,-0.0764122150,-0.0750178873,-0.0169404359,-0.2941857624,-0.2415170482,1.4478761634,-0.0764122150,-0.1683705382,1973,2042,
standalone_qqq_cross_100_250_full_cash,standalone,False,-0.0769649725,-0.0142623811,0.0051606828,-0.3127526867,-0.2415175323,0.5665602378,-0.0769649725,-0.0860666708,2302,2371,
standalone_qqq_cross_50_250_full_cash,standalone,False,-0.0785881690,-0.0476168087,-0.0258781715,-0.3122817055,-0.2415182487,1.0701693382,-0.0785881690,-0.1520831492,2116,2185,
standalone_qqq_cross_5_250_half_floor,standalone,False,-0.0793304634,-0.0576765365,-0.0154126923,-0.3595776970,-0.1986098124,2.9587034643,-0.0793304634,-0.1524196922,2577,2645,
standalone_qqq_slope_150_20_half_floor,standalone,False,-0.0801533902,-0.0538509718,0.0091646994,-0.3766682060,-0.1768327020,5.2249444157,-0.0801533902,-0.1248396627,2750,2830,
standalone_qqq_cross_20_250_half_floor,standalone,False,-0.0814904413,-0.0231333714,0.0099646349,-0.3821355667,-0.2415178071,1.4478761634,-0.0814904413,-0.0946591778,2606,2675,
