period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
dotcom,vo,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,tqqq_hold,2000-03-10,2002-10-09,100000.0000000000,166.0310571276,-0.9983396894,-0.9161844694,1,0.3873197243,99.7977815679,-0.9984077321,2000-03-27,2002-10-09,926,,,,926,2000-03-27
dotcom,qqq_hold,2000-03-10,2002-10-09,100000.0000000000,17452.8551455633,-0.8254714485,-0.4914192292,1,0.3873197243,99.8906062097,-0.8295620738,2000-03-27,2002-10-09,926,,,,926,2000-03-27
dotcom,standalone_qqq_band_cross_100_200_2_full_cash,2000-03-10,2002-10-09,100000.0000000000,30699.4709985685,-0.6930052900,-0.3670700038,2,0.7746394486,130.4254595940,-0.8005033574,2000-03-27,2000-05-23,57,,,,926,2000-03-27
dotcom,standalone_qqq_band_cross_100_200_3_full_cash,2000-03-10,2002-10-09,100000.0000000000,19542.3150851182,-0.8045768491,-0.4686495849,2,0.7746394486,119.2571353563,-0.8407658545,2000-03-27,2000-10-30,217,,,,926,2000-03-27
dotcom,standalone_qqq_band_cross_100_200_2_half_floor,2000-03-10,2002-10-09,100000.0000000000,15384.7927452175,-0.8461520725,-0.5156664409,2,0.7746394486,115.0635142804,-0.8524570492,2000-03-27,2002-10-09,926,,,,926,2000-03-27
dotcom,standalone_qqq_band_cross_100_200_1_full_cash,2000-03-10,2002-10-09,100000.0000000000,40265.4743110996,-0.5973452569,-0.2969557049,2,0.7746394486,140.0010384854,-0.8005033574,2000-03-27,2000-05-23,57,,,,926,2000-03-27
dotcom,standalone_qqq_band_cross_100_200_1_half_floor,2000-03-10,2002-10-09,100000.0000000000,20194.7582112058,-0.7980524179,-0.4618476656,2,0.7746394486,119.8783612010,-0.8063286086,2000-03-27,2002-10-09,926,,,,926,2000-03-27
dotcom,standalone_qqq_cross_50_200_half_floor,2000-03-10,2002-10-09,100000.0000000000,16590.9185879901,-0.8340908141,-0.5012987797,2,0.7746394486,116.2709141307,-0.8408900838,2000-03-27,2002-10-09,926,,,,926,2000-03-27
dotcom,standalone_qqq_band_cross_100_200_3_half_floor,2000-03-10,2002-10-09,100000.0000000000,9803.4498145051,-0.9019655019,-0.5932372590,2,0.7746394486,109.4765177454,-0.9059831395,2000-03-27,2002-10-09,926,,,,926,2000-03-27
