name,family,signal_asset,signal,action
standalone_qqq_price_sma_20_full_cash,standalone,qqq,price_sma_20,full_cash
standalone_qqq_price_sma_20_half_floor,standalone,qqq,price_sma_20,half_floor
standalone_qqq_price_sma_50_full_cash,standalone,qqq,price_sma_50,full_cash
standalone_qqq_price_sma_50_half_floor,standalone,qqq,price_sma_50,half_floor
standalone_qqq_price_sma_100_full_cash,standalone,qqq,price_sma_100,full_cash
standalone_qqq_price_sma_100_half_floor,standalone,qqq,price_sma_100,half_floor
standalone_qqq_price_sma_150_full_cash,standalone,qqq,price_sma_150,full_cash
standalone_qqq_price_sma_150_half_floor,standalone,qqq,price_sma_150,half_floor
standalone_qqq_price_sma_200_full_cash,standalone,qqq,price_sma_200,full_cash
standalone_qqq_price_sma_200_half_floor,standalone,qqq,price_sma_200,half_floor
standalone_qqq_price_sma_250_full_cash,standalone,qqq,price_sma_250,full_cash
standalone_qqq_price_sma_250_half_floor,standalone,qqq,price_sma_250,half_floor
standalone_qqq_cross_5_20_full_cash,standalone,qqq,cross_5_20,full_cash
standalone_qqq_cross_5_20_half_floor,standalone,qqq,cross_5_20,half_floor
standalone_qqq_cross_5_50_full_cash,standalone,qqq,cross_5_50,full_cash
standalone_qqq_cross_5_50_half_floor,standalone,qqq,cross_5_50,half_floor
standalone_qqq_cross_5_100_full_cash,standalone,qqq,cross_5_100,full_cash
standalone_qqq_cross_5_100_half_floor,standalone,qqq,cross_5_100,half_floor
standalone_qqq_cross_5_150_full_cash,standalone,qqq,cross_5_150,full_cash
standalone_qqq_cross_5_150_half_floor,standalone,qqq,cross_5_150,half_floor
standalone_qqq_cross_5_200_full_cash,standalone,qqq,cross_5_200,full_cash
standalone_qqq_cross_5_200_half_floor,standalone,qqq,cross_5_200,half_floor
standalone_qqq_cross_5_250_full_cash,standalone,qqq,cross_5_250,full_cash
standalone_qqq_cross_5_250_half_floor,standalone,qqq,cross_5_250,half_floor
standalone_qqq_cross_10_20_full_cash,standalone,qqq,cross_10_20,full_cash
standalone_qqq_cross_10_20_half_floor,standalone,qqq,cross_10_20,half_floor
standalone_qqq_cross_10_50_full_cash,standalone,qqq,cross_10_50,full_cash
standalone_qqq_cross_10_50_half_floor,standalone,qqq,cross_10_50,half_floor
standalone_qqq_cross_10_100_full_cash,standalone,qqq,cross_10_100,full_cash
standalone_qqq_cross_10_100_half_floor,standalone,qqq,cross_10_100,half_floor
standalone_qqq_cross_10_150_full_cash,standalone,qqq,cross_10_150,full_cash
standalone_qqq_cross_10_150_half_floor,standalone,qqq,cross_10_150,half_floor
standalone_qqq_cross_10_200_full_cash,standalone,qqq,cross_10_200,full_cash
standalone_qqq_cross_10_200_half_floor,standalone,qqq,cross_10_200,half_floor
standalone_qqq_cross_10_250_full_cash,standalone,qqq,cross_10_250,full_cash
standalone_qqq_cross_10_250_half_floor,standalone,qqq,cross_10_250,half_floor
standalone_qqq_cross_20_50_full_cash,standalone,qqq,cross_20_50,full_cash
standalone_qqq_cross_20_50_half_floor,standalone,qqq,cross_20_50,half_floor
standalone_qqq_cross_20_100_full_cash,standalone,qqq,cross_20_100,full_cash
standalone_qqq_cross_20_100_half_floor,standalone,qqq,cross_20_100,half_floor
