fee_rate,period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,actual_pre2026,vo,2010-02-11,2025-12-31,100000.0000000000,25918720.9945992753,258.1872099460,0.4188605691,91,5.7285535160,283659.1411483044,-0.4577022582,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,recovery_10_breadth2_cool95,2010-02-11,2025-12-31,100000.0000000000,32004384.0471526906,319.0438404715,0.4378241906,93,5.8544557911,320258.4058588816,-0.4577022630,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,consensus_20_60_120_n3_block_cut,2010-02-11,2025-12-31,100000.0000000000,30496362.8792423680,303.9636287924,0.4334621844,83,5.2249444157,303481.2221170827,-0.4577020935,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,riskadj_h60_t15_step_up,2010-02-11,2025-12-31,100000.0000000000,33403335.3632940613,333.0333536329,0.4417018009,95,5.9803580662,378812.4557987569,-0.4610972933,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,recovery_15_breadth2_cool95,2010-02-11,2025-12-31,100000.0000000000,31730877.9076969698,316.3087790770,0.4370475645,93,5.8544557911,318317.8701264425,-0.4577021544,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,cool_s10_l60_r95_block_cut,2010-02-11,2025-12-31,100000.0000000000,27801216.8384092674,277.0121683841,0.4251369383,89,5.6026512410,294396.5431311193,-0.4577023114,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,cool_s5_l30_r80_block_cut,2010-02-11,2025-12-31,100000.0000000000,27422976.7374947891,273.2297673749,0.4239085153,87,5.4767489659,290877.1525962061,-0.4577021961,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,cool_s5_l60_r65_block_cut,2010-02-11,2025-12-31,100000.0000000000,26530900.6854760200,264.3090068548,0.4209472149,89,5.6026512410,282370.7358405040,-0.4577018305,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,cool_s10_l60_r65_block_cut,2010-02-11,2025-12-31,100000.0000000000,26530900.6854760200,264.3090068548,0.4209472149,89,5.6026512410,282370.7358405040,-0.4577018305,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,riskadj_h60_t15_block_cut,2010-02-11,2025-12-31,100000.0000000000,32816747.4315584414,327.1674743156,0.4400947796,87,5.4767489659,334285.9210963995,-0.4577022292,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,cool_s10_l30_r80_block_cut,2010-02-11,2025-12-31,100000.0000000000,26462641.2754458636,263.6264127545,0.4207167970,87,5.4767489659,280689.9805012185,-0.4577022182,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,breadth_price_sma_h60_n3_block_cut,2010-02-11,2025-12-31,100000.0000000000,26411454.1381743327,263.1145413817,0.4205436430,81,5.0990421406,266174.4643566606,-0.4577021578,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,cool_s10_l30_r95_block_cut,2010-02-11,2025-12-31,100000.0000000000,26386813.2669392005,262.8681326694,0.4204601766,87,5.4767489659,280022.9379561521,-0.4577022465,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,actual_pre2026,riskadj_h20_t10_block_cut,2010-02-11,2025-12-31,100000.0000000000,26753819.9524356648,266.5381995244,0.4216958554,89,5.6026512410,284248.9217892562,-0.4577020025,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
