period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
full_pre2026,vo,1999-03-10,2025-12-31,100000.0000000000,189828105.5480338335,1897.2810554803,0.3251671506,154,5.7436275911,2086290.6556658249,-0.5288304467,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,riskadj_h20_t5_step_up,1999-03-10,2025-12-31,100000.0000000000,297796987.3983295560,2976.9698739833,0.3476102787,349,13.0164027877,6232874.8839721251,-0.5685219122,2021-11-19,2022-12-28,404,2023-07-17,201.0000000000,605.0000000000,1274,2000-03-09
full_pre2026,riskadj_h20_t5_block_cut,1999-03-10,2025-12-31,100000.0000000000,182801375.1120636463,1827.0137511206,0.3233042558,134,4.9977019299,1901700.7351663986,-0.5474348756,2007-10-31,2009-05-13,560,2009-12-24,225.0000000000,785.0000000000,1281,2000-01-03
full_pre2026,riskadj_h20_t10_step_up,1999-03-10,2025-12-31,100000.0000000000,103054795.9940992296,1029.5479599410,0.2953175352,341,12.7180325232,1728131.1519648079,-0.5711933290,2007-10-31,2009-05-13,560,2010-04-14,336.0000000000,896.0000000000,2200,2000-01-03
full_pre2026,riskadj_h20_t10_block_cut,1999-03-10,2025-12-31,100000.0000000000,191536657.3401125073,1914.3665734011,0.3256100747,146,5.4452573267,2043036.8366272831,-0.5288304064,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1173,2000-01-03
full_pre2026,riskadj_h20_t15_step_up,1999-03-10,2025-12-31,100000.0000000000,128120344.2202976048,1280.2034422030,0.3058779963,261,9.7343298785,2239198.5649001454,-0.5598686737,2007-10-31,2009-05-13,560,2010-04-14,336.0000000000,896.0000000000,1243,2000-01-03
full_pre2026,riskadj_h20_t15_block_cut,1999-03-10,2025-12-31,100000.0000000000,187519603.5778388679,1874.1960357784,0.3245625605,150,5.5944424589,2004206.3804433488,-0.5288302659,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1173,2000-01-03
full_pre2026,riskadj_h60_t5_step_up,1999-03-10,2025-12-31,100000.0000000000,153156844.0761743784,1530.5684407617,0.3146003667,247,9.2121819157,2966982.2667827634,-0.5874900651,2007-10-31,2009-05-13,560,2009-12-22,223.0000000000,783.0000000000,1260,2000-03-27
full_pre2026,riskadj_h60_t5_block_cut,1999-03-10,2025-12-31,100000.0000000000,160549837.3718740940,1604.4983737187,0.3169137527,123,4.5874428163,1639336.4839637864,-0.5945548424,2007-10-31,2009-05-13,560,2010-04-12,334.0000000000,894.0000000000,1197,2000-03-27
full_pre2026,riskadj_h60_t10_step_up,1999-03-10,2025-12-31,100000.0000000000,229526350.5694775879,2294.2635056948,0.3345859921,238,8.8765153681,3179863.2184877000,-0.5801861893,2007-10-31,2009-05-22,569,2009-12-28,220.0000000000,789.0000000000,1216,2000-03-09
full_pre2026,riskadj_h60_t10_block_cut,1999-03-10,2025-12-31,100000.0000000000,278681039.4692982435,2785.8103946930,0.3442798894,140,5.2214796283,2867609.9210588541,-0.5681906125,2007-10-31,2009-05-13,560,2010-03-23,314.0000000000,874.0000000000,1175,2000-03-09
full_pre2026,riskadj_h60_t15_step_up,1999-03-10,2025-12-31,100000.0000000000,231524091.4683071077,2314.2409146831,0.3350174175,208,7.7576268763,2639899.3174321600,-0.5288304065,2007-10-31,2009-05-13,560,2009-12-24,225.0000000000,785.0000000000,1281,2000-01-03
full_pre2026,riskadj_h60_t15_block_cut,1999-03-10,2025-12-31,100000.0000000000,197295337.2096149921,1971.9533720961,0.3270754335,150,5.5944424589,2017155.7003196448,-0.5288303893,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1248,2000-01-03
full_pre2026,riskadj_h120_t5_step_up,1999-03-10,2025-12-31,100000.0000000000,205421855.6469840407,2053.2185564698,0.3290747493,197,7.3473677627,2812004.4724821546,-0.6370511176,2007-10-31,2009-05-13,560,2010-03-16,307.0000000000,867.0000000000,1379,2000-03-27
full_pre2026,riskadj_h120_t5_block_cut,1999-03-10,2025-12-31,100000.0000000000,136880652.4731219411,1367.8065247312,0.3091032513,105,3.9161097212,933613.7546316542,-0.6069530699,2000-03-27,2000-04-14,18,2004-12-01,1692.0000000000,1710.0000000000,1710,2000-03-27
full_pre2026,riskadj_h120_t10_step_up,1999-03-10,2025-12-31,100000.0000000000,141278616.3963829875,1411.7861639638,0.3106482208,202,7.5338491780,1729111.5717718839,-0.6302390256,2000-03-27,2000-09-18,175,2006-01-09,1939.0000000000,2114.0000000000,2114,2000-03-27
full_pre2026,riskadj_h120_t10_block_cut,1999-03-10,2025-12-31,100000.0000000000,131680326.9823309183,1315.8032698233,0.3072135303,128,4.7739242316,1154384.4833972156,-0.6107237435,2000-03-27,2000-09-18,175,2004-12-14,1548.0000000000,1723.0000000000,1723,2000-03-27
