model,window_years,window_count,median_cagr,worst_cagr,median_mdd,worst_mdd,median_longest_tuw_days,worst_longest_tuw_days
vo,5,131,0.4138435731,0.1910585823,-0.3739220860,-0.4576917315,519.0000000000,560
recovery_10_breadth2_cool95,5,131,0.4422342154,0.2467416497,-0.3739220860,-0.4576933405,519.0000000000,560
consensus_20_60_120_n3_block_cut,5,131,0.4414903282,0.2310898631,-0.3739225623,-0.4576929916,519.0000000000,560
riskadj_h60_t15_step_up,5,131,0.4533557379,0.2528490726,-0.3739220860,-0.4610879180,519.0000000000,560
recovery_15_breadth2_cool95,5,131,0.4422342154,0.2432717843,-0.3739220860,-0.4576952518,519.0000000000,560
cool_s10_l60_r95_block_cut,5,131,0.4256362763,0.2078816930,-0.3739220860,-0.4576976588,519.0000000000,560
cool_s5_l30_r80_block_cut,5,131,0.4181140216,0.1966356986,-0.3739225623,-0.4576959071,519.0000000000,560
cool_s5_l60_r65_block_cut,5,131,0.4188464015,0.1966356986,-0.3739220860,-0.4576959071,519.0000000000,560
cool_s10_l60_r65_block_cut,5,131,0.4188464015,0.1966356986,-0.3739220860,-0.4576959071,519.0000000000,560
riskadj_h60_t15_block_cut,5,131,0.4476065579,0.2486277695,-0.3739220860,-0.4576962440,519.0000000000,560
cool_s10_l30_r80_block_cut,5,131,0.4181140216,0.1966356986,-0.3739225623,-0.4576959071,519.0000000000,560
breadth_price_sma_h60_n3_block_cut,5,131,0.4239240023,0.2021752003,-0.3739231557,-0.4576928715,519.0000000000,560
cool_s10_l30_r95_block_cut,5,131,0.4181140216,0.1959486366,-0.3739225623,-0.4576907955,519.0000000000,560
riskadj_h20_t10_block_cut,5,131,0.4188464015,0.1986460608,-0.3739220860,-0.4576875658,519.0000000000,560
riskadj_h20_t15_block_cut,5,131,0.4188464015,0.1966356986,-0.3739220860,-0.4576959071,519.0000000000,560
vo,10,71,0.4021071773,0.3040367279,-0.4576925161,-0.4577015600,519.0000000000,560
recovery_10_breadth2_cool95,10,71,0.4253723167,0.3378763837,-0.4576950455,-0.4577021580,519.0000000000,560
consensus_20_60_120_n3_block_cut,10,71,0.4246475607,0.3257771437,-0.4576940120,-0.4577021744,519.0000000000,560
riskadj_h60_t15_step_up,10,71,0.4375509297,0.3375553848,-0.4610891168,-0.4610972276,519.0000000000,560
recovery_15_breadth2_cool95,10,71,0.4233808453,0.3360074037,-0.4576941522,-0.4577019383,519.0000000000,560
cool_s10_l60_r95_block_cut,10,71,0.4119710274,0.3132148702,-0.4576926068,-0.4577023257,519.0000000000,560
cool_s5_l30_r80_block_cut,10,71,0.4050217174,0.3070857749,-0.4576927330,-0.4577017620,519.0000000000,560
cool_s5_l60_r65_block_cut,10,71,0.4053835000,0.3070857749,-0.4576914354,-0.4577021096,519.0000000000,560
cool_s10_l60_r65_block_cut,10,71,0.4053835000,0.3070857749,-0.4576914354,-0.4577021096,519.0000000000,560
riskadj_h60_t15_block_cut,10,71,0.4351268499,0.3351870796,-0.4576935046,-0.4577019763,519.0000000000,560
cool_s10_l30_r80_block_cut,10,71,0.4050217174,0.3070857749,-0.4576927330,-0.4577017620,519.0000000000,560
breadth_price_sma_h60_n3_block_cut,10,71,0.4113638625,0.3067863120,-0.4576922657,-0.4577015817,519.0000000000,560
cool_s10_l30_r95_block_cut,10,71,0.4046188822,0.3067112293,-0.4576917765,-0.4577022024,519.0000000000,560
riskadj_h20_t10_block_cut,10,71,0.4065597645,0.3081800042,-0.4576919482,-0.4577016207,519.0000000000,560
riskadj_h20_t15_block_cut,10,71,0.4053835000,0.3070857749,-0.4576914354,-0.4577021096,519.0000000000,560
