model,screen_pass,full_pre2026_cagr_delta,full_pre2026_mdd_delta,actual_pre2026_cagr_delta,actual_pre2026_mdd_delta,decade_2016_2025_cagr_delta,decade_2016_2025_mdd_delta,actual_annual_trades,rank_floor,rank_sum,changed_target_days_pre2026,changed_target_days_current,duplicate_of
recovery_10_breadth2_cool95,True,0.0125585626,-0.0027434233,0.0189636215,-0.0000000049,0.0408423015,-0.0000018357,5.8544557911,0.0125585626,0.0723644856,241,255,
consensus_20_60_120_n3_block_cut,True,0.0112884301,0.0000000140,0.0146016152,0.0000001647,0.0229377717,-0.0000016715,5.2249444157,0.0112884301,0.0488278170,120,124,
riskadj_h60_t15_step_up,True,0.0098502669,0.0000000402,0.0228412318,-0.0033950351,0.0353792266,-0.0033949807,5.9803580662,0.0098502669,0.0680707253,200,219,
recovery_15_breadth2_cool95,True,0.0098380539,0.0000000262,0.0181869954,0.0000001038,0.0388615489,-0.0000031605,5.8544557911,0.0098380539,0.0668865981,219,233,
cool_s10_l60_r95_block_cut,True,0.0046810081,-0.0126748546,0.0062763691,-0.0000000533,0.0096887672,-0.0000034330,5.6026512410,0.0046810081,0.0206461444,19,21,
cool_s5_l30_r80_block_cut,True,0.0045330699,-0.0000000603,0.0050479462,0.0000000620,0.0032187321,-0.0000002697,5.4767489659,0.0032187321,0.0127997482,16,18,
cool_s5_l60_r95_block_cut,True,0.0045330699,-0.0000000603,0.0050479462,0.0000000620,0.0032187321,-0.0000002697,5.4767489659,0.0032187321,0.0127997482,16,18,cool_s5_l30_r80_block_cut
cool_s5_l60_r65_block_cut,True,0.0028939066,-0.0000000603,0.0020866458,0.0000004277,0.0032187321,-0.0000002697,5.6026512410,0.0020866458,0.0081992845,6,6,
cool_s5_l60_r80_block_cut,True,0.0028939066,-0.0000000603,0.0020866458,0.0000004277,0.0032187321,-0.0000002697,5.6026512410,0.0020866458,0.0081992845,6,8,cool_s5_l60_r65_block_cut
cool_s10_l60_r80_block_cut,True,0.0028939066,-0.0000000603,0.0020866458,0.0000004277,0.0032187321,-0.0000002697,5.6026512410,0.0020866458,0.0081992845,6,6,cool_s5_l60_r65_block_cut
cool_s10_l60_r65_block_cut,True,0.0026626724,0.0000000060,0.0020866458,0.0000004277,0.0032187321,-0.0000002697,5.6026512410,0.0020866458,0.0079680503,5,5,
riskadj_h60_t15_block_cut,True,0.0019082828,0.0000000574,0.0212342105,0.0000000290,0.0328777469,-0.0000052658,5.4767489659,0.0019082828,0.0560202403,61,64,
cool_s10_l30_r80_block_cut,True,0.0027662556,-0.0000000603,0.0018562279,0.0000000399,0.0032187321,-0.0000002697,5.4767489659,0.0018562279,0.0078412156,9,9,
breadth_price_sma_h60_n3_block_cut,True,0.0042141255,-0.0186044054,0.0016830739,0.0000001003,0.0028998267,-0.0000019446,5.0990421406,0.0016830739,0.0087970261,118,147,
cool_s10_l30_r95_block_cut,True,0.0029461268,0.0000000352,0.0015996074,0.0000000117,0.0028231120,-0.0000008839,5.4767489659,0.0015996074,0.0073688462,12,14,
riskadj_h20_t10_block_cut,True,0.0004429241,0.0000000404,0.0028352863,0.0000002557,0.0043740437,-0.0000012406,5.6026512410,0.0004429241,0.0076522541,18,20,
riskadj_h20_t15_block_cut,True,-0.0006045902,0.0000001808,0.0020866458,0.0000004277,0.0032187321,-0.0000002697,5.6026512410,-0.0006045902,0.0047007877,13,15,
riskadj_h60_t10_block_cut,False,0.0191127387,-0.0393601658,0.0098391162,-0.0000001824,0.0125892328,-0.0000023817,5.3508466908,0.0098391162,0.0415410877,150,176,
riskadj_h20_t5_step_up,False,0.0224431280,-0.0396914655,0.0044820929,-0.1108191500,0.0338353008,-0.1108237023,10.3239865564,0.0044820929,0.0607605217,888,907,
cool_s5_l30_r65_block_cut,False,0.0015412103,-0.0000000603,-0.0003554679,0.0000000584,-0.0005500164,-0.0000016040,5.7285535160,-0.0005500164,0.0006357260,4,5,
cool_s10_l30_r65_block_cut,False,0.0013102128,0.0000000060,-0.0003554679,0.0000000584,-0.0005500164,-0.0000016040,5.7285535160,-0.0005500164,0.0004047285,3,3,
consensus_10_20_60_n3_block_cut,False,0.0023239534,-0.0126750005,-0.0023152227,-0.0000000655,-0.0032125651,-0.0000009868,5.3508466908,-0.0032125651,-0.0032038344,69,71,
riskadj_h20_t5_block_cut,False,-0.0018628948,-0.0186044289,-0.0031580281,-0.0000000181,-0.0041627396,-0.0000026857,5.3508466908,-0.0041627396,-0.0091836625,81,83,
breadth_return_h60_n2_block_cut,False,-0.0035027528,-0.0835935851,-0.0047988613,-0.0626390846,0.0098268875,-0.0626416191,3.8400193899,-0.0047988613,0.0015252734,371,412,
consensus_10_20_60_n2_block_cut,False,-0.0048211284,-0.0253842047,0.0007895465,-0.0352671190,0.0048484409,-0.0352648181,4.8472375905,-0.0048211284,0.0008168591,177,181,
