period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
dotcom,vo,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,recovery_10_breadth2_cool95,2000-03-10,2002-10-09,100000.0000000000,90453.7254761043,-0.0954627452,-0.0381150980,6,2.3239183457,293.0105761248,-0.1220706949,2002-02-15,2002-04-02,46,,,,236,2002-02-15
dotcom,consensus_20_60_120_n3_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,riskadj_h60_t15_step_up,2000-03-10,2002-10-09,100000.0000000000,90858.4091981658,-0.0914159080,-0.0364505827,12,4.6478366914,572.8044470741,-0.1028644978,2001-12-18,2002-02-19,63,,,,648,2000-03-10
dotcom,recovery_15_breadth2_cool95,2000-03-10,2002-10-09,100000.0000000000,90453.7254761043,-0.0954627452,-0.0381150980,6,2.3239183457,293.0105761248,-0.1220706949,2002-02-15,2002-04-02,46,,,,236,2002-02-15
dotcom,cool_s10_l60_r95_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,cool_s5_l30_r80_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,cool_s5_l60_r65_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,cool_s10_l60_r65_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,riskadj_h60_t15_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,cool_s10_l30_r80_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,breadth_price_sma_h60_n3_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,cool_s10_l30_r95_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,riskadj_h20_t10_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,riskadj_h20_t15_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.8066217161,0.0001380662,0.0000534735,4,1.5492788971,202.4669104523,-0.0318095949,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
global_financial_crisis,vo,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,recovery_10_breadth2_cool95,2007-10-31,2009-03-09,100000.0000000000,53156.5934519361,-0.4684340655,-0.3726663345,7,5.1650454545,286.9439539522,-0.4943912767,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,consensus_20_60_120_n3_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,riskadj_h60_t15_step_up,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,recovery_15_breadth2_cool95,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,cool_s10_l60_r95_block_cut,2007-10-31,2009-03-09,100000.0000000000,52029.4879983372,-0.4797051200,-0.3825086720,7,5.1650454545,285.8154653598,-0.5054011980,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,cool_s5_l30_r80_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,cool_s5_l60_r65_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,cool_s10_l60_r65_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,riskadj_h60_t15_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,cool_s10_l30_r80_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,breadth_price_sma_h60_n3_block_cut,2007-10-31,2009-03-09,100000.0000000000,51356.6332996659,-0.4864336670,-0.3884109307,7,5.1650454545,279.8579492322,-0.5115119567,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,cool_s10_l30_r95_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,riskadj_h20_t10_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,riskadj_h20_t15_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.8240412975,-0.4653217596,-0.3699582186,7,5.1650454545,287.2552411786,-0.4914310305,2007-10-31,2008-09-17,322,,,,495,2007-10-31
covid_crash,vo,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,recovery_10_breadth2_cool95,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,consensus_20_60_120_n3_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,riskadj_h60_t15_step_up,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,recovery_15_breadth2_cool95,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,cool_s10_l60_r95_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,cool_s5_l30_r80_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,cool_s5_l60_r65_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,cool_s10_l60_r65_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,riskadj_h60_t15_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,cool_s10_l30_r80_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,breadth_price_sma_h60_n3_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,cool_s10_l30_r95_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,riskadj_h20_t10_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
covid_crash,riskadj_h20_t15_block_cut,2020-02-19,2020-03-23,100000.0000000000,73274.2495749552,-0.2672575043,-0.9679898282,3,33.2038636364,173.2252848030,-0.3011320226,2020-02-19,2020-02-27,8,,,,33,2020-02-19
2022_bear,vo,2021-11-19,2022-12-28,100000.0000000000,56555.3299401674,-0.4344467006,-0.4026624116,16,14.4650495050,598.2936975037,-0.4575753327,2021-11-19,2022-09-30,315,,,,404,2021-11-19
2022_bear,recovery_10_breadth2_cool95,2021-11-19,2022-12-28,100000.0000000000,56160.6845700894,-0.4383931543,-0.4064320438,16,14.4650495050,597.6881300157,-0.4575753327,2021-11-19,2022-09-30,315,,,,404,2021-11-19
2022_bear,consensus_20_60_120_n3_block_cut,2021-11-19,2022-12-28,100000.0000000000,56555.3299401674,-0.4344467006,-0.4026624116,16,14.4650495050,598.2936975037,-0.4575753327,2021-11-19,2022-09-30,315,,,,404,2021-11-19
2022_bear,riskadj_h60_t15_step_up,2021-11-19,2022-12-28,100000.0000000000,56193.8387981799,-0.4380616120,-0.4061152588,18,16.2731806931,689.6543686457,-0.4610550357,2021-11-19,2022-09-30,315,,,,404,2021-11-19
2022_bear,recovery_15_breadth2_cool95,2021-11-19,2022-12-28,100000.0000000000,56555.3299401674,-0.4344467006,-0.4026624116,16,14.4650495050,598.2936975037,-0.4575753327,2021-11-19,2022-09-30,315,,,,404,2021-11-19
2022_bear,cool_s10_l60_r95_block_cut,2021-11-19,2022-12-28,100000.0000000000,56555.3299401674,-0.4344467006,-0.4026624116,16,14.4650495050,598.2936975037,-0.4575753327,2021-11-19,2022-09-30,315,,,,404,2021-11-19
