name,family,action,parameters
riskadj_h20_t5_step_up,risk_adjusted_trend,step_up,horizon=20;threshold=0.5
riskadj_h20_t5_block_cut,risk_adjusted_trend,block_cut,horizon=20;threshold=0.5
riskadj_h20_t10_step_up,risk_adjusted_trend,step_up,horizon=20;threshold=1.0
riskadj_h20_t10_block_cut,risk_adjusted_trend,block_cut,horizon=20;threshold=1.0
riskadj_h20_t15_step_up,risk_adjusted_trend,step_up,horizon=20;threshold=1.5
riskadj_h20_t15_block_cut,risk_adjusted_trend,block_cut,horizon=20;threshold=1.5
riskadj_h60_t5_step_up,risk_adjusted_trend,step_up,horizon=60;threshold=0.5
riskadj_h60_t5_block_cut,risk_adjusted_trend,block_cut,horizon=60;threshold=0.5
riskadj_h60_t10_step_up,risk_adjusted_trend,step_up,horizon=60;threshold=1.0
riskadj_h60_t10_block_cut,risk_adjusted_trend,block_cut,horizon=60;threshold=1.0
riskadj_h60_t15_step_up,risk_adjusted_trend,step_up,horizon=60;threshold=1.5
riskadj_h60_t15_block_cut,risk_adjusted_trend,block_cut,horizon=60;threshold=1.5
riskadj_h120_t5_step_up,risk_adjusted_trend,step_up,horizon=120;threshold=0.5
riskadj_h120_t5_block_cut,risk_adjusted_trend,block_cut,horizon=120;threshold=0.5
riskadj_h120_t10_step_up,risk_adjusted_trend,step_up,horizon=120;threshold=1.0
riskadj_h120_t10_block_cut,risk_adjusted_trend,block_cut,horizon=120;threshold=1.0
riskadj_h120_t15_step_up,risk_adjusted_trend,step_up,horizon=120;threshold=1.5
riskadj_h120_t15_block_cut,risk_adjusted_trend,block_cut,horizon=120;threshold=1.5
cool_s5_l30_r65_step_up,volatility_cooling,step_up,short=5;long=30;ratio=0.65
cool_s5_l30_r65_block_cut,volatility_cooling,block_cut,short=5;long=30;ratio=0.65
cool_s5_l30_r80_step_up,volatility_cooling,step_up,short=5;long=30;ratio=0.8
cool_s5_l30_r80_block_cut,volatility_cooling,block_cut,short=5;long=30;ratio=0.8
cool_s5_l30_r95_step_up,volatility_cooling,step_up,short=5;long=30;ratio=0.95
