fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,vo,2010-02-11,2025-12-31,100000.0000000000,25918761.6360912323,258.1876163609,0.4188607092,91,5.7285535160,283659.4074932614,-0.4577019976,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,filtered_ret_qqq_40_return60_block_cut,2010-02-11,2025-12-31,100000.0000000000,30545474.1710766703,304.4547417108,0.4336073941,83,5.2249444157,297993.1761821851,-0.4577023486,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,filtered_ret_qqq_40_return200_block_cut,2010-02-11,2025-12-31,100000.0000000000,30207870.6883725002,301.0787068837,0.4326047355,81,5.0990421406,294501.8712912534,-0.4577023154,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,filtered_ret_qqq_40_sma150_block_cut,2010-02-11,2025-12-31,100000.0000000000,30467371.9210992977,303.6737192110,0.4333763625,83,5.2249444157,297234.1308965333,-0.4577019316,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,filtered_ret_qqq_40_sma100_block_cut,2010-02-11,2025-12-31,100000.0000000000,30467371.9210992977,303.6737192110,0.4333763625,83,5.2249444157,297234.1308965333,-0.4577019316,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,ret_qqq_40_block_cut,2010-02-11,2025-12-31,100000.0000000000,30207870.6883725002,301.0787068837,0.4326047355,81,5.0990421406,294501.8712912534,-0.4577023154,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,filtered_ret_qqq_40_sma200_block_cut,2010-02-11,2025-12-31,100000.0000000000,30207870.6883725002,301.0787068837,0.4326047355,81,5.0990421406,294501.8712912534,-0.4577023154,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,combo_qqq_30_65_floor50,2010-02-11,2025-12-31,100000.0000000000,26737451.2099723183,266.3745120997,0.4216410827,101,6.3580648914,340822.1055876267,-0.4632263602,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0010000000,magratio_qqq_200_step_up,2010-02-11,2025-12-31,100000.0000000000,27173252.1473700963,270.7325214737,0.4230887448,127,7.9947944674,428766.1784309347,-0.4663708893,2024-12-16,2025-05-23,158,,,,559,2021-11-19
0.0010000000,magratio_tqqq_200_step_up,2010-02-11,2025-12-31,100000.0000000000,26891018.7505434155,267.9101875054,0.4221537163,125,7.8688921923,402773.8610321469,-0.4663705732,2024-12-16,2025-05-23,158,,,,559,2021-11-19
0.0010000000,filtered_ret_qqq_60_return60_block_cut,2010-02-11,2025-12-31,100000.0000000000,26452538.5753199980,263.5253857532,0.4206826468,87,5.4767489659,274833.2414350013,-0.4577013962,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0010000000,filtered_ret_qqq_60_return200_block_cut,2010-02-11,2025-12-31,100000.0000000000,26452538.5753199980,263.5253857532,0.4206826468,87,5.4767489659,274833.2414350013,-0.4577013962,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
