period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
full_pre2026,vo,1999-03-10,2025-12-31,100000.0000000000,189827721.8578608632,1897.2772185786,0.3251670507,154,5.7436275911,2086286.9659416291,-0.5288319343,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,887,2007-10-31
full_pre2026,ret_tqqq_50_floor50,1999-03-10,2025-12-31,100000.0000000000,125649914.8338125795,1255.4991483381,0.3049300452,219,8.1678859900,1708162.6363108605,-0.5828652488,2000-03-27,2001-10-30,582,2004-12-06,1133.0000000000,1715.0000000000,1715,2000-03-27
full_pre2026,ret_tqqq_50_floor100,1999-03-10,2025-12-31,100000.0000000000,63193885.9051057249,630.9388590511,0.2719052790,312,11.6364403145,1447466.2696657940,-0.8350183346,2000-03-27,2001-10-30,582,2009-11-17,2940.0000000000,3522.0000000000,3522,2000-03-27
full_pre2026,ret_tqqq_50_step_up,1999-03-10,2025-12-31,100000.0000000000,124241082.2120827734,1241.4108221208,0.3043813832,332,12.3823659757,2150881.9479776900,-0.5829324135,2000-03-27,2001-10-30,582,2005-11-25,1487.0000000000,2069.0000000000,2069,2000-03-27
full_pre2026,ret_tqqq_50_block_cut,1999-03-10,2025-12-31,100000.0000000000,178058225.2560452819,1779.5822525605,0.3220073873,126,4.6993316655,1754067.8107761918,-0.5640618434,2007-10-31,2009-05-13,560,2010-04-14,336.0000000000,896.0000000000,1260,2000-01-03
full_pre2026,ret_tqqq_100_floor50,1999-03-10,2025-12-31,100000.0000000000,182383046.0453095138,1822.8304604531,0.3231911870,217,8.0932934239,2468219.0986366849,-0.5061664134,2021-11-19,2022-12-28,404,2023-06-15,169.0000000000,573.0000000000,1178,2000-03-27
full_pre2026,ret_tqqq_100_floor100,1999-03-10,2025-12-31,100000.0000000000,201431241.3503820300,2013.3124135038,0.3281026690,292,10.8905146533,3763172.0314848372,-0.6342910412,2000-03-27,2001-10-30,582,2004-01-08,800.0000000000,1382.0000000000,1382,2000-03-27
full_pre2026,ret_tqqq_100_step_up,1999-03-10,2025-12-31,100000.0000000000,239495664.5454840362,2393.9566454548,0.3367039824,313,11.6737365976,3600059.9609127557,-0.5346607444,2021-11-19,2022-12-28,404,2023-07-18,202.0000000000,606.0000000000,1159,2000-03-27
full_pre2026,ret_tqqq_100_block_cut,1999-03-10,2025-12-31,100000.0000000000,176803822.5115596652,1767.0382251156,0.3216588482,130,4.8485167977,1769697.7333167740,-0.5288318511,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1281,2000-01-03
full_pre2026,ret_tqqq_150_floor50,1999-03-10,2025-12-31,100000.0000000000,142770298.8999584317,1426.7029889996,0.3111617369,211,7.8695157255,1926112.5557239307,-0.5094621036,2007-10-31,2009-04-07,524,2009-12-22,259.0000000000,783.0000000000,1332,2000-01-03
full_pre2026,ret_tqqq_150_floor100,1999-03-10,2025-12-31,100000.0000000000,109694873.5724242181,1095.9487357242,0.2983376463,281,10.4802555397,2023126.9852598144,-0.6734291647,2000-01-03,2001-10-30,666,2004-12-14,1141.0000000000,1807.0000000000,1807,2000-01-03
full_pre2026,ret_tqqq_150_step_up,1999-03-10,2025-12-31,100000.0000000000,164719112.0983731747,1646.1911209837,0.3181735545,295,11.0024035025,2564106.9694176177,-0.5287156784,2007-10-31,2009-05-13,560,2010-03-30,321.0000000000,881.0000000000,1248,2000-01-03
full_pre2026,ret_tqqq_150_block_cut,1999-03-10,2025-12-31,100000.0000000000,146452216.1626516581,1463.5221616265,0.3124074655,136,5.0722944961,1527548.6904109847,-0.5288317936,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1281,2000-01-03
full_pre2026,ret_tqqq_200_floor50,1999-03-10,2025-12-31,100000.0000000000,153353094.9169732034,1532.5309491697,0.3146631532,190,7.0862937813,2039584.2117586308,-0.5411714981,2007-10-31,2009-04-07,524,2009-12-28,265.0000000000,789.0000000000,1243,2000-01-03
full_pre2026,ret_tqqq_200_floor100,1999-03-10,2025-12-31,100000.0000000000,144201328.1612729430,1441.0132816127,0.3116495413,254,9.4732558971,2833048.9156717197,-0.5909151123,2007-10-31,2009-04-07,524,2009-12-24,261.0000000000,785.0000000000,1053,2000-01-03
full_pre2026,ret_tqqq_200_step_up,1999-03-10,2025-12-31,100000.0000000000,193496824.7748441696,1933.9682477484,0.3261135663,267,9.9581075768,3315123.7580882018,-0.5459376746,2007-10-31,2009-05-13,560,2009-12-28,229.0000000000,789.0000000000,789,2007-10-31
full_pre2026,ret_tqqq_200_block_cut,1999-03-10,2025-12-31,100000.0000000000,145961443.9808056951,1458.6144398081,0.3122431722,140,5.2214796283,1571452.7675725722,-0.5288317471,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1281,2000-01-03
full_pre2026,ret_tqqq_250_floor50,1999-03-10,2025-12-31,100000.0000000000,151030449.5372457206,1509.3044953725,0.3139150585,192,7.1608863474,1743070.0393072867,-0.5038092787,2007-10-31,2009-04-20,537,2009-12-23,247.0000000000,784.0000000000,1326,2000-01-03
