model,window_years,window_count,median_cagr,worst_cagr,median_mdd,worst_mdd,median_longest_tuw_days,worst_longest_tuw_days
vo,5,131,0.4138435757,0.1910586521,-0.3739222128,-0.4576931754,519.0000000000,560
filtered_ret_qqq_40_return60_block_cut,5,131,0.4413303773,0.2308472791,-0.3739222128,-0.4576943994,519.0000000000,560
filtered_ret_qqq_40_return200_block_cut,5,131,0.4413303773,0.2308472791,-0.3739221293,-0.4576943994,519.0000000000,560
filtered_ret_qqq_40_sma150_block_cut,5,131,0.4413303773,0.2308472791,-0.3739222128,-0.4576943994,519.0000000000,560
filtered_ret_qqq_40_sma100_block_cut,5,131,0.4413303773,0.2308472791,-0.3739222128,-0.4576943994,519.0000000000,560
ret_qqq_40_block_cut,5,131,0.4413303773,0.2308472791,-0.3739221293,-0.4576943994,519.0000000000,560
filtered_ret_qqq_40_sma200_block_cut,5,131,0.4413303773,0.2308472791,-0.3739221293,-0.4576943994,519.0000000000,560
combo_qqq_30_65_floor50,5,131,0.4246586679,0.2048719394,-0.3739222196,-0.4632152983,519.0000000000,570
magratio_qqq_200_step_up,5,131,0.4235634279,0.2096666479,-0.3739222128,-0.4663622094,519.0000000000,559
magratio_tqqq_200_step_up,5,131,0.4206010206,0.2096666479,-0.3739222128,-0.4663572885,519.0000000000,559
filtered_ret_qqq_60_return60_block_cut,5,131,0.4188463355,0.1959185935,-0.3739222128,-0.4576948189,519.0000000000,560
filtered_ret_qqq_60_return200_block_cut,5,131,0.4188463355,0.1959185935,-0.3739222128,-0.4576948189,519.0000000000,560
ret_qqq_60_block_cut,5,131,0.4188463355,0.1959185935,-0.3739222128,-0.4576948189,519.0000000000,560
filtered_ret_qqq_60_sma150_block_cut,5,131,0.4188463355,0.1959185935,-0.3739222128,-0.4576948189,519.0000000000,560
filtered_ret_qqq_60_sma100_block_cut,5,131,0.4188463355,0.1959185935,-0.3739222128,-0.4576948189,519.0000000000,560
magratio_tqqq_300_floor100,5,131,0.4138435757,0.1910586521,-0.3739222128,-0.4576931754,519.0000000000,560
combo_qqq_50_65_floor50,5,131,0.4214971481,0.1975094983,-0.3739222196,-0.4685064162,519.0000000000,571
combo_tqqq_100_65_floor50,5,131,0.4214971481,0.1975094983,-0.3739222196,-0.4685064162,519.0000000000,571
filtered_ret_tqqq_100_return60_block_cut,5,131,0.4416203292,0.2310899520,-0.3739222128,-0.4576927116,519.0000000000,560
ret_qqq_150_step_up,5,131,0.4288805561,0.2203707355,-0.3739222128,-0.4583885524,519.0000000000,560
combo_tqqq_300_65_block_cut,5,131,0.4188463355,0.1966357584,-0.3739222128,-0.4576956441,519.0000000000,560
vo,10,71,0.4021071705,0.3040367123,-0.4576913102,-0.4577016519,519.0000000000,560
filtered_ret_qqq_40_return60_block_cut,10,71,0.4248707057,0.3256435146,-0.4576946079,-0.4577019547,519.0000000000,560
filtered_ret_qqq_40_return200_block_cut,10,71,0.4236447272,0.3256435146,-0.4576946079,-0.4577019547,519.0000000000,560
filtered_ret_qqq_40_sma150_block_cut,10,71,0.4246835064,0.3256435146,-0.4576946079,-0.4577019547,519.0000000000,560
filtered_ret_qqq_40_sma100_block_cut,10,71,0.4246835064,0.3256435146,-0.4576946079,-0.4577019547,519.0000000000,560
ret_qqq_40_block_cut,10,71,0.4236447272,0.3256435146,-0.4576946079,-0.4577019547,519.0000000000,560
filtered_ret_qqq_40_sma200_block_cut,10,71,0.4236447272,0.3256435146,-0.4576946079,-0.4577019547,519.0000000000,560
combo_qqq_30_65_floor50,10,71,0.4139311509,0.3081839878,-0.4632161945,-0.4632249154,519.0000000000,570
magratio_qqq_200_step_up,10,71,0.4068995109,0.3070506475,-0.4311538057,-0.4663709258,519.0000000000,559
magratio_tqqq_200_step_up,10,71,0.4068995109,0.3056876982,-0.4311538057,-0.4663688883,519.0000000000,559
filtered_ret_qqq_60_return60_block_cut,10,71,0.4049680165,0.3066988402,-0.4576934822,-0.4577016796,519.0000000000,560
filtered_ret_qqq_60_return200_block_cut,10,71,0.4049680165,0.3066988402,-0.4576934822,-0.4577016796,519.0000000000,560
ret_qqq_60_block_cut,10,71,0.4049680165,0.3066988402,-0.4576934822,-0.4577016796,519.0000000000,560
filtered_ret_qqq_60_sma150_block_cut,10,71,0.4049680165,0.3066988402,-0.4576934822,-0.4577016796,519.0000000000,560
filtered_ret_qqq_60_sma100_block_cut,10,71,0.4049680165,0.3066988402,-0.4576934822,-0.4577016796,519.0000000000,560
magratio_tqqq_300_floor100,10,71,0.4021071705,0.3040367123,-0.4576913102,-0.4577016519,519.0000000000,560
combo_qqq_50_65_floor50,10,71,0.4123046982,0.3041797854,-0.4685039259,-0.4685160667,519.0000000000,571
combo_tqqq_100_65_floor50,10,71,0.4123046982,0.3041797854,-0.4685039259,-0.4685160667,519.0000000000,571
filtered_ret_tqqq_100_return60_block_cut,10,71,0.4250156399,0.3257771317,-0.4576937264,-0.4577015578,519.0000000000,560
ret_qqq_150_step_up,10,71,0.4133046396,0.3111708579,-0.4334966974,-0.4583997028,519.0000000000,560
combo_tqqq_300_65_block_cut,10,71,0.4053834858,0.3070857565,-0.4576911908,-0.4577018672,519.0000000000,560
