model,screen_pass,full_cagr_delta,actual_cagr_delta,decade_cagr_delta,full_mdd_delta,actual_mdd_delta,actual_annual_trades,rank_floor,rank_sum,changed_target_days_pre2026,changed_target_days_current,duplicate_of
filtered_ret_qqq_40_return60_block_cut,True,0.0080884393,0.0147466849,0.0228022388,0.0000001788,-0.0000003509,5.2249444157,0.0080884393,0.0456373630,156,169,
filtered_ret_qqq_40_return200_block_cut,True,0.0073121515,0.0137440263,0.0228022388,0.0000000720,-0.0000003177,5.0990421406,0.0073121515,0.0438584166,145,158,
filtered_ret_qqq_40_sma150_block_cut,True,0.0053853877,0.0145156533,0.0228022388,0.0000000816,0.0000000661,5.2249444157,0.0053853877,0.0427032798,149,162,
filtered_ret_qqq_40_sma100_block_cut,True,0.0053746410,0.0145156533,0.0228022388,0.0000001184,0.0000000661,5.2249444157,0.0053746410,0.0426925332,152,165,
filtered_ret_qqq_40_return120_block_cut,True,0.0053746410,0.0145156533,0.0228022388,0.0000001184,0.0000000661,5.2249444157,0.0053746410,0.0426925332,152,165,filtered_ret_qqq_40_sma100_block_cut
ret_qqq_40_block_cut,True,0.0052272282,0.0137440263,0.0228022388,0.0008619696,-0.0000003177,5.0990421406,0.0052272282,0.0417734932,164,177,
filtered_ret_qqq_40_sma200_block_cut,True,0.0049608865,0.0137440263,0.0228022388,0.0000000816,-0.0000003177,5.0990421406,0.0049608865,0.0415071516,150,163,
combo_qqq_30_65_floor50,True,0.0078401835,0.0027803736,0.0042893501,0.0656053825,-0.0055243626,6.3580648914,0.0027803736,0.0149099071,181,181,
magratio_qqq_200_step_up,True,0.0024490072,0.0042280356,0.0065228586,0.0034955631,-0.0086688917,7.9947944674,0.0024490072,0.0131999014,165,170,
magratio_tqqq_200_step_up,True,0.0019321157,0.0032930071,0.0050812234,0.0034955631,-0.0086685755,7.8688921923,0.0019321157,0.0103063463,163,168,
filtered_ret_qqq_60_return60_block_cut,True,0.0061970850,0.0018219377,0.0028106487,0.0000000082,0.0000006015,5.4767489659,0.0018219377,0.0108296714,125,130,
filtered_ret_qqq_60_return200_block_cut,True,0.0059721346,0.0018219377,0.0028106487,0.0000001033,0.0000006015,5.4767489659,0.0018219377,0.0106047210,112,117,
