period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
dotcom,vo,2000-03-10,2002-10-09,100000.0000000000,100013.7619033343,0.0001376190,0.0000533003,4,1.5492788971,202.4669675545,-0.0318095522,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,filtered_ret_qqq_40_return60_block_cut,2000-03-10,2002-10-09,100000.0000000000,78688.1235257789,-0.2131187647,-0.0886534041,6,2.3239183457,237.9153838561,-0.2541860535,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,filtered_ret_qqq_40_return200_block_cut,2000-03-10,2002-10-09,100000.0000000000,78688.1235257789,-0.2131187647,-0.0886534041,6,2.3239183457,237.9153838561,-0.2541860535,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,filtered_ret_qqq_40_sma150_block_cut,2000-03-10,2002-10-09,100000.0000000000,78688.1235257789,-0.2131187647,-0.0886534041,6,2.3239183457,237.9153838561,-0.2541860535,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,filtered_ret_qqq_40_sma100_block_cut,2000-03-10,2002-10-09,100000.0000000000,78688.1235257789,-0.2131187647,-0.0886534041,6,2.3239183457,237.9153838561,-0.2541860535,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,ret_qqq_40_block_cut,2000-03-10,2002-10-09,100000.0000000000,78688.1235257789,-0.2131187647,-0.0886534041,6,2.3239183457,237.9153838561,-0.2541860535,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,filtered_ret_qqq_40_sma200_block_cut,2000-03-10,2002-10-09,100000.0000000000,78688.1235257789,-0.2131187647,-0.0886534041,6,2.3239183457,237.9153838561,-0.2541860535,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,combo_qqq_30_65_floor50,2000-03-10,2002-10-09,100000.0000000000,74672.1448328179,-0.2532785517,-0.1069581036,34,13.1688706257,1325.1128862032,-0.3009447302,2000-03-10,2001-02-16,343,,,,943,2000-03-10
dotcom,magratio_qqq_200_step_up,2000-03-10,2002-10-09,100000.0000000000,80236.0268774712,-0.1976397312,-0.0817511603,16,6.1971155885,699.5413312793,-0.2002652744,2000-03-10,2002-02-19,711,,,,943,2000-03-10
dotcom,magratio_tqqq_200_step_up,2000-03-10,2002-10-09,100000.0000000000,80236.0268774712,-0.1976397312,-0.0817511603,16,6.1971155885,699.5413312793,-0.2002652744,2000-03-10,2002-02-19,711,,,,943,2000-03-10
dotcom,filtered_ret_qqq_60_return60_block_cut,2000-03-10,2002-10-09,100000.0000000000,84668.3475445331,-0.1533165246,-0.0624273066,6,2.3239183457,256.0246917475,-0.1975160610,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,filtered_ret_qqq_60_return200_block_cut,2000-03-10,2002-10-09,100000.0000000000,84668.3475445331,-0.1533165246,-0.0624273066,6,2.3239183457,256.0246917475,-0.1975160610,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,ret_qqq_60_block_cut,2000-03-10,2002-10-09,100000.0000000000,84668.3475445331,-0.1533165246,-0.0624273066,6,2.3239183457,256.0246917475,-0.1975160610,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,filtered_ret_qqq_60_sma150_block_cut,2000-03-10,2002-10-09,100000.0000000000,84668.3475445331,-0.1533165246,-0.0624273066,6,2.3239183457,256.0246917475,-0.1975160610,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,filtered_ret_qqq_60_sma100_block_cut,2000-03-10,2002-10-09,100000.0000000000,84668.3475445331,-0.1533165246,-0.0624273066,6,2.3239183457,256.0246917475,-0.1975160610,2000-03-27,2000-09-18,175,,,,926,2000-03-27
dotcom,magratio_tqqq_300_floor100,2000-03-10,2002-10-09,100000.0000000000,100013.7619033343,0.0001376190,0.0000533003,4,1.5492788971,202.4669675545,-0.0318095522,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,combo_qqq_50_65_floor50,2000-03-10,2002-10-09,100000.0000000000,74672.1448328179,-0.2532785517,-0.1069581036,34,13.1688706257,1325.1128862032,-0.3009447302,2000-03-10,2001-02-16,343,,,,943,2000-03-10
dotcom,combo_tqqq_100_65_floor50,2000-03-10,2002-10-09,100000.0000000000,80476.5586150492,-0.1952344138,-0.0806859518,32,12.3942311771,1292.5724827898,-0.2968228025,2000-03-10,2000-07-10,122,,,,943,2000-03-10
dotcom,filtered_ret_tqqq_100_return60_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.7619033343,0.0001376190,0.0000533003,4,1.5492788971,202.4669675545,-0.0318095522,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
dotcom,ret_qqq_150_step_up,2000-03-10,2002-10-09,100000.0000000000,101194.8969747581,0.0119489697,0.0046112388,36,13.9435100742,1608.1053779265,-0.2466832167,2000-03-10,2000-07-10,122,2001-05-21,315.0000000000,437.0000000000,437,2000-03-10
dotcom,combo_tqqq_300_65_block_cut,2000-03-10,2002-10-09,100000.0000000000,100013.7619033343,0.0001376190,0.0000533003,4,1.5492788971,202.4669675545,-0.0318095522,2000-09-15,2000-09-18,3,2000-09-19,1.0000000000,4.0000000000,236,2002-02-15
global_financial_crisis,vo,2007-10-31,2009-03-09,100000.0000000000,53467.6710366130,-0.4653232896,-0.3699595489,7,5.1650454545,287.2554195601,-0.4914324374,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,filtered_ret_qqq_40_return60_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.6710366130,-0.4653232896,-0.3699595489,7,5.1650454545,287.2554195601,-0.4914324374,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,filtered_ret_qqq_40_return200_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.6710366130,-0.4653232896,-0.3699595489,7,5.1650454545,287.2554195601,-0.4914324374,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,filtered_ret_qqq_40_sma150_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.6710366130,-0.4653232896,-0.3699595489,7,5.1650454545,287.2554195601,-0.4914324374,2007-10-31,2008-09-17,322,,,,495,2007-10-31
global_financial_crisis,filtered_ret_qqq_40_sma100_block_cut,2007-10-31,2009-03-09,100000.0000000000,53467.6710366130,-0.4653232896,-0.3699595489,7,5.1650454545,287.2554195601,-0.4914324374,2007-10-31,2008-09-17,322,,,,495,2007-10-31
