name,signal_asset,condition,threshold,action,return_threshold,regime_filter
ret_tqqq_50_floor50,tqqq,total_return,0.05,floor50,,
ret_tqqq_50_floor100,tqqq,total_return,0.05,floor100,,
ret_tqqq_50_step_up,tqqq,total_return,0.05,step_up,,
ret_tqqq_50_block_cut,tqqq,total_return,0.05,block_cut,,
ret_tqqq_100_floor50,tqqq,total_return,0.1,floor50,,
ret_tqqq_100_floor100,tqqq,total_return,0.1,floor100,,
ret_tqqq_100_step_up,tqqq,total_return,0.1,step_up,,
ret_tqqq_100_block_cut,tqqq,total_return,0.1,block_cut,,
ret_tqqq_150_floor50,tqqq,total_return,0.15,floor50,,
ret_tqqq_150_floor100,tqqq,total_return,0.15,floor100,,
ret_tqqq_150_step_up,tqqq,total_return,0.15,step_up,,
ret_tqqq_150_block_cut,tqqq,total_return,0.15,block_cut,,
ret_tqqq_200_floor50,tqqq,total_return,0.2,floor50,,
ret_tqqq_200_floor100,tqqq,total_return,0.2,floor100,,
ret_tqqq_200_step_up,tqqq,total_return,0.2,step_up,,
ret_tqqq_200_block_cut,tqqq,total_return,0.2,block_cut,,
ret_tqqq_250_floor50,tqqq,total_return,0.25,floor50,,
ret_tqqq_250_floor100,tqqq,total_return,0.25,floor100,,
ret_tqqq_250_step_up,tqqq,total_return,0.25,step_up,,
ret_tqqq_250_block_cut,tqqq,total_return,0.25,block_cut,,
ret_tqqq_300_floor50,tqqq,total_return,0.3,floor50,,
ret_tqqq_300_floor100,tqqq,total_return,0.3,floor100,,
ret_tqqq_300_step_up,tqqq,total_return,0.3,step_up,,
ret_tqqq_300_block_cut,tqqq,total_return,0.3,block_cut,,
ret_tqqq_400_floor50,tqqq,total_return,0.4,floor50,,
ret_tqqq_400_floor100,tqqq,total_return,0.4,floor100,,
ret_tqqq_400_step_up,tqqq,total_return,0.4,step_up,,
ret_tqqq_400_block_cut,tqqq,total_return,0.4,block_cut,,
varshare_tqqq_55_floor50,tqqq,up_variance_share,0.55,floor50,,
varshare_tqqq_55_floor100,tqqq,up_variance_share,0.55,floor100,,
varshare_tqqq_55_step_up,tqqq,up_variance_share,0.55,step_up,,
varshare_tqqq_55_block_cut,tqqq,up_variance_share,0.55,block_cut,,
varshare_tqqq_60_floor50,tqqq,up_variance_share,0.6,floor50,,
varshare_tqqq_60_floor100,tqqq,up_variance_share,0.6,floor100,,
varshare_tqqq_60_step_up,tqqq,up_variance_share,0.6,step_up,,
varshare_tqqq_60_block_cut,tqqq,up_variance_share,0.6,block_cut,,
varshare_tqqq_65_floor50,tqqq,up_variance_share,0.65,floor50,,
varshare_tqqq_65_floor100,tqqq,up_variance_share,0.65,floor100,,
varshare_tqqq_65_step_up,tqqq,up_variance_share,0.65,step_up,,
varshare_tqqq_65_block_cut,tqqq,up_variance_share,0.65,block_cut,,
varshare_tqqq_70_floor50,tqqq,up_variance_share,0.7,floor50,,
varshare_tqqq_70_floor100,tqqq,up_variance_share,0.7,floor100,,
varshare_tqqq_70_step_up,tqqq,up_variance_share,0.7,step_up,,
varshare_tqqq_70_block_cut,tqqq,up_variance_share,0.7,block_cut,,
varshare_tqqq_75_floor50,tqqq,up_variance_share,0.75,floor50,,
varshare_tqqq_75_floor100,tqqq,up_variance_share,0.75,floor100,,
varshare_tqqq_75_step_up,tqqq,up_variance_share,0.75,step_up,,
varshare_tqqq_75_block_cut,tqqq,up_variance_share,0.75,block_cut,,
varshare_tqqq_80_floor50,tqqq,up_variance_share,0.8,floor50,,
varshare_tqqq_80_floor100,tqqq,up_variance_share,0.8,floor100,,
varshare_tqqq_80_step_up,tqqq,up_variance_share,0.8,step_up,,
varshare_tqqq_80_block_cut,tqqq,up_variance_share,0.8,block_cut,,
magratio_tqqq_125_floor50,tqqq,up_down_magnitude_ratio,1.25,floor50,,
magratio_tqqq_125_floor100,tqqq,up_down_magnitude_ratio,1.25,floor100,,
magratio_tqqq_125_step_up,tqqq,up_down_magnitude_ratio,1.25,step_up,,
magratio_tqqq_125_block_cut,tqqq,up_down_magnitude_ratio,1.25,block_cut,,
magratio_tqqq_150_floor50,tqqq,up_down_magnitude_ratio,1.5,floor50,,
magratio_tqqq_150_floor100,tqqq,up_down_magnitude_ratio,1.5,floor100,,
magratio_tqqq_150_step_up,tqqq,up_down_magnitude_ratio,1.5,step_up,,
magratio_tqqq_150_block_cut,tqqq,up_down_magnitude_ratio,1.5,block_cut,,
magratio_tqqq_200_floor50,tqqq,up_down_magnitude_ratio,2.0,floor50,,
magratio_tqqq_200_floor100,tqqq,up_down_magnitude_ratio,2.0,floor100,,
magratio_tqqq_200_step_up,tqqq,up_down_magnitude_ratio,2.0,step_up,,
magratio_tqqq_200_block_cut,tqqq,up_down_magnitude_ratio,2.0,block_cut,,
magratio_tqqq_300_floor50,tqqq,up_down_magnitude_ratio,3.0,floor50,,
magratio_tqqq_300_floor100,tqqq,up_down_magnitude_ratio,3.0,floor100,,
magratio_tqqq_300_step_up,tqqq,up_down_magnitude_ratio,3.0,step_up,,
magratio_tqqq_300_block_cut,tqqq,up_down_magnitude_ratio,3.0,block_cut,,
magratio_tqqq_400_floor50,tqqq,up_down_magnitude_ratio,4.0,floor50,,
magratio_tqqq_400_floor100,tqqq,up_down_magnitude_ratio,4.0,floor100,,
magratio_tqqq_400_step_up,tqqq,up_down_magnitude_ratio,4.0,step_up,,
magratio_tqqq_400_block_cut,tqqq,up_down_magnitude_ratio,4.0,block_cut,,
combo_tqqq_100_55_floor50,tqqq,return_and_variance_share,0.55,floor50,0.1,
combo_tqqq_100_55_floor100,tqqq,return_and_variance_share,0.55,floor100,0.1,
combo_tqqq_100_55_step_up,tqqq,return_and_variance_share,0.55,step_up,0.1,
combo_tqqq_100_55_block_cut,tqqq,return_and_variance_share,0.55,block_cut,0.1,
combo_tqqq_100_65_floor50,tqqq,return_and_variance_share,0.65,floor50,0.1,
combo_tqqq_100_65_floor100,tqqq,return_and_variance_share,0.65,floor100,0.1,
combo_tqqq_100_65_step_up,tqqq,return_and_variance_share,0.65,step_up,0.1,
combo_tqqq_100_65_block_cut,tqqq,return_and_variance_share,0.65,block_cut,0.1,
combo_tqqq_100_75_floor50,tqqq,return_and_variance_share,0.75,floor50,0.1,
combo_tqqq_100_75_floor100,tqqq,return_and_variance_share,0.75,floor100,0.1,
combo_tqqq_100_75_step_up,tqqq,return_and_variance_share,0.75,step_up,0.1,
combo_tqqq_100_75_block_cut,tqqq,return_and_variance_share,0.75,block_cut,0.1,
combo_tqqq_150_55_floor50,tqqq,return_and_variance_share,0.55,floor50,0.15,
combo_tqqq_150_55_floor100,tqqq,return_and_variance_share,0.55,floor100,0.15,
combo_tqqq_150_55_step_up,tqqq,return_and_variance_share,0.55,step_up,0.15,
combo_tqqq_150_55_block_cut,tqqq,return_and_variance_share,0.55,block_cut,0.15,
combo_tqqq_150_65_floor50,tqqq,return_and_variance_share,0.65,floor50,0.15,
combo_tqqq_150_65_floor100,tqqq,return_and_variance_share,0.65,floor100,0.15,
combo_tqqq_150_65_step_up,tqqq,return_and_variance_share,0.65,step_up,0.15,
combo_tqqq_150_65_block_cut,tqqq,return_and_variance_share,0.65,block_cut,0.15,
combo_tqqq_150_75_floor50,tqqq,return_and_variance_share,0.75,floor50,0.15,
combo_tqqq_150_75_floor100,tqqq,return_and_variance_share,0.75,floor100,0.15,
combo_tqqq_150_75_step_up,tqqq,return_and_variance_share,0.75,step_up,0.15,
combo_tqqq_150_75_block_cut,tqqq,return_and_variance_share,0.75,block_cut,0.15,
combo_tqqq_200_55_floor50,tqqq,return_and_variance_share,0.55,floor50,0.2,
combo_tqqq_200_55_floor100,tqqq,return_and_variance_share,0.55,floor100,0.2,
combo_tqqq_200_55_step_up,tqqq,return_and_variance_share,0.55,step_up,0.2,
combo_tqqq_200_55_block_cut,tqqq,return_and_variance_share,0.55,block_cut,0.2,
combo_tqqq_200_65_floor50,tqqq,return_and_variance_share,0.65,floor50,0.2,
