regime_id,signal_start,signal_end,band,target_tqqq_weight,data_origin,execution_start,trading_days,start_close,end_close,tqqq_return,start_volatility,end_volatility
1,1999-03-10,1999-04-21,warmup,1.0000000000,synthetic,1999-03-11,30,14.0026605593,14.9851366782,0.0701635318,,
2,1999-04-22,1999-07-08,above_90,0.0000000000,synthetic,1999-04-23,54,16.2008468548,19.4261010010,0.1990793552,1.1946914091,0.9204226985
3,1999-07-09,1999-07-09,above_60_at_or_below_90,0.5000000000,synthetic,1999-07-12,1,20.0101158702,20.0101158702,0.0000000000,0.8999915927,0.8999915927
4,1999-07-12,1999-07-13,above_90,0.0000000000,synthetic,1999-07-13,2,19.6966172819,19.4174741116,-0.0141721376,0.9031150100,0.9012508235
5,1999-07-14,1999-07-19,above_60_at_or_below_90,0.5000000000,synthetic,1999-07-15,4,20.4083207080,20.8953926595,0.0238663415,0.8743896295,0.8340724819
6,1999-07-20,1999-07-20,above_90,0.0000000000,synthetic,1999-07-21,1,18.4769538138,18.4769538138,0.0000000000,0.9029546298,0.9029546298
7,1999-07-21,1999-07-23,above_60_at_or_below_90,0.5000000000,synthetic,1999-07-22,3,18.7438382455,17.3921918170,-0.0721115073,0.8670254144,0.8867716982
8,1999-07-26,1999-07-26,above_90,0.0000000000,synthetic,1999-07-27,1,16.1112245931,16.1112245931,0.0000000000,0.9054032726,0.9054032726
9,1999-07-27,1999-07-27,above_60_at_or_below_90,0.5000000000,synthetic,1999-07-28,1,17.0843813947,17.0843813947,0.0000000000,0.8961731297,0.8961731297
10,1999-07-28,1999-07-28,above_90,0.0000000000,synthetic,1999-07-29,1,18.0889464792,18.0889464792,0.0000000000,0.9015385928,0.9015385928
11,1999-07-29,1999-08-23,above_60_at_or_below_90,0.5000000000,synthetic,1999-07-30,18,16.9290638318,19.3730644220,0.1443671437,0.8220843287,0.8995598690
12,1999-08-24,1999-08-30,above_90,0.0000000000,synthetic,1999-08-25,5,19.7678298302,18.5640542213,-0.0608956886,0.9000735962,0.9198832099
13,1999-08-31,1999-09-02,above_60_at_or_below_90,0.5000000000,synthetic,1999-09-01,3,19.1831784439,19.3911942316,0.0108436560,0.8596766838,0.8287375336
14,1999-09-03,1999-09-03,above_90,0.0000000000,synthetic,1999-09-07,1,22.0616545398,22.0616545398,0.0000000000,0.9135403496,0.9135403496
15,1999-09-07,1999-09-22,above_60_at_or_below_90,0.5000000000,synthetic,1999-09-08,12,21.7645544356,21.8203229797,0.0025623563,0.8820416841,0.8856264846
16,1999-09-23,1999-09-24,above_90,0.0000000000,synthetic,1999-09-24,2,19.1077666312,19.1823926258,0.0039055320,0.9369730404,0.9282463796
17,1999-09-27,1999-10-14,above_60_at_or_below_90,0.5000000000,synthetic,1999-09-28,14,19.5864963208,20.5654616267,0.0499816450,0.8548082588,0.8743649626
18,1999-10-15,1999-10-15,above_90,0.0000000000,synthetic,1999-10-18,1,18.7451443714,18.7451443714,0.0000000000,0.9132612632,0.9132612632
19,1999-10-18,1999-10-28,above_60_at_or_below_90,0.5000000000,synthetic,1999-10-19,9,18.0333902603,22.2261003571,0.2324970533,0.8211588670,0.8885681938
20,1999-10-29,1999-11-01,above_90,0.0000000000,synthetic,1999-11-01,2,24.5547548280,24.1696509242,-0.0156834758,0.9019617453,0.9037650517
21,1999-11-02,1999-12-27,above_60_at_or_below_90,0.5000000000,synthetic,1999-11-03,38,24.2129423891,59.9178993420,1.4746228021,0.8749994743,0.8972893719
22,1999-12-28,2000-09-14,above_90,0.0000000000,synthetic,1999-12-29,182,58.7904481682,35.0524881833,-0.4037723937,0.9042135908,0.9424215635
23,2000-09-15,2000-09-18,above_60_at_or_below_90,0.5000000000,synthetic,2000-09-18,2,33.1443420085,31.5790317433,-0.0472270732,0.8843524425,0.8950263059
24,2000-09-19,2002-02-14,above_90,0.0000000000,synthetic,2000-09-20,351,35.0707720076,0.6053489224,-0.9827392188,0.9290917670,0.9208152269
25,2002-02-15,2002-02-15,above_60_at_or_below_90,0.5000000000,synthetic,2002-02-19,1,0.5511828798,0.5511828798,0.0000000000,0.8867649621,0.8867649621
26,2002-02-19,2003-02-04,above_90,0.0000000000,synthetic,2002-02-20,243,0.5003463824,0.1026785254,-0.7947851148,0.9109559787,0.9046329337
27,2003-02-05,2003-02-07,above_60_at_or_below_90,0.5000000000,synthetic,2003-02-06,3,0.1012777324,0.0978167723,-0.0341729620,0.8992434665,0.8954536586
28,2003-02-10,2003-02-10,above_90,0.0000000000,synthetic,2003-02-11,1,0.1004050216,0.1004050216,0.0000000000,0.9002479116,0.9002479116
29,2003-02-11,2003-03-21,above_60_at_or_below_90,0.5000000000,synthetic,2003-02-12,28,0.1020351352,0.1414269293,0.3860610761,0.8894047754,0.8624048219
30,2003-03-24,2003-04-24,above_90,0.0000000000,synthetic,2003-03-25,23,0.1237811782,0.1433322224,0.1579484416,0.9336740929,0.9274228416
31,2003-04-25,2003-08-27,above_60_at_or_below_90,0.5000000000,synthetic,2003-04-28,87,0.1350391314,0.2302774419,0.7052645371,0.8179885106,0.6518155580
32,2003-08-28,2003-09-09,at_or_below_60,1.0000000000,synthetic,2003-08-29,8,0.2363855442,0.2578433040,0.0907744163,0.5913753791,0.5747616200
33,2003-09-10,2003-09-16,above_60_at_or_below_90,0.5000000000,synthetic,2003-09-11,5,0.2392367558,0.2637107381,0.1023002599,0.6135138626,0.6433169722
34,2003-09-17,2003-09-23,at_or_below_60,1.0000000000,synthetic,2003-09-18,5,0.2604907376,0.2657184327,0.0200686410,0.5227535467,0.5745662287
35,2003-09-24,2003-11-10,above_60_at_or_below_90,0.5000000000,synthetic,2003-09-25,34,0.2356981298,0.2754590065,0.1686940695,0.6719414210,0.6328036901
36,2003-11-11,2003-11-17,at_or_below_60,1.0000000000,synthetic,2003-11-12,5,0.2724061699,0.2628681611,-0.0350139235,0.5982115315,0.5877692033
37,2003-11-18,2003-12-24,above_60_at_or_below_90,0.5000000000,synthetic,2003-11-19,26,0.2446768354,0.2884248170,0.1787990331,0.6191558605,0.6261214244
38,2003-12-26,2003-12-26,at_or_below_60,1.0000000000,synthetic,2003-12-29,1,0.2872196890,0.2872196890,0.0000000000,0.5984941249,0.5984941249
39,2003-12-29,2003-12-29,above_60_at_or_below_90,0.5000000000,synthetic,2003-12-30,1,0.3014005644,0.3014005644,0.0000000000,0.6149204197,0.6149204197
40,2003-12-30,2004-04-01,at_or_below_60,1.0000000000,synthetic,2003-12-31,65,0.3043778540,0.2878536409,-0.0542884868,0.5850631981,0.5636566926
41,2004-04-02,2004-05-14,above_60_at_or_below_90,0.5000000000,synthetic,2004-04-05,30,0.3103023110,0.2516927162,-0.1888790148,0.6087805120,0.6188298656
42,2004-05-17,2004-08-05,at_or_below_60,1.0000000000,synthetic,2004-05-18,56,0.2445219204,0.2225294583,-0.0899406567,0.5718112930,0.5843790701
43,2004-08-06,2004-08-12,above_60_at_or_below_90,0.5000000000,synthetic,2004-08-09,5,0.2050448837,0.2001229211,-0.0240043180,0.6172521707,0.6094716895
44,2004-08-13,2004-08-13,at_or_below_60,1.0000000000,synthetic,2004-08-16,1,0.2010473433,0.2010473433,0.0000000000,0.5992890060,0.5992890060
45,2004-08-16,2004-08-31,above_60_at_or_below_90,0.5000000000,synthetic,2004-08-17,12,0.2079099660,0.2293418488,0.1030825179,0.6142054279,0.6151666921
46,2004-09-01,2006-06-21,at_or_below_60,1.0000000000,synthetic,2004-09-02,455,0.2343977932,0.3150022498,0.3438789056,0.5659890725,0.5960090556
47,2006-06-22,2006-06-22,above_60_at_or_below_90,0.5000000000,synthetic,2006-06-23,1,0.3030304425,0.3030304425,0.0000000000,0.6000525999,0.6000525999
48,2006-06-23,2006-06-28,at_or_below_60,1.0000000000,synthetic,2006-06-26,4,0.3020788902,0.2936907431,-0.0277680678,0.5738845162,0.5891478077
49,2006-06-29,2006-08-08,above_60_at_or_below_90,0.5000000000,synthetic,2006-06-30,28,0.3204889388,0.2603175931,-0.1877485879,0.6414687464,0.6107688166
50,2006-08-09,2007-08-27,at_or_below_60,1.0000000000,synthetic,2006-08-10,264,0.2613876088,0.5552967073,1.1244186358,0.5908854147,0.5917298724
51,2007-08-28,2007-09-25,above_60_at_or_below_90,0.5000000000,synthetic,2007-08-29,20,0.5156326384,0.6681922534,0.2958688098,0.6173518722,0.6184214305
52,2007-09-26,2007-11-07,at_or_below_60,1.0000000000,synthetic,2007-09-27,31,0.6780055098,0.7511927296,0.1079448747,0.5933255307,0.5957308873
53,2007-11-08,2008-03-31,above_60_at_or_below_90,0.5000000000,synthetic,2007-11-09,97,0.6827632083,0.3814596582,-0.4413002142,0.6552214984,0.8326095077
54,2008-04-01,2008-04-25,above_90,0.0000000000,synthetic,2008-04-02,19,0.4304070310,0.4712524065,0.0948994151,0.9110269321,0.9051581488
55,2008-04-28,2008-05-28,above_60_at_or_below_90,0.5000000000,synthetic,2008-04-29,22,0.4739510606,0.5320867050,0.1226617034,0.8842484657,0.6272166914
56,2008-05-29,2008-06-05,at_or_below_60,1.0000000000,synthetic,2008-05-30,6,0.5463479417,0.5741302042,0.0508508596,0.5908137672,0.5435823550
57,2008-06-06,2008-09-19,above_60_at_or_below_90,0.5000000000,synthetic,2008-06-09,74,0.5223393692,0.3287358239,-0.3706470481,0.6097603299,0.8926955209
58,2008-09-22,2009-05-04,above_90,0.0000000000,synthetic,2008-09-23,155,0.2822995896,0.1142073338,-0.5954392496,0.9444376455,0.9437324207
59,2009-05-05,2009-07-13,above_60_at_or_below_90,0.5000000000,synthetic,2009-05-06,48,0.1139141692,0.1167292431,0.0247122366,0.8177521353,0.6193337308
60,2009-07-14,2009-07-14,at_or_below_60,1.0000000000,synthetic,2009-07-15,1,0.1180084289,0.1180084289,0.0000000000,0.5661403768,0.5661403768
61,2009-07-15,2009-08-03,above_60_at_or_below_90,0.5000000000,synthetic,2009-07-16,14,0.1299019092,0.1650525787,0.2705939406,0.6391363028,0.6405960528
62,2009-08-04,2009-08-14,at_or_below_60,1.0000000000,synthetic,2009-08-05,9,0.1650525787,0.1596406765,-0.0327889588,0.5674195644,0.5574929918
63,2009-08-17,2009-08-17,above_60_at_or_below_90,0.5000000000,synthetic,2009-08-18,1,0.1457432598,0.1457432598,0.0000000000,0.6216686898,0.6216686898
64,2009-08-18,2010-02-10,at_or_below_60,1.0000000000,synthetic,2009-08-19,122,0.1519928059,0.1966674135,0.2939258035,0.5767638313,0.5923219990
65,2010-02-11,2010-03-02,above_60_at_or_below_90,0.5000000000,actual,2010-02-12,13,0.2055819184,0.2318951637,0.1279939671,0.6110394834,0.6078473919
66,2010-03-03,2010-05-07,at_or_below_60,1.0000000000,actual,2010-03-04,47,0.2331831604,0.2280340046,-0.0220820225,0.5902856187,0.5855351942
67,2010-05-10,2010-06-01,above_60_at_or_below_90,0.5000000000,actual,2010-05-11,16,0.2620457411,0.2191472799,-0.1637060042,0.7366161608,0.8873617730
68,2010-06-02,2010-06-18,above_90,0.0000000000,actual,2010-06-03,13,0.2345690876,0.2449405789,0.0442150814,0.9143593849,0.9098950437
69,2010-06-21,2010-08-10,above_60_at_or_below_90,0.5000000000,actual,2010-06-22,36,0.2385043800,0.2354597449,-0.0127655312,0.8866279562,0.6378445315
70,2010-08-11,2011-08-01,at_or_below_60,1.0000000000,actual,2010-08-12,246,0.2160779387,0.4193824530,0.9408851062,0.5961860211,0.5638377426
71,2011-08-02,2011-08-02,above_60_at_or_below_90,0.5000000000,actual,2011-08-03,1,0.3875483274,0.3875483274,0.0000000000,0.6127057301,0.6127057301
72,2011-08-03,2011-08-03,at_or_below_60,1.0000000000,actual,2011-08-04,1,0.3975985348,0.3975985348,0.0000000000,0.5875281047,0.5875281047
73,2011-08-04,2011-08-08,above_60_at_or_below_90,0.5000000000,actual,2011-08-05,3,0.3434863985,0.2768981457,-0.1938599406,0.7097818342,0.8568848614
