Date,VO cash
2020-06-01,101004.0714620415
2020-06-02,102021.5582961195
2020-06-03,102728.3234758500
2020-06-04,101655.9879131505
2020-06-05,104720.6727953160
2020-06-08,105939.2521209555
2020-06-09,107188.2801981315
2020-06-10,109253.7513990675
2020-06-11,95309.1724950935
2020-06-12,99329.1426979695
2020-06-15,101045.8392848015
2020-06-16,103709.8534906155
2020-06-17,104226.5834747535
2020-06-18,104639.9748168055
2020-06-19,104565.3242430675
2020-06-22,106482.9660163135
2020-06-23,107941.2907158255
2020-06-24,104565.3242430675
2020-06-25,105994.9562773975
2020-06-26,102016.1358580615
2020-06-29,103658.1772743215
2020-06-30,106706.8809638195
2020-07-01,108710.6512963395
2020-07-02,109945.0472578435
2020-07-06,114302.8020798995
2020-07-07,113051.1638582275
2020-07-08,115451.0832726315
2020-07-09,117070.1733146535
2020-07-10,118476.8309915395
2020-07-13,114285.5828034195
2020-07-14,115634.8045862135
2020-07-15,115956.3260780475
2020-07-16,114555.4326757935
2020-07-17,114853.9706169975
2020-07-20,120319.8175942135
2020-07-21,118092.1507010415
2020-07-22,118872.9938639255
2020-07-23,113527.7139984615
2020-07-24,111667.4851356195
2020-07-27,114945.8450640495
2020-07-28,112528.7017763315
2020-07-29,114635.8015572695
2020-07-30,115675.0074133235
2020-07-31,119183.0143870175
2020-08-03,121737.9532561535
2020-08-04,122662.3195013795
2020-08-05,123236.4669932375
2020-08-06,126015.3300035475
2020-08-07,123552.2517904795
2020-08-10,122570.4634416635
2020-08-11,118488.3043802415
2020-08-12,123563.7343728495
2020-08-13,124074.7230660435
2020-08-14,123862.2907004255
2020-08-17,126279.4339881435
2020-08-18,128501.3595903715
2020-08-19,126979.8852858635
2020-08-20,130120.4404387255
2020-08-21,131779.7241151535
2020-08-24,133283.9791426995
2020-08-25,136745.5095644665
2020-08-26,145499.1678100311
2020-08-27,145625.3372591943
2020-08-28,146739.1223695439
2020-08-31,148433.0034272687
2020-09-01,153939.8799805498
2020-09-02,158283.6002890960
2020-09-03,133980.3965151276
2020-09-04,130087.8495003183
2020-09-08,121011.6021267645
2020-09-09,125749.2041966289
2020-09-10,122285.5378851675
2020-09-11,121052.3997799003
2020-09-14,123894.9581180693
2020-09-15,126361.2343289843
2020-09-16,123455.2073285407
2020-09-17,120803.0622363793
2020-09-18,118681.3447111179
2020-09-21,119306.9716410767
2020-09-22,122226.6172178169
2020-09-23,117008.4521861593
2020-09-24,115553.3124183083
2020-09-25,119205.8960115423
2020-09-28,122570.1662922658
2020-09-29,122570.1662922658
2020-09-30,122570.1662922658
2020-10-01,122570.1662922658
2020-10-02,122570.1662922658
2020-10-05,122570.1662922658
2020-10-06,122570.1662922658
2020-10-07,122570.1662922658
2020-10-08,122570.1662922658
2020-10-09,122570.1662922658
2020-10-12,122570.1662922658
2020-10-13,122570.1662922658
2020-10-14,122570.1662922658
2020-10-15,122570.1662922658
2020-10-16,122570.1662922658
2020-10-19,122570.1662922658
2020-10-20,122570.1662922658
2020-10-21,122213.6761803023
2020-10-22,122244.5077655087
2020-10-23,122601.4204011761
2020-10-26,119803.5105111497
2020-10-27,121187.0408444039
2020-10-28,114150.4547506328
2020-10-29,116842.5953717762
2020-10-30,112974.0040163090
2020-11-02,112991.6316400184
2020-11-03,115595.6623645052
2020-11-04,122945.1043823021
2020-11-05,127708.1256606401
2020-11-06,127932.8364110162
2020-11-09,123861.5714805194
2020-11-10,120482.0558420213
2020-11-11,124465.2002930225
2020-11-12,124982.9901684685
2020-11-13,125511.4925602317
2020-11-16,126962.8494937485
2020-11-17,126367.5432192525
2020-11-18,124885.7450014413
2020-11-19,126432.7049626125
2020-11-20,125133.4361638029
2020-11-23,125146.4754703053
2020-11-24,127710.2508607821
2020-11-25,128939.9952456717
2020-11-27,130756.3553530893
2020-11-30,131108.3470521741
2020-12-01,133806.8294741517
2020-12-02,134093.6107243341
2020-12-03,134384.7546450765
2020-12-04,135266.8769596365
2020-12-07,136500.9770572557
2020-12-08,137178.8540103693
2020-12-09,132172.9709536845
2020-12-10,133029.0076966797
2020-12-11,132533.6253726861
2020-12-14,134028.4350649485
2020-12-15,136253.2789370637
2020-12-16,137491.7138735565
2020-12-17,139029.9902405901
2020-12-18,136998.6737433987
2020-12-21,136487.9009986077
2020-12-22,137564.4583981848
2020-12-23,135489.9230533740
2020-12-24,137250.1531632693
2020-12-28,141367.7920716813
2020-12-29,141784.2694715241
2020-12-30,141760.6893440580
2020-12-31,142868.7036910803
2021-01-04,136621.4923622865
2021-01-05,140047.6320722127
2021-01-06,134256.1689964164
2021-01-07,143953.1253275187
2021-01-08,149532.3672534813
2021-01-11,142923.7281828738
2021-01-12,142302.8938707183
2021-01-13,145069.0039114023
2021-01-14,142860.8394542190
2021-01-15,139387.5520718187
2021-01-19,145430.4694019097
2021-01-20,155567.4706778628
2021-01-21,159433.6427495220
2021-01-22,157987.7682050343
2021-01-25,162372.5772583458
2021-01-26,162545.4520582971
2021-01-27,149438.1222396849
2021-01-28,151638.4098775488
2021-01-29,142192.9078000815
2021-02-01,152644.2394765260
2021-02-02,160030.8717686355
2021-02-03,158192.0747868549
2021-02-04,163787.0703521160
2021-02-05,165338.8872634336
2021-02-08,166957.4101021118
2021-02-09,166918.1263306362
2021-02-10,166321.0004227988
2021-02-11,167672.3873247058
2021-02-12,169118.0741493762
2021-02-16,168395.2338823436
2021-02-17,167200.9757760636
2021-02-18,167691.7561368850
2021-02-19,165481.8214481810
2021-02-22,152664.0915667572
2021-02-23,151306.5709101288
2021-02-24,154952.9890548130
2021-02-25,138772.9579764472
2021-02-26,141708.7787707247
2021-03-01,147849.2675078472
2021-03-02,144179.1718981454
2021-03-03,137857.1243308212
2021-03-04,134565.8997631141
2021-03-05,137399.3663177500
2021-03-08,131748.1929092857
2021-03-09,138867.4070893172
2021-03-10,138291.2301540831
2021-03-11,142940.0069735057
2021-03-12,141156.2793008395
2021-03-15,143389.9104118784
2021-03-16,144573.8026409476
2021-03-17,145497.2427501850
2021-03-18,138685.8735353177
2021-03-19,139546.1737368476
2021-03-22,143184.6930733138
2021-03-23,142245.4743062829
2021-03-24,138662.1897507526
2021-03-25,138299.1289616385
2021-03-26,141258.8753320207
2021-03-29,141219.4128896621
2021-03-30,140224.9340651618
2021-03-31,143318.8590585144
2021-04-01,146981.0811368630
2021-04-05,151527.2682439893
2021-04-06,151337.8232443333
2021-04-07,151929.7914754620
2021-04-08,154447.5521720129
2021-04-09,155955.0553856074
2021-04-12,155623.5771886138
2021-04-13,158512.2785245169
2021-04-14,155449.9108467513
2021-04-15,159167.3866636844
2021-04-16,159538.3209841517
2021-04-19,157131.0677644385
2021-04-20,155252.5986349583
2021-04-21,157375.7412264768
2021-04-22,151832.2855906733
2021-04-23,157552.1625875714
2021-04-26,160672.0828791902
2021-04-27,158563.2600739904
2021-04-28,156931.0695927062
2021-04-29,158505.5081855471
2021-04-30,155529.9791786933
2021-05-03,152987.8321828694
2021-05-04,144927.9976210142
2021-05-05,143238.0552512867
2021-05-06,146372.4424259771
2021-05-07,149954.5628521385
2021-05-10,138688.1454726041
2021-05-11,137994.8337068303
2021-05-12,127493.9699931107
2021-05-13,130180.5545301455
2021-05-14,138644.8142101802
2021-05-17,136304.8913377091
2021-05-18,133444.9239287540
2021-05-19,133936.0578282272
2021-05-20,141678.0951054773
2021-05-21,139338.1491044801
2021-05-24,146314.6327165217
2021-05-25,147022.4229287207
2021-05-26,148510.1758681877
2021-05-27,146776.8791075102
2021-05-28,148206.8107729556
2021-06-01,146762.4122250449
2021-06-02,147527.9543256872
2021-06-03,142891.3704575906
2021-06-04,150214.5735564206
2021-06-07,151543.4220709988
2021-06-08,151716.7471213007
2021-06-09,151890.0837355625
2021-06-10,156541.1113575983
2021-06-11,157783.2857827625
2021-06-14,162203.1670810811
2021-06-15,159198.7968227948
2021-06-16,157494.3760060358
2021-06-17,163373.1227353367
2021-06-18,159473.2397164499
2021-06-21,162390.9474498884
2021-06-22,166926.3903454994
2021-06-23,167215.2654297401
2021-06-24,170291.8544589350
2021-06-25,169757.4239895239
2021-06-28,175766.1876346226
2021-06-29,177745.0282165106
2021-06-30,176965.0654898489
2021-07-01,177051.7280153030
2021-07-02,183060.4569673094
2021-07-06,185515.9414376792
2021-07-07,186700.3755389663
2021-07-08,183464.9052134087
2021-07-09,186570.3933156545
2021-07-12,188910.3624451778
2021-07-13,188809.1983441661
2021-07-14,189834.7627136567
2021-07-15,185905.9459298393
2021-07-16,181341.6270897035
2021-07-19,176993.9414343737
2021-07-20,182829.3684646043
2021-07-21,187003.7059417124
2021-07-22,190932.4880324375
2021-07-23,197273.4811527269
2021-07-26,198096.7635778526
2021-07-27,191625.8460552635
2021-07-28,193720.2251065241
2021-07-29,194673.5360120138
2021-07-30,191755.8282785753
2021-08-02,191697.9838766339
2021-08-03,195034.6183025969
2021-08-04,196002.3845265920
2021-08-05,199685.6227961066
2021-08-06,197085.6776553935
2021-08-09,198140.1295327625
2021-08-10,195179.0789729402
2021-08-11,194124.6733526234
2021-08-12,196146.7989398831
2021-08-13,198111.2188963580
2021-08-16,198457.8458684357
2021-08-17,193243.5580895162
2021-08-18,187624.8220644974
2021-08-19,190296.9397196732
2021-08-20,196175.7327054200
2021-08-23,204914.4237145436
2021-08-24,206936.6186879879
2021-08-25,207167.6493696809
2021-08-26,203657.7824069141
2021-08-27,209608.7479071236
2021-08-30,216556.3440106805
2021-08-31,215949.7294628468
2021-09-01,217134.1635641339
2021-09-02,216830.7637758095
2021-09-03,218780.7515423051
2021-09-07,219676.2874308254
2021-09-08,217423.0155192422
2021-09-09,215097.4901442644
2021-09-10,210258.7052813411
2021-09-13,209782.0729574255
2021-09-14,207976.5458612732
2021-09-15,212584.2306569252
2021-09-16,213003.0879644777
2021-09-17,205477.6954359935
2021-09-20,192839.1214079831
2021-09-21,193084.7114862458
2021-09-22,198732.3581476691
2021-09-23,204250.0110218207
2021-09-24,204827.7611896958
2021-09-27,199887.8584834193
2021-09-28,183219.3498282383
2021-09-29,182006.0513469926
2021-09-30,179954.9688656699
2021-10-01,183233.8051461374
2021-10-04,171967.3762026431
2021-10-05,178582.7890886678
2021-10-06,182107.1344978598
2021-10-07,187032.5818856309
2021-10-08,184158.2401077086
2021-10-11,180070.5651560546
2021-10-12,178236.1158595379
2021-10-13,182410.4648999996
2021-10-14,192478.0506813599
2021-10-15,196045.7042250560
2021-10-18,201924.4856462366
2021-10-19,206358.8453915867
2021-10-20,205708.7955026585
2021-10-21,209392.1031583577
