Date,VO SGOV
2020-06-01,100949.2176943405
2020-06-02,101968.1659649675
2020-06-03,102675.9341803340
2020-06-04,101603.5986176345
2020-06-05,104665.8190276150
2020-06-08,105884.3983532545
2020-06-09,107133.4264304305
2020-06-10,109201.3621035515
2020-06-11,95219.7753410313
2020-06-12,99188.1886644864
2020-06-15,100903.1044457304
2020-06-16,103564.3551513309
2020-06-17,104083.0975991344
2020-06-18,104498.0795837672
2020-06-19,104424.0078661811
2020-06-22,106337.1394949044
2020-06-23,107793.9514094584
2020-06-24,104421.4869766099
2020-06-25,105849.6359901574
2020-06-26,101872.3944872754
2020-06-29,103517.8019212616
2020-06-30,106563.3430550651
2020-07-01,108563.0015154167
2020-07-02,109799.1852921817
2020-07-06,114149.3513126867
2020-07-07,112899.0114709127
2020-07-08,115296.4413423557
2020-07-09,116918.9258106984
2020-07-10,118326.1437708967
2020-07-13,114137.2238788329
2020-07-14,115482.5113638728
2020-07-15,115803.6993271883
2020-07-16,114404.2591338578
2020-07-17,114702.4873884008
2020-07-20,120162.6643998728
2020-07-21,117937.3083644738
2020-07-22,118717.3415240768
2020-07-23,113377.6065547388
2020-07-24,111519.3073898873
2020-07-27,114794.2665300098
2020-07-28,112379.6306523413
2020-07-29,114487.0793352204
2020-07-30,115522.6724868053
2020-07-31,119029.5751392114
2020-08-03,121582.3512741562
2020-08-04,122505.7586332357
2020-08-05,123079.3105364092
2020-08-06,125855.2909087417
2020-08-07,123397.3070462713
2020-08-10,122413.9978598887
2020-08-11,118336.0734033022
2020-08-12,123408.7777172488
2020-08-13,123919.2363391843
2020-08-14,123709.5590291864
2020-08-17,126124.1949068549
2020-08-18,128341.2809169103
2020-08-19,126824.9224309995
2020-08-20,129958.6822208158
2020-08-21,131616.2446486168
2020-08-24,133118.9392456363
2020-08-25,136523.8036080603
2020-08-26,145262.8593183763
2020-08-27,145329.9963584918
2020-08-28,146434.7364489286
2020-08-31,148126.0088602606
2020-09-01,153553.0531397263
2020-09-02,157885.9326909019
2020-09-03,133643.3831756627
2020-09-04,129691.4459540663
2020-09-08,120636.6610677332
